ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
CSWC,2022-11-01,2022-11-01,duration,1113171000.000000,637447000.000000,475724000.000000,610000000.000000,1.282256,0.547984,1.824870,,,,,,,,,,,45108000.000000,,,30238000.000000,,0.000000,True
CSWC,2023-01-31,2023-01-31,duration,1202157000.000000,640670000.000000,561487000.000000,619000000.000000,1.102430,0.514908,1.942095,,,,,,,,,,,76126000.000000,,,21686000.000000,,0.000000,True
CSWC,2023-05-23,2023-05-23,duration,1257684000.000000,667276000.000000,646586000.000000,645000000.000000,0.997547,0.512847,1.949898,,,,,,,,,,,329490000.000000,,,21585000.000000,,-56178000.000000,False
CSWC,2023-08-08,2023-08-08,duration,1337003000.000000,700802000.000000,667440000.000000,681875000.000000,1.021627,0.510003,1.960774,,,,,,,,,,,52644000.000000,21375000.000000,,21585000.000000,,-31239000.000000,True
CSWC,2023-10-31,2023-10-31,duration,1416913000.000000,759139000.000000,690880000.000000,741875000.000000,1.073812,0.523585,1.909908,,,,,,,,,,,90486000.000000,42549000.000000,,23020000.000000,,-33106000.000000,True
CSWC,2024-01-30,2024-01-30,duration,1429487000.000000,708522000.000000,751411000.000000,686875000.000000,0.914114,0.480505,2.081146,,,,,,,,,,,111270000.000000,63729000.000000,,23605000.000000,,-30446000.000000,True
CSWC,2024-05-21,2024-05-21,duration,1556758000.000000,801082000.000000,796945000.000000,779875000.000000,0.978581,0.500961,1.996163,,,,,,,,,,,275779000.000000,83679000.000000,,32273000.000000,,-41269000.000000,True
CSWC,2024-08-06,2024-08-06,duration,1556758000.000000,801082000.000000,833627000.000000,779875000.000000,0.935520,0.500961,1.996163,,,,,,,,,,,37847000.000000,17040000.000000,,33299000.000000,,-77951000.000000,False
CSWC,2024-10-29,2024-10-29,duration,1604498000.000000,813240000.000000,855177000.000000,792875000.000000,0.927147,0.494158,2.023646,,,,,,,,,,,128463000.000000,33960000.000000,,47237000.000000,,-63919000.000000,False
CSWC,2025-02-04,2025-02-04,duration,1789065000.000000,958623000.000000,903513000.000000,934875000.000000,1.034711,0.522549,1.913694,,,,,,,,,,,162659000.000000,50847000.000000,,36013000.000000,,-73071000.000000,False
CSWC,2025-05-20,2025-05-20,duration,1882840000.000000,999207000.000000,959123000.000000,969875000.000000,1.011210,0.515113,1.941322,,,,,,,,,,,340967000.000000,73560000.000000,,43221000.000000,,-75490000.000000,False
CSWC,2025-08-07,2025-08-07,duration,1882840000.000000,999207000.000000,999728000.000000,969875000.000000,0.970139,0.515113,1.941322,,,,,,,,,,,41036000.000000,27390000.000000,,46889000.000000,,-116095000.000000,False
CSWC,2025-11-03,2025-11-03,duration,2021324000.000000,1074320000.000000,1040244000.000000,1053875000.000000,1.013104,0.521379,1.917992,,,,,,,,,,,137642000.000000,61359000.000000,,87429000.000000,,-93240000.000000,False
CSWC,2026-02-02,2026-02-02,duration,2115921000.000000,1120287000.000000,1057225000.000000,1089000000.000000,1.030055,0.514669,1.942994,,,,,,,,,,,187667000.000000,98694000.000000,,43221000.000000,,-61591000.000000,True
