ticker,filing_date,statement_label,statement_type,line_item,concept,value,context_key,start_date,end_date,instant_date,duration_days,level,is_abstract,preferred_label,order_index,metric_key
GAIN,2022-11-01,income_statement,income_statement,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,-1073000,i21fa679661f84893b0d758dbf0b1e4e5_I20220930,,,,,,False,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,,
GAIN,2022-11-01,income_statement,income_statement,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,-12995000,id74f45225fee48e9a8a5412fdbc5ff84_I20220331,,,,,,False,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,9922000,idc116641dfd3442e81dfb060cd2980e2_D20220701-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,7407000,i5ab80f2730d44070b67317815e5d2935_D20210701-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,18650000,i8c9f15440b874aed8525640f6a756245_D20220401-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,14284000,ia75f90de91d54536a62df21c88ec6d27_D20210401-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,4286000,i560b09072caf4fb1ad64d30f580b1f5d_D20220701-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,6678000,i389f2f04e8a54e21b8f228121cf93a01_D20210701-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,8296000,icda1bcc2b355422fb28ae2778283f13a_D20220401-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,15509000,i686db0953a644163b5a04233490021a6_D20210401-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,0,ie50fc6d2218544aa9fc4cd756a533b86_D20220701-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,213000,ic0fcf31f8bc4478f9aed0d5d5a1c791b_D20210701-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,0,i20e3d016991b4ed3b45ecd9ab97f68a9_D20220401-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,497000,i1ea67a8902854e1e89619fcbcacf8c60_D20210401-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,29000,i03ab1f5a4b2d464c9c42bea09c1f13b9_D20220701-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,0,i3fa749ed22c54970bde2ec6e0e21f3b0_D20210701-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,32000,ibb2ee6386d834e17883392e169ccf3a2_D20220401-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,0,i46f5f6b5f6d343ddb09747f5e77236e4_D20210401-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,14237000,ifc05d158ce03400e92414b228a62fc9f_D20220701-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,14298000,i0c17f84d0629427e94c6f184ecb08429_D20210701-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,26978000,iefa2f032543d41579636d875c900f4cb_D20220401-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,30290000,ifb99c563484b4524909b7ab9af7165e4_D20210401-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,4825000,idc116641dfd3442e81dfb060cd2980e2_D20220701-20220930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,1000,i5ab80f2730d44070b67317815e5d2935_D20210701-20210930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,4829000,i8c9f15440b874aed8525640f6a756245_D20220401-20220930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,3000,ia75f90de91d54536a62df21c88ec6d27_D20210401-20210930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,0,i560b09072caf4fb1ad64d30f580b1f5d_D20220701-20220930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,1589000,i389f2f04e8a54e21b8f228121cf93a01_D20210701-20210930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,1552000,icda1bcc2b355422fb28ae2778283f13a_D20220401-20220930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,1589000,i686db0953a644163b5a04233490021a6_D20210401-20210930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,4825000,ifc05d158ce03400e92414b228a62fc9f_D20220701-20220930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,1590000,i0c17f84d0629427e94c6f184ecb08429_D20210701-20210930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,6381000,iefa2f032543d41579636d875c900f4cb_D20220401-20220930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,DividendIncomeOperatingPaidInCash,DividendIncomeOperatingPaidInCash,1592000,ifb99c563484b4524909b7ab9af7165e4_D20210401-20210930,,,,,,False,DividendIncomeOperatingPaidInCash,,
GAIN,2022-11-01,income_statement,income_statement,FeeIncome,FeeIncome,1733000,idc116641dfd3442e81dfb060cd2980e2_D20220701-20220930,,,,,,False,FeeIncome,,
GAIN,2022-11-01,income_statement,income_statement,FeeIncome,FeeIncome,1650000,i5ab80f2730d44070b67317815e5d2935_D20210701-20210930,,,,,,False,FeeIncome,,
GAIN,2022-11-01,income_statement,income_statement,FeeIncome,FeeIncome,6733000,i8c9f15440b874aed8525640f6a756245_D20220401-20220930,,,,,,False,FeeIncome,,
GAIN,2022-11-01,income_statement,income_statement,FeeIncome,FeeIncome,1650000,ia75f90de91d54536a62df21c88ec6d27_D20210401-20210930,,,,,,False,FeeIncome,,
GAIN,2022-11-01,income_statement,income_statement,FeeIncome,FeeIncome,0,i560b09072caf4fb1ad64d30f580b1f5d_D20220701-20220930,,,,,,False,FeeIncome,,
