ticker,filing_date,statement_label,statement_type,line_item,concept,value,context_key,start_date,end_date,instant_date,duration_days,level,is_abstract,preferred_label,order_index
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,188017000,c-12,,,,,,False,InterestIncomeOperatingPaidInCash,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,145838000,c-13,,,,,,False,InterestIncomeOperatingPaidInCash,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,386378000,c-14,,,,,,False,InterestIncomeOperatingPaidInCash,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,293910000,c-15,,,,,,False,InterestIncomeOperatingPaidInCash,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,13512000,c-12,,,,,,False,InterestIncomeOperatingPaidInKind,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,10691000,c-13,,,,,,False,InterestIncomeOperatingPaidInKind,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,24077000,c-14,,,,,,False,InterestIncomeOperatingPaidInKind,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,21060000,c-15,,,,,,False,InterestIncomeOperatingPaidInKind,
GBDC,2025-05-05,income_statement,income_statement,DividendIncomeOperating,DividendIncomeOperating,7877000,c-12,,,,,,False,DividendIncomeOperating,
GBDC,2025-05-05,income_statement,income_statement,DividendIncomeOperating,DividendIncomeOperating,4365000,c-13,,,,,,False,DividendIncomeOperating,
GBDC,2025-05-05,income_statement,income_statement,DividendIncomeOperating,DividendIncomeOperating,16364000,c-14,,,,,,False,DividendIncomeOperating,
GBDC,2025-05-05,income_statement,income_statement,DividendIncomeOperating,DividendIncomeOperating,8740000,c-15,,,,,,False,DividendIncomeOperating,
GBDC,2025-05-05,income_statement,income_statement,FeeIncome,FeeIncome,1690000,c-12,,,,,,False,FeeIncome,
GBDC,2025-05-05,income_statement,income_statement,FeeIncome,FeeIncome,452000,c-13,,,,,,False,FeeIncome,
GBDC,2025-05-05,income_statement,income_statement,FeeIncome,FeeIncome,2245000,c-14,,,,,,False,FeeIncome,
GBDC,2025-05-05,income_statement,income_statement,FeeIncome,FeeIncome,817000,c-15,,,,,,False,FeeIncome,
GBDC,2025-05-05,income_statement,income_statement,GrossInvestmentIncomeOperating,GrossInvestmentIncomeOperating,211096000,c-12,,,,,,False,GrossInvestmentIncomeOperating,
GBDC,2025-05-05,income_statement,income_statement,GrossInvestmentIncomeOperating,GrossInvestmentIncomeOperating,161346000,c-13,,,,,,False,GrossInvestmentIncomeOperating,
GBDC,2025-05-05,income_statement,income_statement,GrossInvestmentIncomeOperating,GrossInvestmentIncomeOperating,429064000,c-14,,,,,,False,GrossInvestmentIncomeOperating,
GBDC,2025-05-05,income_statement,income_statement,GrossInvestmentIncomeOperating,GrossInvestmentIncomeOperating,324527000,c-15,,,,,,False,GrossInvestmentIncomeOperating,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,2241000,c-16,,,,,,False,InterestIncomeOperatingPaidInCash,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,1723000,c-17,,,,,,False,InterestIncomeOperatingPaidInCash,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,4484000,c-18,,,,,,False,InterestIncomeOperatingPaidInCash,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,1830000,c-19,,,,,,False,InterestIncomeOperatingPaidInCash,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,414000,c-16,,,,,,False,InterestIncomeOperatingPaidInKind,
GBDC,2025-05-05,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,1031000,c-17,,,,,,False,InterestIncomeOperatingPaidInKind,
