ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
GBDC,2022-11-21,2022-11-21,duration,5681224000.000000,3136724000.000000,2676674000.000000,3093603000.000000,1.155764,0.544531,1.836442,,,,,,,,,,,548592000.000000,23324000.000000,,175593000.000000,,-132174000.000000,True
GBDC,2023-02-08,2023-02-08,duration,5681224000.000000,3152066000.000000,2676967000.000000,3100057000.000000,1.158048,0.545667,1.832619,,,,,,,,,,,88659000.000000,16204000.000000,,117290000.000000,,-147809000.000000,True
GBDC,2023-05-08,2023-05-08,duration,5681224000.000000,3165605000.000000,2677424000.000000,3116857000.000000,1.164125,0.548624,1.822741,,,,,,,,,,,339411000.000000,18816000.000000,,117290000.000000,,-161805000.000000,True
GBDC,2023-08-07,2023-08-07,duration,5736835000.000000,3220917000.000000,2677424000.000000,3168906000.000000,1.183565,0.552379,1.810352,,,,,,,,,,,390813000.000000,20756000.000000,,117290000.000000,,-161506000.000000,True
GBDC,2023-11-20,2023-11-20,duration,5733472000.000000,3185594000.000000,2676674000.000000,3133332000.000000,1.170607,0.546498,1.829832,,,,,,,,,,,752351000.000000,23778000.000000,,117290000.000000,,-128796000.000000,True
GBDC,2024-02-05,2024-02-05,duration,5733472000.000000,3185594000.000000,2676674000.000000,3133332000.000000,1.170607,0.546498,1.829832,,,,,,,,,,,101357000.000000,13744000.000000,,70691000.000000,,-128796000.000000,True
GBDC,2024-05-06,2024-05-06,duration,5942626000.000000,3348986000.000000,2676674000.000000,3291293000.000000,1.229620,0.553845,1.805560,,,,,,,,,,,405479000.000000,19512000.000000,,292844000.000000,,-83034000.000000,True
GBDC,2024-08-05,2024-08-05,duration,8477205000.000000,4423562000.000000,4217451000.000000,4337697000.000000,1.028512,0.511690,1.954310,,,,,,,,,,,417888000.000000,23444000.000000,,141186000.000000,,-163808000.000000,True
GBDC,2024-11-19,2024-11-19,duration,8705978000.000000,4691449000.000000,4167258000.000000,4624791000.000000,1.109792,0.531220,1.882459,,,,,,,,,,,685856000.000000,30340000.000000,,123120000.000000,,-152729000.000000,True
GBDC,2025-02-04,2025-02-04,duration,9008786000.000000,4991242000.000000,4185811000.000000,4919258000.000000,1.175222,0.546051,1.831330,,,,,,,,,,,187090000.000000,25238000.000000,,123120000.000000,,-168267000.000000,True
GBDC,2025-05-05,2025-05-05,duration,8949865000.000000,4906367000.000000,4237261000.000000,4833150000.000000,1.140631,0.540025,1.851766,,,,,,,,,,,532174000.000000,30830000.000000,,123120000.000000,,-193763000.000000,True
GBDC,2025-08-04,2025-08-04,duration,9236513000.000000,5241184000.000000,4237261000.000000,5154001000.000000,1.216352,0.558003,1.792105,,,,,,,,,,,558252000.000000,36904000.000000,,123120000.000000,,-241932000.000000,True
GBDC,2025-11-18,2025-11-18,duration,8978299000.000000,4995732000.000000,4167258000.000000,4926778000.000000,1.182259,0.548743,1.822347,,,,,,,,,,,909062000.000000,43710000.000000,,123120000.000000,,-184691000.000000,True
GBDC,2026-02-04,2026-02-04,duration,8978299000.000000,4995732000.000000,4185811000.000000,4926778000.000000,1.177019,0.548743,1.822347,,,,,,,,,,,176560000.000000,30964000.000000,,,,-203244000.000000,True
