ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
GSBD,2022-11-03,2022-11-03,duration,3709406000.000000,2165503000.000000,1631525000.000000,2096709000.000000,1.285122,0.565241,1.769156,,,,,,,,,,,,,,,,-87622000.000000,True
GSBD,2023-02-23,2023-02-23,duration,3591311000.000000,2088917000.000000,1615141000.000000,2012660000.000000,1.246120,0.560425,1.784360,,,,,,,,,,,,,,,,-112747000.000000,False
GSBD,2023-05-04,2023-05-04,duration,3605884000.000000,2088917000.000000,1614400000.000000,2012660000.000000,1.246692,0.558160,1.791601,,,,,,,,,,,,,,,,-97433000.000000,True
GSBD,2023-08-03,2023-08-03,duration,3637434000.000000,2088917000.000000,1614400000.000000,2012660000.000000,1.246692,0.553319,1.807277,,,,,,,,,,,,,,,,-65883000.000000,True
GSBD,2023-11-07,2023-11-07,duration,3591311000.000000,2088917000.000000,1614400000.000000,2012660000.000000,1.246692,0.560425,1.784360,,,,,,,,,,,,,,,,-112006000.000000,False
GSBD,2024-02-28,2024-02-28,duration,3591311000.000000,2088917000.000000,1615141000.000000,2012660000.000000,1.246120,0.560425,1.784360,,,,,,,,,,,,,,,,-112747000.000000,False
GSBD,2024-05-07,2024-05-07,duration,3547202000.000000,1920994000.000000,1631606000.000000,1830810000.000000,1.122091,0.516128,1.937504,,,,,,,,,,,,,,,,-5398000.000000,True
GSBD,2024-08-08,2024-08-08,duration,3629325000.000000,2033431000.000000,1631606000.000000,1943587000.000000,1.191211,0.535523,1.867333,,,,,,,,,,,,,,,,-35712000.000000,True
GSBD,2024-11-07,2024-11-07,duration,3545494000.000000,1959406000.000000,1601825000.000000,1878107000.000000,1.172480,0.529717,1.887802,,,,,,,,,,,,,,,,-15737000.000000,True
GSBD,2025-02-27,2025-02-27,duration,3603383000.000000,2030683000.000000,1614400000.000000,1926452000.000000,1.193293,0.534623,1.870476,,,,,,,,,,,,,,,,-41700000.000000,True
GSBD,2025-05-08,2025-05-08,duration,3603383000.000000,2030683000.000000,1631606000.000000,1926452000.000000,1.180709,0.534623,1.870476,,,,,,,,,,,,,,,,-58906000.000000,True
GSBD,2025-08-07,2025-08-07,duration,3603383000.000000,2030683000.000000,1631606000.000000,1926452000.000000,1.180709,0.534623,1.870476,,,,,,,,,,,,,,,,-58906000.000000,True
GSBD,2025-11-06,2025-11-06,duration,3603383000.000000,2030683000.000000,1601825000.000000,1926452000.000000,1.202661,0.534623,1.870476,,,,,,,,,,,182653000.000000,,,,,-29125000.000000,True
GSBD,2026-02-26,2026-02-26,duration,3603383000.000000,2030683000.000000,1601825000.000000,1926452000.000000,1.202661,0.534623,1.870476,,,,,,,,,,,378008000.000000,,,,,-29125000.000000,True
