ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
HRZN,2022-11-01,2022-11-01,duration,681389000.000000,373702000.000000,,362711000.000000,,0.532311,1.878600,,,,,,,,,,,61408000.000000,,,,,,
HRZN,2023-02-28,2023-02-28,duration,766826000.000000,448378000.000000,,439323000.000000,,0.572911,1.745472,,,,,,,,,,,55225000.000000,,,,,,
HRZN,2023-05-02,2023-05-02,duration,778238000.000000,456555000.000000,,444541000.000000,,0.571215,1.750655,,,,,,,,,,,8828000.000000,,,,,,
HRZN,2023-08-01,2023-08-01,duration,787408000.000000,448378000.000000,,439323000.000000,,0.557936,1.792321,,,,,,,,,,,24366000.000000,,,,,,
HRZN,2023-10-31,2023-10-31,duration,797244000.000000,450669000.000000,,439696000.000000,,0.551520,1.813171,,,,,,,,,,,4621000.000000,,,,,,
HRZN,2024-02-27,2024-02-27,duration,802356000.000000,478375000.000000,,466000000.000000,,0.580790,1.721794,,,,,,,,,,,31748000.000000,,,,,,
HRZN,2024-04-30,2024-04-30,duration,802356000.000000,478375000.000000,,466000000.000000,,0.580790,1.721794,,,,,,,,,,,13959000.000000,,,,,,
HRZN,2024-07-30,2024-07-30,duration,802356000.000000,478375000.000000,,466000000.000000,,0.580790,1.721794,,,,,,,,,,,-4002000.000000,,,,,,
HRZN,2024-10-29,2024-10-29,duration,802356000.000000,478375000.000000,,466000000.000000,,0.580790,1.721794,,,,,,,,,,,-4427000.000000,,,,,,
HRZN,2025-03-04,2025-03-04,duration,821833000.000000,485650000.000000,,472078000.000000,,0.574421,1.740884,,,,,,,,,,,-1667000.000000,,,,,,
HRZN,2025-04-29,2025-04-29,duration,821833000.000000,485650000.000000,522285000.000000,472078000.000000,0.903870,0.574421,1.740884,,,,,,,,,,,-12783000.000000,,,,,-186102000.000000,False
HRZN,2025-08-07,2025-08-07,duration,821833000.000000,485650000.000000,535423000.000000,472078000.000000,0.881692,0.574421,1.740884,,,,,,,,,,,-72602000.000000,,,,,-199240000.000000,False
HRZN,2025-10-28,2025-10-28,duration,821833000.000000,485650000.000000,551358000.000000,472078000.000000,0.856210,0.574421,1.740884,,,,,,,,,,,33308000.000000,,,,,-215175000.000000,False
HRZN,2026-03-03,2026-03-03,duration,821833000.000000,492602000.000000,559355000.000000,477750000.000000,0.854109,0.581322,1.720216,,,,,,,,,,,-25479000.000000,,,,,-230124000.000000,False
