ticker,filing_date,period_end,balance_check_ok,balance_check_delta,shares_outstanding,share_change_pct,abrupt_share_change_flag
MSIF,2023-05-12,2023-05-12,False,-76295000.000000,,,False
MSIF,2023-08-11,2023-08-11,False,-71048000.000000,,,False
MSIF,2023-11-13,2023-11-13,False,-71668000.000000,,,False
MSIF,2024-03-08,2024-03-08,False,-63829000.000000,,,False
MSIF,2024-05-15,2024-05-15,False,-68061000.000000,,,False
MSIF,2024-08-14,2024-08-14,False,-64357000.000000,,,False
MSIF,2024-11-14,2024-11-14,False,-71464000.000000,,,False
MSIF,2025-03-20,2025-03-20,False,-64677000.000000,,,False
MSIF,2025-05-13,2025-05-13,False,-65661000.000000,,,False
MSIF,2025-08-14,2025-08-14,False,-95835000.000000,,,False
MSIF,2025-11-14,2025-11-14,False,-92853000.000000,,,False
MSIF,2026-02-27,2026-02-27,False,-43348000.000000,,,False
