ticker,filing_date,period_end,balance_check_ok,balance_check_delta,shares_outstanding,share_change_pct,abrupt_share_change_flag
NMFC,2022-11-08,2022-11-08,True,-22742000.000000,,,False
NMFC,2023-02-27,2023-02-27,True,-16421000.000000,,,False
NMFC,2023-05-08,2023-05-08,True,-29346000.000000,,,False
NMFC,2023-08-02,2023-08-02,True,-41649000.000000,,,False
NMFC,2023-11-02,2023-11-02,True,-41649000.000000,,,False
NMFC,2024-02-26,2024-02-26,True,-16421000.000000,,,False
NMFC,2024-05-01,2024-05-01,True,-9887000.000000,,,False
NMFC,2024-07-31,2024-07-31,True,-11921000.000000,,,False
NMFC,2024-10-30,2024-10-30,True,-30859000.000000,,,False
NMFC,2025-02-26,2025-02-26,True,-6561000.000000,,,False
NMFC,2025-05-05,2025-05-05,True,-19779000.000000,,,False
NMFC,2025-08-04,2025-08-04,True,-39147000.000000,,,False
NMFC,2025-11-03,2025-11-03,True,-39147000.000000,,,False
NMFC,2026-02-24,2026-02-24,True,-6561000.000000,,,False
