ticker,filing_date,statement_label,statement_type,line_item,concept,value,context_key,start_date,end_date,instant_date,duration_days,level,is_abstract,preferred_label,order_index
OCSL,2025-05-01,balance_sheet,balance_sheet,InvestmentOwnedBalanceShareTradingDays,InvestmentOwnedBalanceShareTradingDays,P10D,c-387,,,,,,False,InvestmentOwnedBalanceShareTradingDays,
OCSL,2025-05-01,balance_sheet,balance_sheet,InvestmentOwnedBalanceSharesVWAPConsecutiveTradingDays,InvestmentOwnedBalanceSharesVWAPConsecutiveTradingDays,P20D,c-387,,,,,,False,InvestmentOwnedBalanceSharesVWAPConsecutiveTradingDays,
OCSL,2025-05-01,balance_sheet,balance_sheet,InvestmentOwnedBalanceShareTradingDays,InvestmentOwnedBalanceShareTradingDays,P10D,c-719,,,,,,False,InvestmentOwnedBalanceShareTradingDays,
OCSL,2025-05-01,balance_sheet,balance_sheet,InvestmentOwnedBalanceSharesVWAPConsecutiveTradingDays,InvestmentOwnedBalanceSharesVWAPConsecutiveTradingDays,P20D,c-719,,,,,,False,InvestmentOwnedBalanceSharesVWAPConsecutiveTradingDays,
OCSL,2025-05-01,balance_sheet,balance_sheet,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,http://fasb.org/us-gaap/2024#DebtAndEquitySecuritiesUnrealizedGainLoss,c-807,,,,,,False,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,
OCSL,2025-05-01,balance_sheet,balance_sheet,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,http://fasb.org/us-gaap/2024#DebtAndEquitySecuritiesRealizedGainLoss,c-812,,,,,,False,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,
OCSL,2025-05-01,balance_sheet,balance_sheet,FairValueAssetRecurringBasisStillHeldUnrealizedGainLossStatementOfIncomeExtensibleList,FairValueAssetRecurringBasisStillHeldUnrealizedGainLossStatementOfIncomeExtensibleList,http://fasb.org/us-gaap/2024#RealizedAndUnrealizedGainLossInvestmentDerivativeAndForeignCurrencyTransactionOperatingAfterTax,c-23,,,,,,False,FairValueAssetRecurringBasisStillHeldUnrealizedGainLossStatementOfIncomeExtensibleList,
OCSL,2025-05-01,balance_sheet,balance_sheet,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,http://fasb.org/us-gaap/2024#DebtAndEquitySecuritiesUnrealizedGainLoss,c-830,,,,,,False,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,
OCSL,2025-05-01,balance_sheet,balance_sheet,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,http://fasb.org/us-gaap/2024#DebtAndEquitySecuritiesRealizedGainLoss,c-835,,,,,,False,FairValueRecurringBasisUnobservableInputReconciliationAssetGainLossStatementOfIncomeExtensibleList,
OCSL,2025-05-01,balance_sheet,balance_sheet,FairValueAssetRecurringBasisStillHeldUnrealizedGainLossStatementOfIncomeExtensibleList,FairValueAssetRecurringBasisStillHeldUnrealizedGainLossStatementOfIncomeExtensibleList,http://fasb.org/us-gaap/2024#RealizedAndUnrealizedGainLossInvestmentDerivativeAndForeignCurrencyTransactionOperatingAfterTax,c-24,,,,,,False,FairValueAssetRecurringBasisStillHeldUnrealizedGainLossStatementOfIncomeExtensibleList,
