ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
OFS,2022-11-04,2022-11-04,duration,569048000.000000,365304000.000000,203744000.000000,353820000.000000,1.736591,0.621775,1.608298,,,,,,,,,,,33366000.000000,,,,,0.000000,True
OFS,2023-03-03,2023-03-03,duration,569048000.000000,365304000.000000,203744000.000000,335620000.000000,1.647263,0.589792,1.695513,,,,,,,,,,,52972000.000000,,,,,0.000000,True
OFS,2023-05-05,2023-05-05,duration,520717000.000000,340294000.000000,208386000.000000,331920000.000000,1.592813,0.637429,1.568803,,,,,,,,,,,12167000.000000,,,,,-27963000.000000,False
OFS,2023-08-04,2023-08-04,duration,520717000.000000,340294000.000000,208386000.000000,327520000.000000,1.571699,0.628979,1.589878,,,,,,,,,,,-9409000.000000,,,,,-27963000.000000,False
OFS,2023-11-03,2023-11-03,duration,520717000.000000,340294000.000000,203744000.000000,303020000.000000,1.487259,0.581928,1.718425,,,,,,,,,,,-14135000.000000,,,,,-23321000.000000,False
OFS,2024-03-05,2024-03-05,duration,520717000.000000,340294000.000000,203744000.000000,302420000.000000,1.484314,0.580776,1.721834,,,,,,,,,,,48813000.000000,,,45349000.000000,,-23321000.000000,False
OFS,2024-05-03,2024-05-03,duration,469818000.000000,307814000.000000,184841000.000000,258500000.000000,1.398499,0.550213,1.817478,,,,,,,,,,,-5243000.000000,,,45349000.000000,,-22837000.000000,False
OFS,2024-08-02,2024-08-02,duration,469818000.000000,307814000.000000,184841000.000000,249100000.000000,1.347645,0.530205,1.886062,,,,,,,,,,,11485000.000000,,,45349000.000000,,-22837000.000000,False
OFS,2024-11-01,2024-11-01,duration,469818000.000000,307814000.000000,184841000.000000,249100000.000000,1.347645,0.530205,1.886062,,,,,,,,,,,10099000.000000,,,45349000.000000,,-22837000.000000,False
OFS,2025-03-04,2025-03-04,duration,469818000.000000,307814000.000000,203744000.000000,248350000.000000,1.218932,0.528609,1.891758,,,,,,,,,,,20391000.000000,,,45349000.000000,,-41740000.000000,False
OFS,2025-05-02,2025-05-02,duration,428123000.000000,255898000.000000,184912000.000000,248050000.000000,1.341449,0.579390,1.725954,,,,,,,,,,,-16336000.000000,,,6068000.000000,,-12687000.000000,True
OFS,2025-08-01,2025-08-01,duration,428123000.000000,255898000.000000,184912000.000000,243400000.000000,1.316302,0.568528,1.758928,,,,,,,,,,,-14942000.000000,,,10238000.000000,,-12687000.000000,True
OFS,2025-10-31,2025-10-31,duration,428123000.000000,255898000.000000,184912000.000000,239200000.000000,1.293588,0.558718,1.789812,,,,,,,,,,,-22917000.000000,,,6068000.000000,,-12687000.000000,True
OFS,2026-03-03,2026-03-03,duration,428123000.000000,255898000.000000,203744000.000000,220450000.000000,1.081995,0.514922,1.942041,,,,,,,,,,,-5116000.000000,,,6068000.000000,,-31519000.000000,False
