ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
PSEC,2022-11-09,2022-11-09,duration,7663423000.000000,2852224000.000000,4119123000.000000,2769156000.000000,0.672268,0.361347,2.767422,,,,,,,,,,,34411000.000000,,,,,692076000.000000,False
PSEC,2023-02-08,2023-02-08,duration,7890413000.000000,2852224000.000000,4140128000.000000,2769156000.000000,0.668858,0.350952,2.849393,,,,,,,,,,,2251230000.000000,,,70086000.000000,,898061000.000000,False
PSEC,2023-05-09,2023-05-09,duration,7701533000.000000,2852224000.000000,4236011000.000000,2769156000.000000,0.653718,0.359559,2.781184,,,,,,,,,,,1688888000.000000,,,65092000.000000,,613298000.000000,False
PSEC,2023-09-08,2023-09-08,duration,7861666000.000000,2852224000.000000,4123586000.000000,2769156000.000000,0.671541,0.352235,2.839012,,,,,,,,,,,2396977000.000000,,,95646000.000000,,885856000.000000,False
PSEC,2024-02-08,2024-02-08,duration,7861666000.000000,2710987000.000000,4179293000.000000,2610216000.000000,0.624559,0.332018,3.011883,,,,,,,,,,,1001398000.000000,,,97289000.000000,,971386000.000000,False
PSEC,2024-05-08,2024-05-08,duration,7905794000.000000,2710987000.000000,4198655000.000000,2610216000.000000,0.621679,0.330165,3.028789,,,,,,,,,,,1007367000.000000,,,95646000.000000,,996152000.000000,False
PSEC,2024-08-28,2024-08-28,duration,7861666000.000000,2710987000.000000,4208607000.000000,2610216000.000000,0.620209,0.332018,3.011883,,,,,,,,,,,1637088000.000000,,,95646000.000000,,942072000.000000,False
PSEC,2024-11-08,2024-11-08,duration,7857092000.000000,2559171000.000000,4250105000.000000,2454992000.000000,0.577631,0.312456,3.200455,,,,,,,,,,,726137000.000000,,,85872000.000000,,1047816000.000000,False
PSEC,2025-02-10,2025-02-10,duration,7857092000.000000,2559171000.000000,4267636000.000000,2454992000.000000,0.575258,0.312456,3.200455,,,,,,,,,,,520640000.000000,,,85872000.000000,,1030285000.000000,False
PSEC,2025-05-08,2025-05-08,duration,7857092000.000000,2559171000.000000,4304253000.000000,2454992000.000000,0.570364,0.312456,3.200455,,,,,,,,,,,425538000.000000,,,85872000.000000,,993668000.000000,False
PSEC,2025-08-26,2025-08-26,duration,7857092000.000000,2559171000.000000,4242196000.000000,2454992000.000000,0.578708,0.312456,3.200455,,,,,,,,,,,498270000.000000,,,85872000.000000,,1055725000.000000,False
PSEC,2025-11-06,2025-11-06,duration,6804938000.000000,2186266000.000000,4272510000.000000,2103554000.000000,0.492346,0.309122,3.234972,,,,,,,,,,,-456189000.000000,,,86541000.000000,,346162000.000000,False
PSEC,2026-02-09,2026-02-09,duration,6804938000.000000,2186266000.000000,4300694000.000000,2103554000.000000,0.489120,0.309122,3.234972,,,,,,,,,,,-385745000.000000,,,50788000.000000,,317978000.000000,False
