ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
RAND,2023-05-09,2023-05-09,duration,70605273.000000,11229880.000000,60745416.000000,11229880.000000,0.184868,0.159052,6.287269,,,,,,,,,,,3519480.000000,,,,,-1370023.000000,True
RAND,2023-08-04,2023-08-04,duration,76054837.000000,14652809.000000,61402028.000000,14652809.000000,0.238637,0.192661,5.190461,,,,,,,,,,,6621484.000000,,,,,0.000000,True
RAND,2023-11-06,2023-11-06,duration,79039682.000000,17687405.000000,61402028.000000,17687405.000000,0.288059,0.223779,4.468699,,,,,,,,,,,11872106.000000,,,,,-49751.000000,True
RAND,2024-03-05,2024-03-05,duration,81021982.000000,20206769.000000,60815213.000000,20206769.000000,0.332265,0.249399,4.009646,,,,,,,,,,,32731831.000000,,,,,0.000000,True
RAND,2024-05-13,2024-05-13,duration,84355130.000000,22785791.000000,61569339.000000,22785791.000000,0.370083,0.270117,3.702094,,,,,,,,,,,7139316.000000,,,,,0.000000,True
RAND,2024-08-06,2024-08-06,duration,90789069.000000,22230453.000000,68558616.000000,22230453.000000,0.324255,0.244858,4.083995,,,,,,,,,,,48777968.000000,,,,,0.000000,True
RAND,2024-11-06,2024-11-06,duration,81021982.000000,20206769.000000,70446636.000000,20206769.000000,0.286838,0.249399,4.009646,,,,,,,,,,,40886722.000000,,,,,-9631423.000000,False
RAND,2025-03-10,2025-03-10,duration,81021982.000000,20206769.000000,65332520.000000,20206769.000000,0.309291,0.249399,4.009646,,,,,,,,,,,45180937.000000,,,,,-4517307.000000,False
RAND,2025-05-05,2025-05-05,duration,72457433.000000,7124913.000000,65332520.000000,7124913.000000,0.109056,0.098332,10.169588,,,,,,,,,,,4481656.000000,,,,,0.000000,True
RAND,2025-08-04,2025-08-04,duration,72457433.000000,7124913.000000,68558616.000000,7124913.000000,0.103924,0.098332,10.169588,,,,,,,,,,,4488132.000000,,,,,-3226096.000000,False
RAND,2025-11-07,2025-11-07,duration,72457433.000000,7124913.000000,70446636.000000,7124913.000000,0.101139,0.098332,10.169588,,,,,,,,,,,6106182.000000,,,,,-5114116.000000,False
RAND,2026-03-05,2026-03-05,duration,72457433.000000,7124913.000000,65332520.000000,7124913.000000,0.109056,0.098332,10.169588,,,,,,,,,,,8890626.000000,,,4208948.000000,,0.000000,True
