ticker,filing_date,period_end,balance_check_ok,balance_check_delta,shares_outstanding,share_change_pct,abrupt_share_change_flag
RWAY,2022-11-03,2022-11-03,False,45197145.000000,,,False
RWAY,2023-03-02,2023-03-02,True,-30143000.000000,,,False
RWAY,2023-05-09,2023-05-09,False,-36388000.000000,,,False
RWAY,2023-08-08,2023-08-08,True,-32172000.000000,,,False
RWAY,2023-11-07,2023-11-07,True,-30143000.000000,,,False
RWAY,2024-03-07,2024-03-07,True,-30143000.000000,,,False
RWAY,2024-05-07,2024-05-07,False,-58703000.000000,,,False
RWAY,2024-08-08,2024-08-08,False,-98473000.000000,,,False
RWAY,2024-11-12,2024-11-12,False,-94841000.000000,,,False
RWAY,2025-03-20,2025-03-20,False,-91326000.000000,,,False
RWAY,2025-05-12,2025-05-12,False,-90241000.000000,,,False
RWAY,2025-08-07,2025-08-07,False,-90241000.000000,,,False
RWAY,2025-11-06,2025-11-06,False,-90241000.000000,,,False
RWAY,2026-03-12,2026-03-12,False,-90905000.000000,,,False
