ticker,filing_date,period_end,balance_check_ok,balance_check_delta,shares_outstanding,share_change_pct,abrupt_share_change_flag
SCM,2022-11-03,2022-11-03,True,-7933249.000000,,,False
SCM,2023-02-28,2023-02-28,True,-9334620.000000,,,False
SCM,2023-05-09,2023-05-09,True,-6665226.000000,,,False
SCM,2023-08-09,2023-08-09,False,-36457094.000000,,,False
SCM,2023-11-07,2023-11-07,False,-47741568.000000,,,False
SCM,2024-03-04,2024-03-04,False,-50238825.000000,,,False
SCM,2024-05-09,2024-05-09,True,-12478580.000000,,,False
SCM,2024-08-07,2024-08-07,True,-13981511.000000,,,False
SCM,2024-11-07,2024-11-07,True,-9145158.000000,,,False
SCM,2025-03-04,2025-03-04,True,-9627332.000000,,,False
SCM,2025-05-12,2025-05-12,True,-15720520.000000,,,False
SCM,2025-08-06,2025-08-06,True,-16938449.000000,,,False
SCM,2025-11-10,2025-11-10,True,-21680303.000000,,,False
SCM,2026-03-11,2026-03-11,True,-26650837.000000,,,False
