ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
SLRC,2022-08-02,2022-08-02,duration,2392453000.000000,1377300000.000000,,1006600000.000000,,0.420740,2.376766,,,,,,,,,,,53607000.000000,,,,,,
SLRC,2022-11-02,2022-11-02,duration,2455435000.000000,1449210000.000000,,1156200000.000000,,0.470874,2.123711,,,,,,,,,,,80252000.000000,,,,,,
SLRC,2023-02-28,2023-02-28,duration,2537695000.000000,1537964000.000000,,1093200000.000000,,0.430785,2.321346,,,,,,,,,,,118239000.000000,,,,,,
SLRC,2023-05-10,2023-05-10,duration,2556199000.000000,1572021000.000000,,1122200000.000000,,0.439011,2.277846,,,,,,,,,,,25989000.000000,,,,,,
SLRC,2023-08-08,2023-08-08,duration,2553230000.000000,1572425000.000000,,1219200000.000000,,0.477513,2.094185,,,,,,,,,,,58782000.000000,,,,,,
SLRC,2023-11-07,2023-11-07,duration,2539086000.000000,1553701000.000000,,1197750000.000000,,0.471725,2.119880,,,,,,,,,,,69200000.000000,,,,,,
SLRC,2024-02-27,2024-02-27,duration,2537695000.000000,1537964000.000000,,1183250000.000000,,0.466270,2.144682,,,,,,,,,,,247283000.000000,,,,,,
SLRC,2024-05-08,2024-05-08,duration,2523868000.000000,1537229000.000000,,1183250000.000000,,0.468824,2.132996,,,,,,,,,,,65271000.000000,,,,,,
SLRC,2024-08-07,2024-08-07,duration,2523868000.000000,1537229000.000000,,1183250000.000000,,0.468824,2.132996,,,,,,,,,,,187744000.000000,,,,,,
SLRC,2024-11-06,2024-11-06,duration,2523868000.000000,1537229000.000000,,1183250000.000000,,0.468824,2.132996,,,,,,,,,,,266945000.000000,,,,,,
SLRC,2025-02-25,2025-02-25,duration,2523868000.000000,1537229000.000000,,1183250000.000000,,0.468824,2.132996,,,,,,,,,,,301885000.000000,,,,,,
SLRC,2025-05-07,2025-05-07,duration,2502972000.000000,1512487000.000000,,1048260000.000000,,0.418806,2.387740,,,,,,,,,,,76362000.000000,,,,,,
SLRC,2025-08-05,2025-08-05,duration,2537272000.000000,1544923000.000000,,1181260000.000000,,0.465563,2.147937,,,,,,,,,,,212937000.000000,,,,,,
SLRC,2025-11-04,2025-11-04,duration,2529892000.000000,1536605000.000000,,1147436000.000000,,0.453551,2.204822,,,,,,,,,,,268691000.000000,,,,,,
SLRC,2026-02-24,2026-02-24,duration,2572564000.000000,1576571000.000000,,1154436000.000000,,0.448749,2.228416,,,,,,,,,,,371114000.000000,,,,,,
