ticker,filing_date,period_end,period_type,total_assets,total_liabilities,total_equity,total_debt,debt_to_equity,debt_to_assets,asset_coverage,shares_outstanding,share_change,share_change_pct,gross_issuance_proceeds,gross_buybacks,net_equity_financing,shares_issued,shares_repurchase,share_based_comp_expense,stock_issued_for_comp,net_income,nii_proxy,nii_per_share,cash_equivalents,unfunded_commitments,balance_check_delta,balance_check_ok
TCPC,2022-11-03,2022-11-03,duration,1894229327.000000,1064772691.000000,979973202.000000,1012461340.000000,1.033152,0.534498,1.870915,,,,,,,,,,,176903629.000000,,,105794529.000000,,-150516566.000000,False
TCPC,2023-02-28,2023-02-28,duration,1894229327.000000,1064772691.000000,997379362.000000,1012461340.000000,1.015122,0.534498,1.870915,,,,,,,,,,,195939930.000000,,,82435171.000000,,-167922726.000000,False
TCPC,2023-05-04,2023-05-04,duration,1792799456.000000,1041817311.000000,967890570.000000,1022620485.000000,1.056546,0.570404,1.753143,,,,,,,,,,,35162839.000000,,,98788656.000000,,-216908425.000000,False
TCPC,2023-08-03,2023-08-03,duration,1792739070.000000,1045147109.000000,967890570.000000,1021131891.000000,1.055008,0.569593,1.755639,,,,,,,,,,,67408061.000000,,,123129111.000000,,-220298609.000000,False
TCPC,2023-11-02,2023-11-02,duration,1719349849.000000,984167557.000000,967890570.000000,970374273.000000,1.002566,0.564384,1.771842,,,,,,,,,,,129409328.000000,,,91653006.000000,,-232708278.000000,False
TCPC,2024-02-29,2024-02-29,duration,1719349849.000000,1011170807.000000,979973202.000000,985200609.000000,1.005334,0.573008,1.745177,,,,,,,,,,,163039874.000000,,,112241946.000000,,-271794160.000000,False
TCPC,2024-05-01,2024-05-01,duration,2283532138.000000,1330049711.000000,1248080041.000000,1302812708.000000,1.043853,0.570525,1.752771,,,,,,,,,,,27771020.000000,,,120572710.000000,,-294597614.000000,False
TCPC,2024-08-07,2024-08-07,duration,2218681487.000000,1345576563.000000,1248080041.000000,1320313446.000000,1.057876,0.595089,1.680420,,,,,,,,,,,-42280642.000000,,,194669436.000000,,-374975117.000000,False
TCPC,2024-11-06,2024-11-06,duration,2047700892.000000,1182063994.000000,1248080041.000000,1160042987.000000,0.929462,0.566510,1.765194,,,,,,,,,,,61656973.000000,,,112241946.000000,,-382443143.000000,False
TCPC,2025-02-27,2025-02-27,duration,1923031363.000000,1137907696.000000,1731057459.000000,1118340225.000000,0.646045,0.581551,1.719541,,,,,,,,,,,-33888072.000000,,,59200000.000000,,-945933792.000000,False
TCPC,2025-05-08,2025-05-08,duration,1923031363.000000,1137907696.000000,1731057459.000000,1118340225.000000,0.646045,0.581551,1.719541,,,,,,,,,,,25951729.000000,,,59200000.000000,,-945933792.000000,False
TCPC,2025-08-07,2025-08-07,duration,1936968600.000000,1196491662.000000,1731057459.000000,1174640591.000000,0.678568,0.606432,1.648988,,,,,,,,,,,-108414473.000000,,,107317578.000000,,-990580521.000000,False
TCPC,2025-11-06,2025-11-06,duration,1923031363.000000,1137907696.000000,1731057459.000000,1118340225.000000,0.646045,0.581551,1.719541,,,,,,,,,,,50773972.000000,,,91589702.000000,,-945933792.000000,False
TCPC,2026-02-27,2026-02-27,duration,1923031363.000000,1137907696.000000,1731057459.000000,1118340225.000000,0.646045,0.581551,1.719541,,,,,,,,,,,-113593753.000000,,,91589702.000000,,-945933792.000000,False
