ticker,filing_date,period_end,balance_check_ok,balance_check_delta,shares_outstanding,share_change_pct,abrupt_share_change_flag
WHF,2022-11-14,2022-11-14,True,0.000000,,,False
WHF,2023-03-03,2023-03-03,True,0.000000,,,False
WHF,2023-05-09,2023-05-09,True,-17364000.000000,,,False
WHF,2023-08-08,2023-08-08,True,-17364000.000000,,,False
WHF,2023-11-09,2023-11-09,True,-17364000.000000,,,False
WHF,2024-03-05,2024-03-05,True,-17364000.000000,,,False
WHF,2024-05-08,2024-05-08,False,-25448000.000000,,,False
WHF,2024-08-08,2024-08-08,False,-22468000.000000,,,False
WHF,2024-11-07,2024-11-07,False,-22468000.000000,,,False
WHF,2025-03-07,2025-03-07,False,-32979000.000000,,,False
WHF,2025-05-12,2025-05-12,False,-56826000.000000,,,False
WHF,2025-08-07,2025-08-07,False,-57612000.000000,,,False
WHF,2025-11-10,2025-11-10,False,-52141000.000000,,,False
WHF,2026-03-06,2026-03-06,False,-53106000.000000,,,False
