company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
1WorldSync Inc.,co_c2ba6cc33e04,First Lien,,9.8%,,SOFR,5%,,,16225,16059,16225,1.3%,16059,,,,BBDC,2023-05-04
A.T. Holdings II Ltd.,co_0b22504e9cbf,First Lien,,14.3%,,,,,,12500,12500,12500,1%,12500,,,,BBDC,2023-05-04
Accelerant Holdings Banking Finance Insurance & Real Estate,co_5c3fb08bbe79,Preferred Equity,Insurance,,,,,,,,5000,5523,0.5%,5000,,,,BBDC,2023-05-04
Accelerant Holdings Banking Finance Insurance & Real Estate,co_5c3fb08bbe79,Preferred Equity,Insurance,,,,,,,,1667,1735,0.1%,1667,,,,BBDC,2023-05-04
Acclime Holdings HK Limited Business services,co_fae2acef9bfd,First Lien,Business Services,11.6%,,SOFR,6.75%,,,2500,2450,2442,0.2%,2450,,,,BBDC,2023-05-04
Accurus Aerospace Corp.,co_3b97feca7f19,First Lien,Aerospace & Defense,10.8%,,SOFR,5.75%,,,12224,12065,11711,1%,12065,,,,BBDC,2023-05-04
Accurus Aerospace Corp.,co_3b97feca7f19,Revolver,Aerospace & Defense,10.5%,,SOFR,5.75%,,,1383,1354,1286,0.1%,1354,,,,BBDC,2023-05-04
Accurus Aerospace Corp.,co_3b97feca7f19,Common Equity,Aerospace & Defense,,,,,,,,438,328,0%,438,,,,BBDC,2023-05-04
Acogroup Business Services,co_955d4f23fb68,First Lien,Business Services,7.5%,,SOFR,4.75%,,,7855,7791,7250,0.6%,7791,,,,BBDC,2023-05-04
ADB Safegate Aerospace & Defense,co_232b2c3a2244,Second Lien,Aerospace & Defense,14.2%,,SOFR,9.25%,,,5688,5396,4721,0.4%,5396,,,,BBDC,2023-05-04
Advantage Software Company (The) LLC,co_0440b5630c9e,Other Equity,Software & Technology,,,,,,,,280,671,0.1%,280,,,,BBDC,2023-05-04
Advantage Software Company (The) LLC,co_0440b5630c9e,Other Equity,Software & Technology,,,,,,,,72,173,0%,72,,,,BBDC,2023-05-04
Advantage Software Company (The) LLC,co_0440b5630c9e,Other Equity,Software & Technology,,,,,,,,9,0,0%,9,,,,BBDC,2023-05-04
Advantage Software Company (The) LLC,co_0440b5630c9e,Other Equity,Software & Technology,,,,,,,,2,0,0%,2,,,,BBDC,2023-05-04
Air Canada 2020-2 Class B Pass Through Trust Airlines,co_5f26a52a1aad,Other Equity,Transportation & Logistics,9%,,,,,,4841,4841,4920,0.4%,4841,,,,BBDC,2023-05-04
Air Comm Corp.,co_6f9c9f6e6a56,First Lien,,10.5%,,SOFR,5.5%,,,12842,12650,12711,1.1%,12650,,,,BBDC,2023-05-04
AIT Worldwide Logistics Holdings Inc.,co_675b5ce0f3d0,Second Lien,Transportation & Logistics,12.7%,,SOFR,7.5%,,,6460,6343,6260,0.5%,6343,,,,BBDC,2023-05-04
AIT Worldwide Logistics Holdings Inc.,co_675b5ce0f3d0,Other Equity,Transportation & Logistics,,,,,,,,349,557,0%,349,,,,BBDC,2023-05-04
AlliA Insurance Brokers NV Insurance,co_90188f0f4714,First Lien,Insurance,9.3%,,SOFR,6.25%,,,3041,2865,2901,0.2%,2865,,,,BBDC,2023-05-04
Alpine SG LLC,co_a20fc41b851b,First Lien,,10.8%,,SOFR,6%,,,23139,22678,22677,1.9%,22678,,,,BBDC,2023-05-04
Alpine US Bidco LLC,co_88bc58e31bdb,Second Lien,,13.7%,,SOFR,9%,,,18156,17705,16704,1.4%,17705,,,,BBDC,2023-05-04
Amalfi Midco Healthcare,co_91ef0285a8c2,Subordinated Debt,Healthcare,7%,9%,SOFR,2%,,,4917,4450,4322,0.4%,4450,,,,BBDC,2023-05-04
Amalfi Midco Healthcare,co_91ef0285a8c2,Common Equity,Healthcare,,,,,,,,1040,1152,0.1%,1040,,,,BBDC,2023-05-04
Amalfi Midco Healthcare,co_91ef0285a8c2,Warrants,Healthcare,,,,,,,,4,621,0.1%,4,,,,BBDC,2023-05-04
AMMC CLO 22 Limited Series 2018-22A Multi-Sector Holdings,co_b8af06173e75,Subordinated Debt,,,,,,,,7222,4421,2976,0.2%,4421,,,,BBDC,2023-05-04
