company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Advantage Sales & Marketing Inc.,First Lien,Business Services,8.5%,,N/A,3.25%,,2021-07-23,15743,15500,13972,,7,,,BCSF,2019-08-07
AMCP Clean Acquisition Company LLC,Delayed Draw,Business Services,4.25%,,N/A,4.25%,,2025-06-16,1489,1483,1432,,,,,BCSF,2019-08-07
AMCP Clean Acquisition Company LLC,First Lien,Business Services,4.25%,,N/A,4.25%,,2025-06-16,15773,15725,15537,,,,,BCSF,2019-08-07
Comet Bidco Ltd.,First Lien,Business Services,5.25%,,LIBOR,5.25%,,2024-09-30,10261,13081,12719,,,,,BCSF,2019-08-07
Lakeland Tours LLC,First Lien,Business Services,4.00%,,N/A,4.00%,,2024-12-16,2887,2878,2820,,,,,BCSF,2019-08-07
LegalZoom.com Inc.,First Lien,Business Services,4.50%,,N/A,4.50%,,2024-11-21,15839,15735,15601,,,,,BCSF,2019-08-07
New Insight Holdings Inc.,First Lien,Business Services,5.50%,,N/A,5.50%,,2024-12-20,20529,20041,20349,,,,,BCSF,2019-08-07
Sovos Compliance LLC,Delayed Draw,Business Services,6.00%,,N/A,6.00%,,2022-03-01,3958,3958,3910,,,,,BCSF,2019-08-07
Sovos Compliance LLC,Revolver,Other,,,N/A,,,,0,0,0,0,0,,,BCSF,2019-08-07
Sovos Compliance LLC,First Lien,Business Services,6.00%,,N/A,6.00%,,2022-03-01,8601,8541,8515,,,,,BCSF,2019-08-07
TEI Holdings Inc.,Revolver,Business Services,5.00%,,N/A,5.00%,,2022-12-20,708,708,666,,,,,BCSF,2019-08-07
Valet Waste Holdings Inc.,First Lien,Business Services,4.00%,,N/A,4.00%,,2025-09-29,28761,28686,28402,,,,,BCSF,2019-08-07
XO Management Holding Inc.,First Lien,Business Services,5.75%,,N/A,5.75%,,2021-12-04,12355,11490,11490,,,,,BCSF,2019-08-07
GI Chill Acquisition LLC,First Lien,Business Services,4.00%,,N/A,4.00%,,2025-08-06,11464,11441,11464,,,,,BCSF,2019-08-07
McKissock LLC,Revolver,Business Services,2.25%,,N/A,2.25%,,2021-08-05,992,992,992,,,,,BCSF,2019-08-07
Pearl Intermediate Parent LLC,Second Lien,Business Services,8.65%,,N/A,6.25%,,2026-02-13,2571,2589,2513,6.25,,,,BCSF,2019-08-07
Trident LS Merger Sub Corp.,First Lien,Business Services,3.00%,,N/A,3.00%,,2025-05-01,4186,4177,4102,,,,,BCSF,2019-08-07
Trident LS Merger Sub Corp.,Second Lien,Business Services,9.90%,,N/A,7.50%,,2026-05-01,2246,2226,2237,6.25,,,,BCSF,2019-08-07
Travel Leaders Group LLC,First Lien,Business Services,4.00%,,N/A,4.00%,,2024-01-25,528,527,524,,,,,BCSF,2019-08-07
WeddingWire Inc.,Second Lien,Business Services,8.25%,,N/A,8.25%,,2026-12-21,6187,6125,6156,,,,,BCSF,2019-08-07
WeddingWire Inc.,First Lien,Business Services,4.50%,,N/A,4.50%,,2025-12-19,13218,13251,13020,,,,,BCSF,2019-08-07
Horizon Telcom Inc.,Delayed Draw,Telecommunications,,,N/A,,,,0,0,0,0,0,,,BCSF,2019-08-07
Horizon Telcom Inc.,First Lien,Telecommunications,4.50%,,N/A,4.50%,,2023-06-15,13869,13712,13661,,,,,BCSF,2019-08-07
Horizon Telcom Inc.,Revolver,Telecommunications,,,,6/15/2023,,,0,0,0,0,0,0,,BCSF,2019-08-07
Masergy Holdings Inc.,Second Lien,Telecommunications,7.50%,,N/A,7.50%,,2024-12-16,857,863,840,,,,,BCSF,2019-08-07
Masergy Holdings Inc.,First Lien,Telecommunications,3.25%,,N/A,3.25%,,2023-12-15,686,684,664,,,,,BCSF,2019-08-07
Direct ChassisLink Inc.,Second Lien,Transportation & Logistics,6.00%,,N/A,6.00%,,2023-06-15,27685,27631,26716,,,,,BCSF,2019-08-07
Forming & Machining Industries Inc.,Second Lien,Aerospace & Defense,,,,,,,,,6540,6478,6278,,,BCSF,2019-08-07
Forming & Machining Industries Inc.,First Lien,Aerospace & Defense,,,,,,,,,14863,14794,14491,,,BCSF,2019-08-07
MRO Holdings Inc.,First Lien,Aerospace & Defense,,,,,,,,,3251,3235,3247,,,BCSF,2019-08-07
Novetta LLC,First Lien,Aerospace & Defense,,,,,,,,,6616,6519,6519,,,BCSF,2019-08-07
Salient CRGT Inc.,First Lien,Aerospace & Defense,,,,,,,,,12905,12957,12389,,,BCSF,2019-08-07
TCFI Aevex LLC,Revolver,Aerospace & Defense,,,,,,,,,415,353,366,,,BCSF,2019-08-07
TCFI Aevex LLC,First Lien,Aerospace & Defense,,,,,,,,,38708,38011,38031,,,BCSF,2019-08-07
TECT Power Holdings LLC,Second Lien,Aerospace & Defense,,,,,,,,,14758,14576,14759,,,BCSF,2019-08-07
WCI-HSG HOLDCO LLC,Preferred Equity,Aerospace & Defense,,,,,,,675,675,732,,,,,BCSF,2019-08-07
