company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Cobham Holdings Inc.,co_668f99690017,First Lien,,11.65%,,SOFR,6.75%,,,,2000,1931,1929,0.05%,1931,,,,,,BXSL,2023-05-10
Corfin Holdings Inc.,co_13563ec0840a,First Lien,,11.41%,,SOFR,6%,,,,198880,196991,194902,4.65%,196991,,,,,,BXSL,2023-05-10
Corfin Holdings Inc.,co_13563ec0840a,First Lien,,11.04%,,SOFR,6%,,,,954,916,935,0.02%,916,,,,,,BXSL,2023-05-10
Corfin Holdings Inc.,co_13563ec0840a,First Lien,,11.41%,,SOFR,6%,,,,69084,68245,67702,1.62%,68245,,,,,,BXSL,2023-05-10
Linquest Corp.,co_31f141ccc8e1,First Lien,,10.7%,,SOFR,5.75%,,,,9813,9659,9420,0.22%,9659,,,,,,BXSL,2023-05-10
MAG DS Corp.,co_c49257271dab,First Lien,,10.5%,,SOFR,5.5%,,,,81099,76358,74611,1.78%,76358,,,,,,BXSL,2023-05-10
Maverick Acquisition Inc.,co_1ea35689c2a1,First Lien,,11.41%,,SOFR,6.25%,,,,18741,18476,15836,0.38%,18476,,,,,,BXSL,2023-05-10
TCFI AEVEX LLC,co_ffe25c80a363,First Lien,,10.84%,,SOFR,6%,,,,111087,109950,104977,2.51%,109950,,,,,,BXSL,2023-05-10
AGI-CFI Holdings Inc.,co_12186169ddbd,First Lien,,10.86%,,SOFR,5.75%,,,,96151,94748,94228,2.25%,94748,,,,,,BXSL,2023-05-10
ENV Bidco AB 1,co_c35c43cf46e4,First Lien,,10.9%,,SOFR,6%,,,,1006,983,991,0.02%,983,,,,,,BXSL,2023-05-10
ENV Bidco AB 2,co_c35c43cf46e4,First Lien,,9.02%,,SOFR,6%,,,,1122,1077,1176,0.03%,1077,,,,,,BXSL,2023-05-10
Livingston International Inc.,co_45fbb5f3dc35,First Lien,,10.66%,,SOFR,5.5%,,,,128525,126264,127239,3.04%,126264,,,,,,BXSL,2023-05-10
Mode Purchaser Inc.,co_55645c0962a7,First Lien,,11.1%,,SOFR,6.25%,,,,172975,171151,172975,4.13%,171151,,,,,,BXSL,2023-05-10
Mode Purchaser Inc.,co_55645c0962a7,First Lien,,11.1%,,SOFR,6.25%,,,,4938,4855,4938,0.12%,4855,,,,,,BXSL,2023-05-10
Redwood Services Group LLC,co_09803b676c7a,First Lien,Business Services,11.15%,,SOFR,6.15%,,,,2560,2509,2501,0.06%,2509,,,,,,BXSL,2023-05-10
RoadOne Inc.,co_ee1cd15309ba,First Lien,,11.11%,,SOFR,6.25%,,,,1142,1100,1099,0.03%,1100,,,,,,BXSL,2023-05-10
RWL Holdings LLC,co_c51f7dc597d0,First Lien,,10.8%,,SOFR,5.75%,,,,24072,23626,23767,0.57%,23626,,,,,,BXSL,2023-05-10
