company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
AP Exhaust Acquisition LLC,Second Lien,Automotive,,,N/A,850,2025-05-01,,8772269,,,,,,,CCAP,2018-05-11
Continental Battery Company,First Lien,Automotive,,,N/A,450,2022-12-01,,3439279,,,,,,,CCAP,2018-05-11
POC Investors LLC,First Lien,Automotive,,,N/A,550,2021-11-01,,5386590,,,,,,,CCAP,2018-05-11
POC Investors LLC,First Lien,Automotive,,,N/A,450,2021-11-01,,282750,,,,,,,CCAP,2018-05-11
Alion Science and Technology Corp.,Unsecured Debt,Other,,,N/A,,2022-08-01,,4888189,,,,,,,CCAP,2018-05-11
MB Aerospace Holdings Inc.,First Lien,Other,,,N/A,550,2022-12-01,,4285785,,,,,,,CCAP,2018-05-11
Midwest Industrial Rubber,First Lien,Other,,,N/A,550,2021-12-01,,4001434,,,,,,,CCAP,2018-05-11
Potter Electric Signal Company,First Lien,Other,,,N/A,350,2022-12-01,,39415,,,,,,,CCAP,2018-05-11
Potter Electric Signal Company,First Lien,Other,,,N/A,450,2023-12-01,,2518322,,,,,,,CCAP,2018-05-11
Pro Mach Group Inc.,First Lien,Other,,,N/A,375,2021-10-01,,734727,,,,,,,CCAP,2018-05-11
ADMI Corp.,First Lien,Industrial Services,,,N/A,375,2022-04-01,,982876,,,,,,,CCAP,2018-05-11
Advantage Sales & Marketing Inc.,First Lien,Industrial Services,,,N/A,325,2021-07-01,,828859,,,,,,,CCAP,2018-05-11
Advantage Sales & Marketing Inc.,Second Lien,Industrial Services,,,N/A,650,2022-07-01,,502431,,,,,,,CCAP,2018-05-11
ASP MCS Acquisition Corp.,First Lien,Industrial Services,,,N/A,475,2024-05-01,,5323240,,,,,,,CCAP,2018-05-11
Brickman Group Ltd. LLC,Second Lien,Industrial Services,,,N/A,650,2021-12-01,,234832,,,,,,,CCAP,2018-05-11
DFS Intermediate Holdings LLC,First Lien,Industrial Services,,,N/A,525,2022-03-01,,509092,,,,,,,CCAP,2018-05-11
DFS Intermediate Holdings LLC,First Lien,Industrial Services,,,N/A,525,2022-03-01,,7168177,,,,,,,CCAP,2018-05-11
Hepaco LLC,First Lien,Industrial Services,,,N/A,400,2021-08-01,,120465,,,,,,,CCAP,2018-05-11
AP Exhaust Acquisition LLC,Second Lien,Automotive,,,,,,,,9072563,8779128,,,,,CCAP,2018-05-11
Auto-Vehicle Parts LLC,First Lien,Automotive,,,,,,2023-01-01,3591000,3539403,,,,,,CCAP,2018-05-11
Continental Battery Company,First Lien,Automotive,,,,,,2022-12-01,3491250,3433315,,,,,,CCAP,2018-05-11
POC Investors LLC,First Lien,Automotive,,,,,,2021-11-01,5441249,5376777,,,,,,CCAP,2018-05-11
POC Investors LLC,First Lien,Automotive,,,,,,2021-11-01,245833,237485,,,,,,CCAP,2018-05-11
Alion Science and Technology Corp.,Unsecured Debt,Other,,,,,,2022-08-01,5000000,4892775,,,,,,CCAP,2018-05-11
Midwest Industrial Rubber,First Lien,Other,,,,,,2021-12-01,4048750,3994505,,,,,,CCAP,2018-05-11
Potter Electric Signal Company,First Lien,Other,,,,,,2023-12-01,2550000,2519403,,,,,,CCAP,2018-05-11
ADMI Corp.,First Lien,Industrial Services,,,,,,2022-04-01,,,114,,,,,CCAP,2018-05-11
Advantage Sales & Marketing Inc.,First Lien,Industrial Services,,,,,,2021-07-01,826448,826700,,,,,,CCAP,2018-05-11
Advantage Sales & Marketing Inc.,Second Lien,Industrial Services,,,,,,2022-07-01,500000,502319,,,,,,CCAP,2018-05-11
ASP MCS Acquisition Corp.,First Lien,Industrial Services,,,,,,2024-05-01,5334687,5310666,,,,,,CCAP,2018-05-11
Brickman Group Ltd. LLC,Second Lien,Industrial Services,,,,,,2021-12-01,234043,234789,,,,,,CCAP,2018-05-11
DFS Intermediate Holdings LLC,First Lien,Industrial Services,,,,,,2022-03-01,7276500,7156572,,,,,,CCAP,2018-05-11
DFS Intermediate Holdings LLC,First Lien,Industrial Services,,,,,,2022-03-01,383502,373555,,,,,,CCAP,2018-05-11
Wrench Group LLC,First Lien,Financial Services,,,,,,2024-12-01,,,,47303090,46825136,,,CCAP,2018-05-11
Edelman Financial Group The,First Lien,Financial Services,,,,,,,,,,,3476786,3468484,,CCAP,2018-05-11
Murray Energy Corp.,First Lien,Energy & Utilities,,,,,,,,,,,350643,339828,,CCAP,2018-05-11
Good Source Solutions Inc.,First Lien,Food & Beverage,,,,,,,,,,,2573070,2554884,,CCAP,2018-05-11
HLF Financing S.a r.l.,First Lien,Food & Beverage,,,,,,,,,,,4625000,4547134,,CCAP,2018-05-11
Ameda Inc.,First Lien,Medical Devices & Equipment,,,,,,,,,,,2636750,2592458,,CCAP,2018-05-11
Beaver-Visitec International Inc.,First Lien,Medical Devices & Equipment,,,,,,,,,,,9372387,9312599,,CCAP,2018-05-11
CDRH Parent Inc.,First Lien,Medical Devices & Equipment,,,,,,,,,,,364302,366235,,CCAP,2018-05-11
