company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
PromptCare Intermediate LP,co_cf8a0bd7ff51,First Lien,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
PromptCare Intermediate LP,co_cf8a0bd7ff51,Delayed Draw,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Quorum Health Resources,co_31d331992976,First Lien,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Quorum Health Resources,co_31d331992976,Revolver,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Safco Dental Supply LLC,co_7564d8c46538,Revolver,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Safco Dental Supply LLC,co_7564d8c46538,First Lien,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Seniorlink Inc.,co_6d5f088adc4f,Revolver,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Seniorlink Inc.,co_6d5f088adc4f,First Lien,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Smile Doctors LLC,co_54cc4c84644e,Revolver,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Smile Doctors LLC,co_54cc4c84644e,Delayed Draw,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Smile Doctors LLC,co_54cc4c84644e,First Lien,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
SolutionReach Inc.,co_687e91868b79,First Lien,Software,,,,,,,,,,,,,,,CCAP,2024-11-12
SolutionReach Inc.,co_687e91868b79,Revolver,Software,,,,,,,,,,,,,,,CCAP,2024-11-12
Sydney US Buyer Corp.,co_ca94291ef619,First Lien,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Sydney US Buyer Corp.,co_ca94291ef619,Delayed Draw,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Team Select CSC TS Merger SUB LLC,co_8ac0e0246ed8,First Lien,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Team Select CSC TS Merger SUB LLC,co_8ac0e0246ed8,Revolver,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Team Select CSC TS Merger SUB LLC,co_8ac0e0246ed8,Delayed Draw,Automotive,,,,,,,,,,,,,,,CCAP,2024-11-12
Concord III LLC,co_01eb53ae0c26,First Lien,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
DataVail,co_35eff2df4fbb,First Lien,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
DataVail,co_35eff2df4fbb,Delayed Draw,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
DataVail,co_35eff2df4fbb,Revolver,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
Evergreen IX Borrower 2023 LLC,co_b818c8cf1a35,First Lien,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
Evergreen IX Borrower 2023 LLC,co_b818c8cf1a35,Revolver,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
Lexipol Ranger Buyer Inc.,co_35aa7ee1ea78,First Lien,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
Lexipol Ranger Buyer Inc.,co_35aa7ee1ea78,Revolver,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
List Partners Inc.,co_9e69c75d5bd2,Revolver,Other,,,,,,,,,,,,,,,CCAP,2024-11-12
