company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Central Security Group Inc.,First Lien,Business Services,8.5%,,LIBOR,563,2021-10-06,,19424,,,,,,,CION,2020-11-16
Charming Charlie LLC,Second Lien,Retail,20.00%,,N/A,,,,754,,,,,,,CION,2020-11-16
Charming Charlie LLC,First Lien,Retail,12.00%,,LIBOR,1200,2023-04-24,,,,,,,,,CION,2020-11-16
Charming Charlie LLC,First Lien,Retail,12.00%,,LIBOR,1200,2023-04-24,,,,,,,,,CION,2020-11-16
CHC Solutions Inc.,First Lien,Pharmaceuticals & Biotechnology,12.00%,,N/A,,,,7347,,,,,,,CION,2020-11-16
CircusTrix Holdings LLC,First Lien,Hotels & Leisure,5.50%,,LIBOR,550,2021-12-16,,17728,,,,,,,CION,2020-11-16
CircusTrix Holdings LLC,First Lien,Hotels & Leisure,5.50%,,LIBOR,550,2021-12-16,,2424,,,,,,,CION,2020-11-16
CircusTrix Holdings LLC,Unfunded Commitment,Hotels & Leisure,,,,,,,,,,,,,,CION,2020-11-16
Country Fresh Holdings LLC,First Lien,Food & Beverage,5.00%,,LIBOR,500,2023-04-29,,653,,,,,,,CION,2020-11-16
Country Fresh Holdings LLC,First Lien,Food & Beverage,5.00%,,LIBOR,500,2023-04-29,,413,,,,,,,CION,2020-11-16
Country Fresh Holdings LLC,Unfunded Commitment,Food & Beverage,,,,,,,,,,,,,,CION,2020-11-16
Crown Subsea Communications Holdings Inc.,First Lien,Other,6.00%,,LIBOR,600,2025-11-02,,5685,,,,,,,CION,2020-11-16
David's Bridal LLC,First Lien,Retail,6.00%,,LIBOR,600,2023-06-30,,584,,,,,,,CION,2020-11-16
Deluxe Entertainment Services Inc.,First Lien,Media & Entertainment,6.50%,,LIBOR,650,2024-03-25,,23656,,,,,,,CION,2020-11-16
DMT Solutions Global Corp.,First Lien,Business Services,7.00%,,LIBOR,700,2024-07-02,,18061,,,,,,,CION,2020-11-16
Eagle Family Foods Group LLC,First Lien,Food & Beverage,6.50%,,LIBOR,650,2024-06-14,,14518,,,,,,,CION,2020-11-16
Entertainment Studios P&A LLC,First Lien,Media & Entertainment,6.35%,,N/A,,,,14346,,,,,,,CION,2020-11-16
Entertainment Studios P&A LLC,First Lien,Media & Entertainment,5.00%,,N/A,,,,,,,,,,,CION,2020-11-16
EnTrans International LLC,First Lien,Other,6.00%,,LIBOR,600,2024-11-01,,27512,,,,,,,CION,2020-11-16
ES Chappaquiddick LLC,First Lien,Media & Entertainment,10.00%,,N/A,,,,925,,,,,,,CION,2020-11-16
Evergreen Skills Lux S.À.R.L.,First Lien,Software,4.75%,,LIBOR,475,2021-04-28,,9810,,,,,,,CION,2020-11-16
Extreme Reach Inc.,First Lien,Media & Entertainment,7.50%,,LIBOR,750,2024-03-29,,17047,,,,,,,CION,2020-11-16
Extreme Reach Inc.,Unfunded Commitment,Media & Entertainment,,,,,,,,,,,,,,CION,2020-11-16
F+W Media Inc.,First Lien,Media & Entertainment,6.50%,,LIBOR,650,2022-05-24,,1125,,,,,,,CION,2020-11-16
Flavors Holdings Inc.,First Lien,Consumer Products,5.75%,,LIBOR,575,2020-04-03,,13187,,,,,,,CION,2020-11-16
