company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
AAC New Holdco Inc,co_695a4d6ca642,Common Equity,Healthcare Services,,,,,,,1449,1449,,,,,,CSWC,2021-11-02
AAC NEW HOLDCO INC,co_695a4d6ca642,Common Equity,Healthcare Services,,,N/A,,2020-12-11,,,1785,1785,,1785,,,CSWC,2021-11-02
AAC NEW HOLDCO INC,co_695a4d6ca642,Common Equity,Healthcare Services,,,,2020-12-11,,,1785,1785,,,,,,CSWC,2021-11-02
AAC New Holdco Inc,co_695a4d6ca642,Warrants,Healthcare Services,,,,,,2025-12-11,,482,482,,482,,,CSWC,2021-11-02
AAC NEW HOLDCO INC,co_695a4d6ca642,Warrants,Healthcare Services,,,,2020-12-11,,,2198,2198,,,,,,CSWC,2021-11-02
ADS Tactical Inc,co_c1747580e7a9,First Lien,Aerospace & Defense,,,LIBOR,5.75%,,2026-03-19,6563,6439,6604,,6439,,,CSWC,2021-11-02
American Teleconferencing Services Ltd,co_0f5d01359ad7,Revolver,Telecommunications,,,Prime,5.50%,,2021-12-07,1161,1154,443,,1154,,,CSWC,2021-11-02
AMERICAN TELECONFERENCING SERVICES LTD,co_0f5d01359ad7,Revolver,Telecommunications,8.75%,,Prime (Q),5.50%,2021-09-17,2021-12-07,1016,1007,388,,1007,,,CSWC,2021-11-02
American Teleconferencing Services Ltd,co_0f5d01359ad7,First Lien,Telecommunications,,,Prime,5.50%,,2023-06-08,5598,5566,2138,,5566,,,CSWC,2021-11-02
AMERICAN TELECONFERENCING SERVICES LTD,co_0f5d01359ad7,First Lien,Telecommunications,8.75%,,Prime (Q),5.50%,2016-09-21,2023-06-08,4899,4858,1872,,4858,,,CSWC,2021-11-02
AMERICAN TELECONFERENCING SERVICES LTD,co_0f5d01359ad7,First Lien,Telecommunications,7.50%,,LIBOR (Q),6.50%,2016-09-21,2023-06-08,5915,5865,3141,,5865,,,CSWC,2021-11-02
American Teleconferencing Services Ltd,co_0f5d01359ad7,First Lien,Telecommunications,,,LIBOR,6.50%,,2023-06-08,6759,6698,3590,,6698,,,CSWC,2021-11-02
ATX Networks (Toronto) Corporation,co_79f1a37acaaf,First Lien,Technology Hardware,,,LIBOR,7.50%,,2026-09-01,2572,2564,2380,,2564,,,CSWC,2021-11-02
ATX Networks (Toronto) Corporation,co_79f1a37acaaf,Subordinated Debt,Technology Hardware,,10.00%,N/A,N/A,,2028-09-01,1029,1029,659,,1029,,,CSWC,2021-11-02
Burning Glass Intermediate Holding Company Inc,co_33af9de19b34,First Lien,Software,,,LIBOR,5.00%,,2028-06-10,3205,3151,3151,,3151,,,CSWC,2021-11-02
Corel Inc,co_47fcb2f8f9d4,First Lien,Software,,,LIBOR,5.00%,,2026-07-02,6939,6765,6969,,6765,,,CSWC,2021-11-02
Evergreen AcqCo 1 LP,co_c921e0b7c921,First Lien,Consumer Products,,,LIBOR,5.75%,,2028-04-26,4200,4160,4253,,4160,,,CSWC,2021-11-02
Evergreen North America Acquisitions LLC,co_fd00a54259d0,First Lien,Industrial Services,,,LIBOR,6.75%,,2026-08-13,6774,6642,6642,,6642,,,CSWC,2021-11-02
KLEIN HERSH,co_2577975f4727,First Lien,Business Services,,,LIBOR (S),7.00%,2020-11-13,2025-11-13,14438,14188,14726,,14188,,,CSWC,2021-11-02
KMS,co_156ae7c54aa9,First Lien,Business Services,,,LIBOR (Q),6.00%,2021-01-05,2025-11-23,16000,15930,16000,,15930,,,CSWC,2021-11-02
LGM PHARMA,co_994a739ec11e,First Lien,Pharmaceuticals & Biotechnology,,,LIBOR (M),10.50%,2017-11-15,2023-11-15,11365,11272,11103,,11272,,,CSWC,2021-11-02
LGM PHARMA,co_994a739ec11e,Delayed Draw,Pharmaceuticals & Biotechnology,,,LIBOR (Q),12.00%,2020-07-24,2023-11-15,2475,2443,2440,,2443,,,CSWC,2021-11-02
LGM PHARMA,co_994a739ec11e,Common Equity,Pharmaceuticals & Biotechnology,,,,,,2017-11-15,,,1600,,,1600,,CSWC,2021-11-02
LIGHTING RETROFIT INTERNATIONAL,co_ebd39dcf2100,First Lien,Environmental Services,,1.50%,LIBOR (Q),7.50%,2017-06-30,2022-06-30,13839,13804,10379,,13804,,,CSWC,2021-11-02
LIGHTING RETROFIT INTERNATIONAL,co_ebd39dcf2100,Preferred Equity,Environmental Services,,,,,,2018-08-13,,,25,,,25,,CSWC,2021-11-02
LLFLEX,co_93c5c8bf907e,First Lien,Packaging,,,LIBOR (Q),9.00%,2021-08-16,2026-08-14,11000,10757,10757,,10757,,,CSWC,2021-11-02
