company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Dema/Mai Holdings,co_44cc0ff5b3a9,First Lien,Industrials,15.8%,,SOFR,11%,,,,38250,38250,38250,,38250,,,,,,GAIN,2024-11-07
Phoenix Door Systems Inc.,co_21ff24b31c8a,First Lien,Industrials,11.8%,,SOFR,7%,,,,2750,2750,2750,,2750,,,,,,GAIN,2024-11-07
Phoenix Door Systems,co_21ff24b31c8a,First Lien,Industrials,15.8%,,SOFR,11%,,,,3200,3200,2234,,3200,,,,,,GAIN,2024-11-07
Horizon Facilities Services,co_667df76be35e,First Lien,Industrials,12.3%,,SOFR,7.5%,,,,57700,57700,39536,,57700,,,,,,GAIN,2024-11-07
Mason West,co_7f9303c3d8e3,First Lien,Industrials,14.8%,,SOFR,10%,,,,25250,25250,25250,,25250,,,,,,GAIN,2024-11-07
Educators Resource,co_c0943f7e8261,First Lien,Industrials,15.3%,,SOFR,10.5%,,,,20000,20000,20000,,20000,,,,,,GAIN,2024-11-07
Brunswick Bowling Products,co_a8e66817967d,First Lien,Industrials,14.8%,,SOFR,10%,,,,17700,17700,17700,,17700,,,,,,GAIN,2024-11-07
Brunswick Bowling Products,co_a8e66817967d,First Lien,Industrials,14.8%,,SOFR,10%,,,,6850,6850,6850,,6850,,,,,,GAIN,2024-11-07
Ginsey Home Solutions,co_68239dae8f8a,First Lien,Industrials,14.8%,,SOFR,10%,,,,12200,12200,12200,,12200,,,,,,GAIN,2024-11-07
Nocturne Luxury Villas Inc.,co_d703926341bd,First Lien,Consumer & Retail,12.8%,,SOFR,8%,,,,2000,2000,2000,,2000,,,,,,GAIN,2024-11-07
Nocturne Luxury Villas,co_d703926341bd,First Lien,Industrials,14.5%,,SOFR,10.5%,,,,79600,79600,79600,,79600,,,,,,GAIN,2024-11-07
Schylling,co_1637decf7bb6,First Lien,Industrials,15.8%,,SOFR,11%,,,,27981,27981,27981,,27981,,,,,,GAIN,2024-11-07
The E3 Company LLC,co_0d41dfa66f36,First Lien,Industrials,10.3%,,SOFR,5.5%,,,,1000,1000,1000,,1000,,,,,,GAIN,2024-11-07
The E3 Company,co_0d41dfa66f36,First Lien,Industrials,13.8%,,SOFR,9%,,,,33750,33750,33750,,33750,,,,,,GAIN,2024-11-07
Home Concepts Acquisition Inc.,co_d481848bce83,First Lien,Industrials,10.8%,,SOFR,6%,,,,1500,1500,1500,,1500,,,,,,GAIN,2024-11-07
Home Concepts Acquisition,co_d481848bce83,First Lien,Industrials,13.8%,,SOFR,9%,,,,12000,12000,12000,,12000,,,,,,GAIN,2024-11-07
Galaxy Technologies Holdings,co_b903cc7063a4,First Lien,Industrials,8.9%,,SOFR,4.1%,,,,6900,6900,6900,,6900,,,,,,GAIN,2024-11-07
Galaxy Technologies Holdings,co_b903cc7063a4,First Lien,Industrials,11.8%,,SOFR,7%,,,,18796,18796,18796,,18796,,,,,,GAIN,2024-11-07
Diligent Delivery Systems – Term Debt,co_2f1d70b8624e,First Lien,,13.8%,,SOFR,9%,,,,13000,13000,12408,,13000,,,,,,GAIN,2024-11-07
SFEG Holdings,co_716c8b60bd56,First Lien,Industrials,12.5%,,SOFR,7%,,,,54644,54644,54644,,54644,,,,,,GAIN,2024-11-07
Dema/Mai Holdings,co_44cc0ff5b3a9,Preferred Equity,Industrials,,,,,,,,,21000,23499,,21000,,,,21000,,GAIN,2024-11-07
Horizon Facilities Services,co_667df76be35e,Preferred Equity,Industrials,,,,,,,,,0,0,,0,,,,10080,,GAIN,2024-11-07
Mason West,co_7f9303c3d8e3,Preferred Equity,Industrials,,,,,,,,,11206,11145,,11206,,,,11206,,GAIN,2024-11-07
Educators Resource,co_c0943f7e8261,Preferred Equity,Industrials,,,,,,,,,8560,30140,,8560,,,,8560,,GAIN,2024-11-07
Brunswick Bowling Products,co_a8e66817967d,Preferred Equity,Industrials,,,,,,,,,6653,46594,,6653,,,,6653,,GAIN,2024-11-07
Ginsey Home Solutions,co_68239dae8f8a,Preferred Equity,Industrials,,,,,,,,,9583,3277,,9583,,,,19280,,GAIN,2024-11-07
Nocturne Luxury Villas,co_d703926341bd,Preferred Equity,Industrials,,,,,,,,,6600,17252,,6600,,,,6600,,GAIN,2024-11-07
Schylling,co_1637decf7bb6,Preferred Equity,Industrials,,,,,,,,,4000,14400,,4000,,,,4000,,GAIN,2024-11-07
The E3 Company,co_0d41dfa66f36,Preferred Equity,Industrials,,,,,,,,,11233,21629,,11233,,,,11233,,GAIN,2024-11-07
Home Concepts Acquisition,co_d481848bce83,Preferred Equity,Industrials,,,,,,,,,3275,0,,3275,,,,3275000,,GAIN,2024-11-07
Galaxy Technologies Holdings,co_b903cc7063a4,Common Equity,Industrials,,,,,,,,,11513,6125,,11513,,,,16957,,GAIN,2024-11-07
Diligent Delivery Systems – Common Stock Warrants,co_ef46c437f0ac,Other,,,,,,,,,,500,0,,500,,,,,,GAIN,2024-11-07
Phoenix Door Systems,co_21ff24b31c8a,Common Equity,Industrials,,,,,,,,,1830,0,,1830,,,,4221,,GAIN,2024-11-07
Ginsey Home Solutions,co_68239dae8f8a,Common Equity,Industrials,,,,,,,,,8,0,,8,,,,63747,,GAIN,2024-11-07
SFEG Holdings,co_716c8b60bd56,Common Equity,Industrials,,,,,,,,,30746,37830,,30746,,,,18721,,GAIN,2024-11-07
ImageWorks Display and Marketing Group,co_e4ff71884bc1,First Lien,Industrials,15.8%,,SOFR,11%,,,,22000,22000,22000,,22000,,,,,,GAIN,2024-11-07
J.R. Hobbs Co. - Atlanta LLC,co_4f47f3e2dd7c,First Lien,Consumer & Retail,10.8%,,SOFR,6%,,,,5000,5000,2818,,5000,,,,,,GAIN,2024-11-07
J.R. Hobbs Co. - Atlanta,co_4f47f3e2dd7c,First Lien,Industrials,10.8%,,SOFR,6%,,,,16500,16500,9298,,16500,,,,,,GAIN,2024-11-07
J.R. Hobbs Co. - Atlanta,co_4f47f3e2dd7c,First Lien,Industrials,15.1%,,SOFR,10.3%,,,,26000,26000,14651,,26000,,,,,,GAIN,2024-11-07
J.R. Hobbs Co. - Atlanta,co_4f47f3e2dd7c,First Lien,Industrials,10.8%,,SOFR,6%,,,,2438,2438,1375,,2438,,,,,,GAIN,2024-11-07
