company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Clearcourse Partnership Acquireco Finance Ltd.,First Lien,Software,8.5%,8.5%,N/A,8.50%,,2028-07-25,13954,16528,,,,,,GSBD,2024-08-08
Clearcourse Partnership Acquireco Finance Ltd.,First Lien,Software,8.5%,8.5%,N/A,8.50%,,2028-07-25,11990,7108,,,,,,GSBD,2024-08-08
Bigchange Group Ltd.,First Lien,Software,11.19%,,N/A,6.00%,,2026-12-23,11990,15875,,,,,,GSBD,2024-08-08
Bigchange Group Ltd.,First Lien,Software,11.19%,,N/A,6.00%,,2026-12-23,1848,2351,,,,,,GSBD,2024-08-08
Bigchange Group Ltd.,First Lien,Software,,,,,,,,,2400,-41,,,,GSBD,2024-08-08
Frontgrade Technologies Holdings Inc.,First Lien,Aerospace & Defense,12.10%,,N/A,6.75%,,2030-01-09,743,728,,,,,,GSBD,2024-08-08
Frontgrade Technologies Holdings Inc.,First Lien,Aerospace & Defense,12.10%,,N/A,6.75%,,2030-01-09,972,946,,,,,,GSBD,2024-08-08
Frontgrade Technologies Holdings Inc.,First Lien,Aerospace & Defense,,,N/A,6.75%,,2028-01-09,250,-5,,,,,,GSBD,2024-08-08
Thrasio LLC,First Lien,Retail,,,N/A,7.00%,,2026-12-18,38832,38379,,,,,,GSBD,2024-08-08
Acuity Specialty Products Inc. (dba Zep Inc.),First Lien,Chemicals,9.35%,,N/A,4.00%,,2028-10-02,53049,53049,,,,,,GSBD,2024-08-08
Elemica Parent Inc.,First Lien,Chemicals,11.02%,,N/A,5.50%,,2025-09-18,6876,6660,,,,,,GSBD,2024-08-08
Elemica Parent Inc.,First Lien,Chemicals,11.01%,,N/A,5.50%,,2025-09-18,1467,1448,,,,,,GSBD,2024-08-08
Elemica Parent Inc.,First Lien,Chemicals,11.03%,,N/A,5.50%,,2025-09-18,1348,1317,,,,,,GSBD,2024-08-08
Elemica Parent Inc.,First Lien,Chemicals,11.02%,,N/A,5.50%,,2025-09-18,930,912,,,,,,GSBD,2024-08-08
Elemica Parent Inc.,First Lien,Chemicals,11.03%,,N/A,5.50%,,2025-09-18,549,542,,,,,,GSBD,2024-08-08
Formulations Parent Corp. (dba Chase Corp),First Lien,Chemicals,11.12%,,N/A,5.75%,,2030-11-15,5013,4914,,,,,,GSBD,2024-08-08
Formulations Parent Corp. (dba Chase Corp),First Lien,Chemicals,,,N/A,5.75%,,2029-11-15,835,-16,,,,,,GSBD,2024-08-08
3SI Security Systems Inc.,First Lien,Industrial Services,11.52%,,N/A,6.00%,,2026-12-16,13250,13131,,,,,,GSBD,2024-08-08
3SI Security Systems Inc.,First Lien,Industrial Services,11.52%,,N/A,6.00%,,2026-12-16,2018,1961,,,,,,GSBD,2024-08-08
ASM Buyer Inc.,First Lien,Industrial Services,,,N/A,6.00%,,2028-01-29,4189,,,,,,,GSBD,2024-08-08
ASM Buyer Inc.,First Lien,Industrial Services,,,N/A,6.00%,,2027-01-29,541,,,,,,,GSBD,2024-08-08
ASM Buyer Inc.,First Lien,Industrial Services,,,N/A,6.00%,,2028-01-29,270,,,,,,,GSBD,2024-08-08
Halo Branded Solutions Inc.,First Lien,Industrial Services,9.96%,,N/A,4.50%,,2025-06-30,6224,6208,,,,,,GSBD,2024-08-08
MerchantWise Solutions LLC,First Lien,Financial Services,11.40%,,N/A,6.00%,,2028-06-01,2718,367,,,,,,GSBD,2024-08-08
StarCompliance Intermediate LLC,First Lien,Financial Services,12.20%,,N/A,6.75%,,2027-01-12,15600,15421,,,,,,GSBD,2024-08-08
StarCompliance Intermediate LLC,First Lien,Financial Services,12.20%,,N/A,6.75%,,2027-01-12,2514,2482,,,,,,GSBD,2024-08-08
StarCompliance Intermediate LLC,First Lien,Financial Services,12.20%,,N/A,6.75%,,2027-01-12,2500,1449,,,,,,GSBD,2024-08-08
Eptam Plastics Ltd.,First Lien,Medical Devices & Equipment,10.96%,,N/A,5.50%,,2025-12-06,10263,10040,,,,,,GSBD,2024-08-08
Eptam Plastics Ltd.,First Lien,Medical Devices & Equipment,11.53%,,N/A,6.00%,,2025-12-06,5626,5554,,,,,,GSBD,2024-08-08
Eptam Plastics Ltd.,First Lien,Medical Devices & Equipment,10.96%,,N/A,5.50%,,2025-12-06,4829,4789,,,,,,GSBD,2024-08-08
Eptam Plastics Ltd.,First Lien,Medical Devices & Equipment,10.96%,,N/A,5.50%,,2025-12-06,4424,4373,,,,,,GSBD,2024-08-08
Eptam Plastics Ltd.,First Lien,Medical Devices & Equipment,10.96%,,N/A,5.50%,,2025-12-06,2269,2222,,,,,,GSBD,2024-08-08
Riverpoint Medical LLC,First Lien,Medical Devices & Equipment,10.49%,,N/A,5.00%,,2025-06-21,21476,21043,,,,,,GSBD,2024-08-08
Riverpoint Medical LLC,First Lien,Medical Devices & Equipment,10.50%,,N/A,5.00%,,2025-06-21,1627,1618,,,,,,GSBD,2024-08-08
Riverpoint Medical LLC,First Lien,Medical Devices & Equipment,10.46%,,N/A,5.00%,,2025-06-21,4094,992,,,,,,GSBD,2024-08-08
Viant Medical Holdings Inc.,First Lien,Medical Devices & Equipment,11.72%,,N/A,6.25%,,2025-07-02,30819,30051,,,,,,GSBD,2024-08-08
Argos Health Holdings Inc.,First Lien,Healthcare Services,11.15%,,N/A,5.75%,,2027-12-03,21560,21255,,,,,,GSBD,2024-08-08
Bayside Opco LLC,Second Lien,Healthcare Services,,7.25%,N/A,7.25%,,2026-05-31,2841,2780,,,,,,GSBD,2024-08-08
Bayside Opco LLC,Second Lien,Healthcare Services,,,N/A,7.25%,,2026-05-31,1004,775,,,,,,GSBD,2024-08-08
Bayside Opco LLC,Second Lien,Healthcare Services,,,N/A,6.00%,,2026-05-31,415,,,,,,,GSBD,2024-08-08
Capitol Imaging Acquisition Corp.,First Lien,Healthcare Services,12.14%,,N/A,6.50%,,2026-10-01,17656,17444,,,,,,GSBD,2024-08-08
Capitol Imaging Acquisition Corp.,First Lien,Healthcare Services,12.14%,,N/A,6.50%,,2026-10-01,790,771,,,,,,GSBD,2024-08-08
Capitol Imaging Acquisition Corp.,First Lien,Healthcare Services,,,N/A,6.50%,,2025-10-01,180,,,,,,,GSBD,2024-08-08
CFS Management LLC,First Lien,Healthcare Services,11.86%,0.75%,N/A,6.25%,,2024-07-01,19295,19132,,,,,,GSBD,2024-08-08
CFS Management LLC,First Lien,Healthcare Services,11.86%,0.75%,N/A,6.25%,,2024-07-01,3349,3312,,,,,,GSBD,2024-08-08
CFS Management LLC,First Lien,Healthcare Services,11.86%,0.75%,N/A,6.25%,,2024-07-01,1977,1967,,,,,,GSBD,2024-08-08
Coding Solutions Acquisition Inc.,First Lien,Healthcare Services,11.11%,,N/A,5.75%,,2028-05-11,14681,14441,,,,,,GSBD,2024-08-08
Coding Solutions Acquisition Inc.,First Lien,Healthcare Services,11.11%,,N/A,5.75%,,2028-05-11,4456,4379,,,,,,GSBD,2024-08-08
Coding Solutions Acquisition Inc.,First Lien,Healthcare Services,11.36%,,N/A,6.00%,,2028-05-11,3095,3021,,,,,,GSBD,2024-08-08
Coding Solutions Acquisition Inc.,First Lien,Healthcare Services,11.11%,,N/A,5.75%,,2028-05-11,2120,713,,,,,,GSBD,2024-08-08
Coding Solutions Acquisition Inc.,First Lien,Healthcare Services,,,N/A,5.75%,,2028-05-11,11162,,,,,,,GSBD,2024-08-08
CORA Health Holdings Corp.,First Lien,Healthcare Services,11.39%,,N/A,5.75%,,2027-06-15,22519,22307,,,,,,GSBD,2024-08-08
UP Acquisition Corp. dba Unified Power,First Lien,Industrial Services,,,N/A,,2029-10-31,,38,24,,,,,,GSBD,2024-08-08
USA DeBusk LLC,First Lien,Industrial Services,10.58%,,N/A,,2031-04-30,,8786,,,,,,,GSBD,2024-08-08
USA DeBusk LLC,First Lien,Industrial Services,,,N/A,,2031-04-30,,24,,,,,,,GSBD,2024-08-08
USA DeBusk LLC,First Lien,Industrial Services,10.58%,,N/A,,2030-04-30,,224,,,,,,,GSBD,2024-08-08
Valet Waste Holdings Inc. dba Valet Living,First Lien,Industrial Services,11.19%,,N/A,,2029-05-01,,24990,,,,,,,GSBD,2024-08-08
Valet Waste Holdings Inc. dba Valet Living,First Lien,Industrial Services,11.19%,,N/A,,2029-05-01,,1127,,,,,,,GSBD,2024-08-08
Valet Waste Holdings Inc. dba Valet Living,First Lien,Industrial Services,,,N/A,,2029-05-01,,15,,,,,,,GSBD,2024-08-08
VRC Companies LLC dba Vital Records Control,First Lien,Industrial Services,11.09%,,N/A,,2027-06-29,,31815,,,,,,,GSBD,2024-08-08
VRC Companies LLC dba Vital Records Control,First Lien,Industrial Services,,,N/A,,2027-06-29,,7,,,,,,,GSBD,2024-08-08
ATX Networks Corp.,First Lien,Technology Hardware,11.82%,,N/A,,2026-09-01,,2463,,,,,,,GSBD,2024-08-08
ATX Networks Corp.,First Lien,Technology Hardware,11.82%,,N/A,,2026-09-01,,650,,,,,,,GSBD,2024-08-08
ATX Networks Corp.,First Lien,Technology Hardware,11.35%,,N/A,,2026-09-01,,363,,,,,,,GSBD,2024-08-08
ATX Networks Corp.,First Lien,Technology Hardware,10.82%,,N/A,,2026-09-01,,185,,,,,,,GSBD,2024-08-08
Superman Holdings LLC dba Foundation Software,First Lien,Construction & Engineering,11.08%,,N/A,,2027-08-31,,30617,,,,,,,GSBD,2024-08-08
Superman Holdings LLC dba Foundation Software,First Lien,Construction & Engineering,11.08%,,N/A,,2027-08-31,,3920,,,,,,,GSBD,2024-08-08
Superman Holdings LLC dba Foundation Software,First Lien,Construction & Engineering,,,N/A,,2027-08-31,,9,,,,,,,GSBD,2024-08-08
Superman Holdings LLC dba Foundation Software,First Lien,Construction & Engineering,11.08%,,N/A,,2027-08-31,,914,,,,,,,GSBD,2024-08-08
Superman Holdings LLC dba Foundation Software,First Lien,Construction & Engineering,,,N/A,,2026-08-31,,1,,,,,,,GSBD,2024-08-08
Blast Bidco Inc. dba Bazooka Candy Brands,First Lien,Retail,11.33%,,N/A,,2030-10-04,,4363,,,,,,,GSBD,2024-08-08
Blast Bidco Inc. dba Bazooka Candy Brands,First Lien,Retail,,,N/A,,2029-10-05,,12,,,,,,,GSBD,2024-08-08
A Place For Mom Inc.,First Lien,Diversified,9.96%,,N/A,,2026-02-10,,7179,,,,,,,GSBD,2024-08-08
ABC Investment Holdco Inc. dba ABC Plumbing,First Lien,Diversified,11.33%,,N/A,,2029-04-26,,8121,,,,,,,GSBD,2024-08-08
ABC Investment Holdco Inc. dba ABC Plumbing,First Lien,Diversified,,,N/A,,2029-04-26,,74,,,,,,,GSBD,2024-08-08
ABC Investment Holdco Inc. dba ABC Plumbing,First Lien,Diversified,,,N/A,,2029-04-26,,15,,,,,,,GSBD,2024-08-08
Assembly Intermediate LLC,First Lien,Diversified,10.58%,,N/A,,2027-10-19,,43444,,,,,,,GSBD,2024-08-08
Assembly Intermediate LLC,First Lien,Diversified,10.58%,,N/A,,2027-10-19,,7581,,,,,,,GSBD,2024-08-08
Assembly Intermediate LLC,First Lien,Diversified,,,N/A,,2027-10-19,,50,,,,,,,GSBD,2024-08-08
CI Quercus Intermediate Holdings LLC dba SavATree,First Lien,Diversified,10.35%,,N/A,,2031-06-06,,5795,,,,,,,GSBD,2024-08-08
CI Quercus Intermediate Holdings LLC dba SavATree,First Lien,Diversified,,,N/A,,2031-06-06,,25,,,,,,,GSBD,2024-08-08
Southeast Mechanical LLC,First Lien,Diversified,,,N/A,6.00%,,2027-07-06,17089,163,10584,,,,,GSBD,2024-08-08
Southeast Mechanical LLC,First Lien,Diversified,11.46%,,N/A,6.00%,,2027-07-06,10584,10444,10584,,,,,GSBD,2024-08-08
Southeast Mechanical LLC,First Lien,Diversified,11.46%,,N/A,6.00%,,2027-07-06,7400,7288,7400,,,,,GSBD,2024-08-08
Southeast Mechanical LLC,First Lien,Diversified,11.46%,,N/A,6.00%,,2027-07-06,1900,1421,1900,,,,,GSBD,2024-08-08
Spotless Brands LLC,First Lien,Diversified,12.25%,,N/A,6.75%,,2028-07-25,213,208,213,,,,,GSBD,2024-08-08
Spotless Brands LLC,First Lien,Diversified,12.23%,,N/A,6.75%,,2028-07-25,33,32,33,,,,,GSBD,2024-08-08
Sunshine Cadence HoldCo LLC,First Lien,Diversified,10.33%,,N/A,5.00%,,2031-05-01,10615,10511,10615,,,,,GSBD,2024-08-08
Sunshine Cadence HoldCo LLC,First Lien,Diversified,,,N/A,5.00%,,2031-05-01,2769,,,,,,,GSBD,2024-08-08
Sunshine Cadence HoldCo LLC,First Lien,Diversified,,,N/A,5.00%,,2030-05-01,1615,-16,1615,,,,,GSBD,2024-08-08
VASA Fitness Buyer Inc.,First Lien,Diversified,12.94%,,N/A,7.50%,,2028-08-14,4139,4014,4139,,,,,GSBD,2024-08-08
VASA Fitness Buyer Inc.,First Lien,Diversified,12.94%,,N/A,7.50%,,2028-08-14,714,224,714,,,,,GSBD,2024-08-08
VASA Fitness Buyer Inc.,First Lien,Diversified,,,N/A,7.50%,,2028-08-14,119,-3,119,,,,,GSBD,2024-08-08
Whitewater Holding Company LLC,First Lien,Diversified,11.23%,,N/A,5.75%,,2027-12-21,17081,16861,17081,,,,,GSBD,2024-08-08
Whitewater Holding Company LLC,First Lien,Diversified,11.23%,,N/A,5.75%,,2027-12-21,5734,5657,5734,,,,,GSBD,2024-08-08
