company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Better Place Forests Co,co_ca589849462d,Other,Other,,,,,,,,,6264,,,,,HRZN,2025-10-28
HIMV LLC,co_060def843701,Other,Other,,,,,,,,,6290,,,,,HRZN,2025-10-28
HIMV LLC,co_060def843701,Other,Pharmaceuticals & Biotechnology,,,N/A,N/A,,,5880,6230,,,,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,Other,Other,,,,,,,,,7177,,,,,HRZN,2025-10-28
Shengrow Inc aka Soli Organic Inc,co_11a1a39323fa,First Lien,Other,11.75%,,Prime,4.50%,,2028-09-01,5092,273,5092,0.0275,273,,,HRZN,2025-10-28
Shengrow Inc aka Soli Organic Inc,co_11a1a39323fa,First Lien,Other,11.75%,,Prime,4.50%,,2028-09-01,3394,3339,3339,0.0275,3339,,,HRZN,2025-10-28
Shengrow Inc aka Soli Organic Inc,co_11a1a39323fa,First Lien,Other,11.75%,,Prime,4.50%,,2028-09-01,1697,1669,1669,0.0275,1669,,,HRZN,2025-10-28
Shengrow Inc aka Soli Organic Inc,co_11a1a39323fa,First Lien,Other,11.75%,,Prime,4.50%,,2028-09-01,3394,3338,3338,0.0275,3338,,,HRZN,2025-10-28
Shengrow Inc aka Soli Organic Inc,co_11a1a39323fa,First Lien,Other,11.75%,,Prime,4.50%,,2028-09-01,3394,3336,3336,0.0275,3336,,,HRZN,2025-10-28
Shengrow Inc aka Soli Organic Inc,co_11a1a39323fa,First Lien,Other,11.75%,,Prime,4.50%,,2028-09-01,1697,1668,1668,0.0275,1668,,,HRZN,2025-10-28
Shengrow Inc aka Soli Organic Inc,co_11a1a39323fa,Revolver,Other,9.75%,,Prime,2.50%,,2026-09-01,5000,5000,5000,,5000,,,HRZN,2025-10-28
Havenly Inc,co_4f5a4921c306,First Lien,Consumer Products,12.50%,,Prime,5.00%,,2027-03-01,2000,1568,1568,,,,,HRZN,2025-10-28
Havenly Inc,co_4f5a4921c306,First Lien,Consumer Products,12.50%,,Prime,5.00%,,2027-03-01,3000,2529,2529,,,,,HRZN,2025-10-28
Havenly Inc,co_4f5a4921c306,First Lien,Consumer Products,11.00%,,Prime,3.50%,,2028-02-01,2813,2813,2813,,,,,HRZN,2025-10-28
Lyrical Foods Inc,co_f83ce3accc0f,First Lien,Consumer Products,11.00%,,Prime,3.50%,,2028-07-01,2679,2768,2405,,,,,HRZN,2025-10-28
NextCar Holding Company Inc,co_13e5e680953d,First Lien,Consumer Products,13.50%,,Prime,5.75%,,2023-10-31,6042,5415,1271,,,,,HRZN,2025-10-28
