company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
Centre Technologies Holdings LLC,co_782e912409ba,First Lien,Business Services,12.00%,,LIBOR,10.00%,2019-01-04,2024-01-04,9416,9370,8864,,9370,,,,MAIN,2022-05-06
Centre Technologies Holdings LLC,co_782e912409ba,First Lien,Software,12.00%,,LIBOR,10.00%,2019-01-04,2024-01-04,9183,9145,8638,,9145,,,,MAIN,2022-05-06
Centre Technologies Holdings LLC,co_782e912409ba,Preferred Equity,Business Services,,,,,2019-01-04,,12696,5840,5840,,5840,,,,MAIN,2022-05-06
Centre Technologies Holdings LLC,co_782e912409ba,Preferred Equity,Software,,,,,,,5840,5840,,,,,,,MAIN,2022-05-06
Chamberlin Holding LLC,co_aa017b86bc03,First Lien,Construction,9.00%,,LIBOR,8.00%,2018-02-26,2023-02-26,17817,17738,17817,,17738,,,,MAIN,2022-05-06
Chamberlin Holding LLC,co_aa017b86bc03,First Lien,Construction,9.00%,,LIBOR,8.00%,2018-02-26,2023-02-26,17681,17621,17681,,17621,,,,MAIN,2022-05-06
Chamberlin Holding LLC,co_aa017b86bc03,Common Equity,Construction,,,,,2018-02-26,,4347,11440,11440,,11440,,,,MAIN,2022-05-06
Chamberlin Holding LLC,co_aa017b86bc03,Common Equity,Construction,,,,,2018-11-02,,1047146,1322,1540,,1322,,,cost_suspicious_vs_size|fair_value_suspicious_vs_size,MAIN,2022-05-06
Chamberlin Holding LLC,co_aa017b86bc03,Common Equity,Construction,,,,,,,11440,24140,,,,,,,MAIN,2022-05-06
Chamberlin Holding LLC,co_aa017b86bc03,Common Equity,Construction,,,,,,,1322,1540,,,,,,,MAIN,2022-05-06
Charps LLC,co_54424ddcc9de,Other Debt,Energy,10.00%,,,,2020-08-26,2024-01-31,5694,4599,5694,,4599,,,,MAIN,2022-05-06
Charps LLC,co_54424ddcc9de,Other Debt,Energy,10.00%,,,,2026-01-31,5694,4617,5694,,,,,,,MAIN,2022-05-06
Charps LLC,co_54424ddcc9de,Preferred Equity,Energy,,,,,2017-02-03,,1829,1963,13990,,1963,,,,MAIN,2022-05-06
Charps LLC,co_54424ddcc9de,Preferred Equity,Energy,,,,,,,1963,14090,,,,,,,MAIN,2022-05-06
Clad-Rex Steel LLC,co_6338421c62e0,First Lien,Manufacturing,10.50%,,LIBOR,9.50%,2016-12-20,2024-01-15,10480,10401,10401,,10401,,,,MAIN,2022-05-06
Clad-Rex Steel LLC,co_6338421c62e0,First Lien,Manufacturing,10.00%,,,,2016-12-20,2036-12-20,1081,1071,1071,,1071,,,,MAIN,2022-05-06
Clad-Rex Steel LLC,co_6338421c62e0,First Lien,Manufacturing,10.50%,,LIBOR,9.50%,2016-12-20,2024-01-15,10480,10411,10411,,10411,,,,MAIN,2022-05-06
Clad-Rex Steel LLC,co_6338421c62e0,First Lien,Manufacturing,10.00%,,N/A,,2016-12-20,2036-12-20,1073,1063,1063,,1063,,,,MAIN,2022-05-06
Clad-Rex Steel LLC,co_6338421c62e0,Common Equity,Manufacturing,,,,,2016-12-20,,717,7280,10250,,7280,,,,MAIN,2022-05-06
Clad-Rex Steel LLC,co_6338421c62e0,Common Equity,Manufacturing,,,,,,,7280,10250,,,,,,,MAIN,2022-05-06
Clad-Rex Steel LLC,co_6338421c62e0,Common Equity,Manufacturing,,,,,,,210,610,,21,,,,,MAIN,2022-05-06
Houston Plating and Coatings LLC,co_db4fb3f76e86,Subordinated Debt,Industrial Services,8.00%,,,,2017-05-01,2022-05-01,3000,3000,2870,,3000,,,,MAIN,2022-05-06
Houston Plating and Coatings LLC,co_db4fb3f76e86,Common Equity,Industrial Services,,,,,2003-01-08,,,2352,2969,,2352,,,,MAIN,2022-05-06
Houston Plating and Coatings LLC,co_db4fb3f76e86,Common Equity,Industrial Services,,,,,,,2352,3210,,,,,,,MAIN,2022-05-06
I-45 SLF LLC,co_73a492b65c86,Partnership Interest,Financial Services,,,,,2015-10-20,,,19000,14439,,19000,,,,MAIN,2022-05-06
I-45 SLF LLC,co_73a492b65c86,Partnership Interest,Financial Services,,,,,,,19000,14387,,,,,,,MAIN,2022-05-06
Iron-Main Investments LLC,co_adcee17d7596,First Lien,Business Services,12.50%,,,,2021-08-02,2026-11-15,4600,4559,4559,,4559,,,,MAIN,2022-05-06
Iron-Main Investments LLC,co_adcee17d7596,First Lien,Business Services,12.50%,,,,2021-09-01,2026-11-15,3200,3171,3171,,3171,,,,MAIN,2022-05-06
Iron-Main Investments LLC,co_adcee17d7596,First Lien,Business Services,12.50%,,,,2021-11-15,2026-11-15,28944,28759,28759,,28759,,,,MAIN,2022-05-06
Iron-Main Investments LLC,co_adcee17d7596,First Lien,Business Services,12.50%,,,,2026-11-30,20000,19805,19805,,,,,,,MAIN,2022-05-06
Iron-Main Investments LLC,co_adcee17d7596,First Lien,Business Services,,12.50%,,,2021-08-03,2022-03-31,8944,8944,8944,,8944,,,,MAIN,2022-05-06
