company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Analytical Systems Keco Holdings LLC,co_70406ee95774,First Lien,,,,SOFR,10%,,,,0,-2,-2,,-2,,,,,,MAIN,2023-05-05
Analytical Systems Keco Holdings LLC,co_70406ee95774,First Lien,,14.75%,,SOFR,10%,,,,4595,4495,4495,,4495,,,,,,MAIN,2023-05-05
Analytical Systems Keco Holdings LLC,co_70406ee95774,Preferred Equity,,14.13%,,,,,,,,3200,0,,3200,,,,3200,,MAIN,2023-05-05
Analytical Systems Keco Holdings LLC,co_70406ee95774,Preferred Equity,,,,,,,,,,2427,3588,,2427,,,,2427,,MAIN,2023-05-05
Analytical Systems Keco Holdings LLC,co_70406ee95774,Warrants,,,,,,,,,,316,0,,316,,,,420,,MAIN,2023-05-05
ASC Interests LLC,co_b184af8a7e3a,First Lien,Financial Services,13%,,,,,,,400,400,400,,400,,,,,,MAIN,2023-05-05
ASC Interests LLC,co_b184af8a7e3a,First Lien,Financial Services,13%,,,,,,,1650,1649,1649,,1649,,,,,,MAIN,2023-05-05
ASC Interests LLC,co_b184af8a7e3a,Other Equity,Financial Services,,,,,,,,,1500,700,,1500,,,,1500,,MAIN,2023-05-05
ATS Workholding LLC,co_4acf6efa236f,First Lien,Financial Services,5%,,,,,,,1922,1922,523,,1922,,,,,,MAIN,2023-05-05
ATS Workholding LLC,co_4acf6efa236f,First Lien,Financial Services,5%,,,,,,,3015,2855,820,,2855,,,,,,MAIN,2023-05-05
ATS Workholding LLC,co_4acf6efa236f,Preferred Equity,Financial Services,,,,,,,,,3726,0,,3726,,,,3725862,,MAIN,2023-05-05
Barfly Ventures LLC,co_ff716b59934e,First Lien,Financial Services,7%,,,,,,,711,711,711,,711,,,,,,MAIN,2023-05-05
Barfly Ventures LLC,co_ff716b59934e,Other Equity,Financial Services,,,,,,,,,1584,3037,,1584,,,,37,,MAIN,2023-05-05
Batjer TopCo LLC,co_2eec49930f0e,First Lien,Financial Services,,,,,,,,0,-7,-7,,-7,,,,,,MAIN,2023-05-05
Batjer TopCo LLC,co_2eec49930f0e,First Lien,Financial Services,11%,,,,,,,10575,10492,0,,10492,,,,,,MAIN,2023-05-05
Batjer TopCo LLC,co_2eec49930f0e,Preferred Equity,Financial Services,,,,,,,,,4095,6150,,4095,,,,4073,,MAIN,2023-05-05
Bolder Panther Group LLC,co_31b41d7bab29,First Lien,Financial Services,13.91%,,SOFR,9.22%,,,,98535,97952,98535,,97952,,,,,,MAIN,2023-05-05
Bolder Panther Group LLC,co_31b41d7bab29,Preferred Equity,Financial Services,8%,,,,,,,,14000,31420,,14000,,,,140000,,MAIN,2023-05-05
Brewer Crane Holdings LLC,co_ef54e61885f7,First Lien,Financial Services,14.66%,,SOFR,10%,,,,5840,5840,5840,,5840,,,,,,MAIN,2023-05-05
Brewer Crane Holdings LLC,co_ef54e61885f7,Preferred Equity,Financial Services,,,,,,,,,4280,6560,,4280,,,,2950,,MAIN,2023-05-05
Bridge Capital Solutions Corp.,co_7a00eec06907,First Lien,Financial Services,13%,,,,,,,8813,8813,8813,,8813,,,,,,MAIN,2023-05-05
Bridge Capital Solutions Corp.,co_7a00eec06907,First Lien,Financial Services,13%,,,,,,,1000,1000,1000,,1000,,,,,,MAIN,2023-05-05
Bridge Capital Solutions Corp.,co_7a00eec06907,Preferred Equity,Financial Services,,,,,,,,,1000,1000,,1000,,,,17742,,MAIN,2023-05-05
Bridge Capital Solutions Corp.,co_7a00eec06907,Warrants,Financial Services,,,,,,,,,2132,4340,,2132,,,,82,,MAIN,2023-05-05
Café Brazil LLC,co_e137c63daefd,Other Equity,Financial Services,,,,,,,,,1742,1840,,1742,,,,1233,,MAIN,2023-05-05
California Splendor Holdings LLC,co_2cc7bcd84619,First Lien,Financial Services,14.88%,,SOFR,10%,,,,28000,27954,28000,,27954,,,,,,MAIN,2023-05-05
California Splendor Holdings LLC,co_2cc7bcd84619,Preferred Equity,Financial Services,,,,,,,,,10775,25495,,10775,,,,6157,,MAIN,2023-05-05
California Splendor Holdings LLC,co_2cc7bcd84619,Preferred Equity,Financial Services,15%,15%,,,,,,,4144,4144,,4144,,,,3671,,MAIN,2023-05-05
CBT Nuggets LLC,co_621444f2ba1a,Other Equity,Financial Services,,,,,,,,,1300,49860,,1300,,,,416,cost_suspicious_vs_size,MAIN,2023-05-05
Centre Technologies Holdings LLC,co_782e912409ba,First Lien,Financial Services,,,SOFR,9%,,,,0,0,0,,0,,,,,,MAIN,2023-05-05
Centre Technologies Holdings LLC,co_782e912409ba,First Lien,Financial Services,13.75%,,SOFR,9%,,,,15030,14960,14960,,14960,,,,,,MAIN,2023-05-05
Centre Technologies Holdings LLC,co_782e912409ba,Preferred Equity,Financial Services,,,,,,,,,6122,9260,,6122,,,,13309,,MAIN,2023-05-05
Chamberlin Holding LLC,co_aa017b86bc03,First Lien,Financial Services,,,SOFR,6%,,,,0,0,0,,0,,,,,,MAIN,2023-05-05
Chamberlin Holding LLC,co_aa017b86bc03,First Lien,Financial Services,12.86%,,SOFR,8%,,,,16945,16940,16945,,16940,,,,,,MAIN,2023-05-05
Chamberlin Holding LLC,co_aa017b86bc03,Other Equity,Financial Services,,,,,,,,,11440,22800,,11440,,,,4347,,MAIN,2023-05-05
Chamberlin Holding LLC,co_aa017b86bc03,Other Equity,Financial Services,,,,,,,,,1773,2830,,1773,,,,1047146,,MAIN,2023-05-05
Charps LLC,co_54424ddcc9de,Unsecured Debt,Financial Services,10%,,,,,,,5694,4652,5694,,4652,,,,,,MAIN,2023-05-05
Charps LLC,co_54424ddcc9de,Preferred Equity,Financial Services,,,,,,,,,1963,13550,,1963,,,,1829,,MAIN,2023-05-05
Clad-Rex Steel LLC,co_6338421c62e0,First Lien,Financial Services,,,SOFR,9%,,,,0,0,0,,0,,,,,,MAIN,2023-05-05
Clad-Rex Steel LLC,co_6338421c62e0,First Lien,Financial Services,13.79%,,SOFR,9%,,,,10000,9971,9971,,9971,,,,,,MAIN,2023-05-05
Clad-Rex Steel LLC,co_6338421c62e0,First Lien,Financial Services,10%,,,,,,,1040,1031,1031,,1031,,,,,,MAIN,2023-05-05
Clad-Rex Steel LLC,co_6338421c62e0,Other Equity,Financial Services,,,,,,,,,7280,7170,,7280,,,,717,,MAIN,2023-05-05
Clad-Rex Steel LLC,co_6338421c62e0,Other Equity,Financial Services,,,,,,,,,210,830,,210,,,,800,,MAIN,2023-05-05
CMS Minerals Investments,co_d6c96c7b7061,Other Equity,Financial Services,,,,,,,,,1300,1235,,1300,,,,100,,MAIN,2023-05-05
