company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
CBT Nuggets LLC,Partnership Interest,Software,15.38%,,N/A,9.00%,,,,,1838,2059,49002,,,MAIN,2024-11-08
Centre Technologies Holdings LLC,Other Debt,Software,14.48%,,N/A,9.00%,,,,,70,1657,14954,,,MAIN,2024-11-08
Centre Technologies Holdings LLC,Preferred Equity,Software,,,,,,,,1700,90,8700,,,,MAIN,2024-11-08
Chamberlin Holding LLC,Other Debt,Manufacturing,13.49%,,N/A,8.00%,,,,,140,21,,,,MAIN,2024-11-08
Chamberlin Holding LLC,Partnership Interest,Manufacturing,,,,,,,,3010,2792,22920,,,,MAIN,2024-11-08
Charps LLC,Unsecured Debt,Business Services,10.00%,,,,,,,,452,5694,26,,,MAIN,2024-11-08
Charps LLC,Preferred Equity,Business Services,,,,,,,,670,666,13340,,,,MAIN,2024-11-08
Colonial Electric Company LLC,Other Debt,Industrial Services,12.00%,,,,,,,,2105,23151,42,,,MAIN,2024-11-08
Colonial Electric Company LLC,Preferred Equity,Industrial Services,,,,,,,,-1480,-1179,9160,,,,MAIN,2024-11-08
Copper Trail Fund Investments,Partnership Interest,Financial Services,,,,,,,,38,588,,,,,MAIN,2024-11-08
Digital Products Holdings LLC,Other Debt,Software,15.38%,,N/A,10.00%,,,,,1735,15523,,,,MAIN,2024-11-08
Digital Products Holdings LLC,Preferred Equity,Software,,,,,,,,150,9835,,,,,MAIN,2024-11-08
Garreco LLC,Other Debt,Manufacturing,12.00%,,N/A,10.00%,,,,,315,3826,,,,MAIN,2024-11-08
Garreco LLC,Partnership Interest,Manufacturing,,,,,,,,25,1800,,,,,MAIN,2024-11-08
Gulf Manufacturing LLC,Partnership Interest,Manufacturing,,,,,,,,1980,2533,6790,,,,MAIN,2024-11-08
Harrison Hydra-Gen Ltd.,Common Equity,Industrial Services,,,,,,,,990,3280,,,,,MAIN,2024-11-08
Johnson Downie Opco LLC,Other Debt,Industrial Services,16.98%,,N/A,11.50%,,,,,1247,9999,19,,,MAIN,2024-11-08
Johnson Downie Opco LLC,Preferred Equity,Industrial Services,,,,,,,,2120,253,5540,,,,MAIN,2024-11-08
JorVet Holdings LLC,Other Debt,Healthcare Services,12.00%,,,,,,,,2373,25432,38,,,MAIN,2024-11-08
JorVet Holdings LLC,Preferred Equity,Healthcare Services,,,,,,,,704,10741,,,,,MAIN,2024-11-08
KBK Industries LLC,Other Debt,Industrial Services,9.00%,,,,,,,,44,444,6000,,,MAIN,2024-11-08
KBK Industries LLC,Partnership Interest,Industrial Services,,,,,,,,2800,7696,15570,,,,MAIN,2024-11-08
NuStep LLC,Other Debt,Industrial Services,11.98%,,N/A,6.50%,,,,,364,4399,364,,,MAIN,2024-11-08
NuStep LLC,Preferred Equity,Industrial Services,,,,,,,,1200,8040,1200,,,,MAIN,2024-11-08
Orttech Holdings LLC,Other Debt,Industrial Services,,,,,,,,,,,,,,MAIN,2024-11-08
Orttech Holdings LLC,Other Debt,Industrial Services,16.48%,,N/A,11.00%,,,,,127,2822,171,,,MAIN,2024-11-08
Orttech Holdings LLC,Preferred Equity,Industrial Services,,,,,,,,5300,909,5300,,,,MAIN,2024-11-08
Pearl Meyer Topco LLC,Other Debt,Industrial Services,12.00%,,,,,,,,4,256,4,,,MAIN,2024-11-08
Pearl Meyer Topco LLC,Preferred Equity,Industrial Services,,,,,,,,830,9215,830,,,,MAIN,2024-11-08
River Aggregates LLC,Partnership Interest,Manufacturing,,,,,,,,,,,369,,,MAIN,2024-11-08
Tedder Industries LLC,Other Debt,Industrial Services,12.00%,,,,,,,,167,1840,167,,,MAIN,2024-11-08
Tedder Industries LLC,Preferred Equity,Industrial Services,,,,,,,,-4080,7681,,,,,MAIN,2024-11-08
Televerde LLC,Partnership Interest,Industrial Services,,,,,,,,592,5408,592,,,,MAIN,2024-11-08
Televerde LLC,Preferred Equity,Software,,,,,,,,,,,718,,,MAIN,2024-11-08
UnionRock Energy Fund III LP,Partnership Interest,Investment Vehicles,,,,,,,,,,,,2493,,MAIN,2024-11-08
Vision Interests Inc.,Preferred Equity,Industrial Services,,,,,,,,168,3000,168,,,,MAIN,2024-11-08
VVS Holdco LLC,Other Debt,Industrial Services,,,,,,,,,,,23,23,,MAIN,2024-11-08
VVS Holdco LLC,Other Debt,Industrial Services,11.50%,,,,,,,,2625,30161,60,,,MAIN,2024-11-08
VVS Holdco LLC,Preferred Equity,Industrial Services,,,,,,,,215,11940,215,,,,MAIN,2024-11-08
HPEP 3 LP,Partnership Interest,Energy & Utilities,,,,,,,,,,,283,4331,,MAIN,2024-11-08
HPEP 4 LP,Partnership Interest,Energy & Utilities,,,,,,,,,,,464,2332,,MAIN,2024-11-08
423 COR LP,Partnership Interest,Energy & Utilities,,,,,,,,117,1400,,,,,MAIN,2024-11-08
I-45 SLF LLC,Partnership Interest,Energy & Utilities,,,,,,,,259,1725,11758,1459,,,MAIN,2024-11-08
Infinity X1 Holdings LLC,Other Debt,Energy & Utilities,13.00%,,N/A,,,,,,,,1391,17843,,MAIN,2024-11-08
Infinity X1 Holdings LLC,Preferred Equity,Manufacturing,,,,,,,,,,,4000,,,MAIN,2024-11-08
Integral Energy Services,Other Debt,Energy & Utilities,13.01%,,N/A,7.50%,,,,,1578,50,15769,,,MAIN,2024-11-08
Integral Energy Services,Common Equity,Energy & Utilities,,,,,,,,32,1280,,,,,MAIN,2024-11-08
Iron-Main Investments LLC,Other Debt,Energy & Utilities,13.50%,,N/A,,,,,,,,323,3130,4,MAIN,2024-11-08
Iron-Main Investments LLC,Common Equity,Energy & Utilities,,,,,,,,74,1798,1032,,,,MAIN,2024-11-08
ITA Holdings Group LLC,Other Debt,Energy & Utilities,15.40%,2.00%,N/A,8.00%,,,,,321,3341,,,,MAIN,2024-11-08
ITA Holdings Group LLC,Warrants,Energy & Utilities,,,,,,,,,,,,2091,,MAIN,2024-11-08
OnAsset Intelligence Inc.,Other Debt,Energy & Utilities,12.00%,12.00%,N/A,,,,,,,,569,,,MAIN,2024-11-08
OnAsset Intelligence Inc.,Unsecured Debt,Energy & Utilities,10.00%,10.00%,N/A,,,,,,,,305,,,MAIN,2024-11-08
OnAsset Intelligence Inc.,Preferred Equity,Energy & Utilities,7.00%,7.00%,N/A,,,,,,,,,,,MAIN,2024-11-08
OnAsset Intelligence Inc.,Common Equity,Energy & Utilities,,,,,,,,,,,,,,MAIN,2024-11-08
OnAsset Intelligence Inc.,Warrants,Energy & Utilities,,,,,,,,,,,,,,MAIN,2024-11-08
Oneliance LLC,Other Debt,Energy & Utilities,,11.00%,N/A,11.00%,,,,,,,,681,5559,MAIN,2024-11-08
Analytical Systems Keco Holdings LLC,Other Debt,Energy & Utilities,15.38%,,N/A,10.00%,,,,,,,,569,,MAIN,2024-11-08
Analytical Systems Keco Holdings LLC,Preferred Equity,Other,,,,,,,,,1076,,,,3504,MAIN,2024-11-08
Analytical Systems Keco Holdings LLC,Warrants,Other,,,,,,,,,,,,,,MAIN,2024-11-08
Brewer Crane Holdings LLC,Other Debt,Energy & Utilities,15.44%,,N/A,10.00%,,,,,,,,682,,MAIN,2024-11-08
Brewer Crane Holdings LLC,Preferred Equity,Other,,,,,,,,,-1460,,,,90,MAIN,2024-11-08
Café Brazil LLC,Partnership Interest,Other,,,,,,,,,,,,149,,MAIN,2024-11-08
California Splendor Holdings LLC,Other Debt,Energy & Utilities,15.50%,,N/A,10.00%,,,,,,,,3240,,MAIN,2024-11-08
California Splendor Holdings LLC,Preferred Equity,Other,,,,,,,,,-4550,,,,188,MAIN,2024-11-08
California Splendor Holdings LLC,Preferred Equity,Energy & Utilities,15.00%,15.00%,N/A,,,,,,,,454,,,MAIN,2024-11-08
Clad-Rex Steel LLC,Other Debt,Other,,,,,,,,,,,,2,,MAIN,2024-11-08
Clad-Rex Steel LLC,Other Debt,Energy & Utilities,11.50%,,N/A,,,,,,,,910,,,MAIN,2024-11-08
Clad-Rex Steel LLC,Partnership Interest,Other,,,,,,,,,-2640,,,,275,MAIN,2024-11-08
CMS Minerals Investments,Partnership Interest,Other,,,,,,,,,,,,44,,MAIN,2024-11-08
Cody Pools Inc.,Other Debt,Energy & Utilities,,10.50%,N/A,,,,,,,,,96,,MAIN,2024-11-08
Cody Pools Inc.,Other Debt,Energy & Utilities,12.50%,,N/A,,,,,,,,35,,,MAIN,2024-11-08
Cody Pools Inc.,Preferred Equity,Other,,,,,,,,,10970,,,,2610,MAIN,2024-11-08
CompareNetworks Topco LLC,Other Debt,Other,,,,SF+,,,,,,,,,,MAIN,2024-11-08
CompareNetworks Topco LLC,Other Debt,Energy & Utilities,14.48%,,N/A,9.00%,,,,,,,,533,,MAIN,2024-11-08
CompareNetworks Topco LLC,Preferred Equity,Other,,,,,,,,,-4400,,,,316,MAIN,2024-11-08
Cybermedia Technologies LLC,Other Debt,Other,,,,,,,,,,,,4,,MAIN,2024-11-08
Cybermedia Technologies LLC,Other Debt,Energy & Utilities,13.00%,,N/A,,,,,,,,2020,,,MAIN,2024-11-08
Cybermedia Technologies LLC,Preferred Equity,Other,,,,,,,,,,,,,,MAIN,2024-11-08
Trantech Radiator Topco LLC,Other Debt,Other,12.00%,,N/A,,,,,,,,734,7920,14,MAIN,2024-11-08
Trantech Radiator Topco LLC,Common Equity,Other,,,,,,,,,5600,87,7800,5600,,MAIN,2024-11-08
Volusion LLC,Other Debt,Other,10.00%,,N/A,,,,,,,,107,2100,,MAIN,2024-11-08
Volusion LLC,Other Debt,Other,,,,,,,,,,,,166,14914,MAIN,2024-11-08
Volusion LLC,Unsecured Debt,Other,,,,,,,,,409,,,409,,MAIN,2024-11-08
Volusion LLC,Preferred Equity,Other,,,,,,,,,,,,11446,,MAIN,2024-11-08
Volusion LLC,Common Equity,Other,,,,,,,,,,,,2576,,MAIN,2024-11-08
Volusion LLC,Warrants,Other,,,,,,,,,,,,,,MAIN,2024-11-08
Ziegler's NYPD LLC,Other Debt,Other,12.00%,,N/A,,,,,,,,41,450,,MAIN,2024-11-08
Ziegler's NYPD LLC,Preferred Equity,Other,,,,,,,,,,,,240,,MAIN,2024-11-08
Ziegler's NYPD LLC,Warrants,Other,,,,,,,,,,,,,,MAIN,2024-11-08
2717 MH LP.,Partnership Interest,Other,,,,,,,,,2222,-1106,141,7552,2796,MAIN,2024-11-08
2717 HPP-MS LP.,Partnership Interest,Other,,,,,,,,,67,248,67,,,MAIN,2024-11-08
ASC Interests LLC,Other Debt,Other,13.00%,,N/A,,,,,,,,163,1649,1,MAIN,2024-11-08
ASC Interests LLC,Partnership Interest,Other,,,,,,,,,,,,800,,MAIN,2024-11-08
ASC Interests LLC,Preferred Equity,Other,,,,,,,,,88,,,250,,MAIN,2024-11-08
ATS Workholding LLC,Other Debt,Other,5.00%,,N/A,,,,,,,,634,188,,MAIN,2024-11-08
ATS Workholding LLC,Preferred Equity,Other,,,,,,,,,,,,,,MAIN,2024-11-08
Barfly Ventures LLC,Other Debt,Other,7.00%,,N/A,,,,,,,,45,711,,MAIN,2024-11-08
Barfly Ventures LLC,Partnership Interest,Other,,,,,,,,,,,,3320,,MAIN,2024-11-08
Gulf Publishing Holdings LLC,Other Debt,Other,9.50%,,N/A,,,,,,,,,,,MAIN,2024-11-08
IG Investor LLC,Other Debt,Other,,,,,,,,,,,,,763,MAIN,2024-11-08
IG Investor LLC,Common Equity,Aerospace & Defense,,,,,,,,,,14400,,,,MAIN,2024-11-08
Independent Pet Partners Intermediate Holdings LLC,Common Equity,Retail,,,,,,,,,,,18300,,,MAIN,2024-11-08
