company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
EnCap Energy Capital Fund VIII L.P.,LP Interests,Energy,,,,,2015-01-22,,,,,,,3542,
EnCap Energy Capital Fund VIII Co-Investors L.P.,LP Interests,Energy,,,,,2015-01-21,,,,,,,1983,
EnCap Energy Capital Fund IX L.P.,LP Interests,Energy,,,,,2015-01-22,,,,,,,3255,
EnCap Energy Capital Fund X L.P.,LP Interests,Energy,,,,,2015-03-25,,,,,,,6908,
EnCap Energy Capital Fund XII L.P.,LP Interests,Energy,,,,,2023-08-31,,,,,,,3273,
EnCap Flatrock Midstream Fund II L.P.,LP Interests,Energy,,,,,2015-03-30,,,,,,,4739,
EnCap Flatrock Midstream Fund III L.P.,LP Interests,Energy,,,,,2015-03-27,,,,,,,3372,
Escalent Inc.,Secured Debt,Market Research and Consulting Firm,,,,,SF,8.00%,2029-04-07,1378,,,,,
Escalent Inc.,Common Equity,Market Research and Consulting Firm,,,,,,2023-04-07,,,,649794,663,,
Event Holdco LLC,Secured Debt,Event and Learning Management Software for Healthcare Organizations and Systems,,,,,SF,8.00%,2026-12-22,3692,,,,,
Event Holdco LLC,Secured Debt,Event and Learning Management Software for Healthcare Organizations and Systems,12.56%,4.00%,SF,8.00%,2026-12-22,47971,,,,,,,
Fuse LLC,Secured Debt,Cable Networks Operator,,,,,12.00%,,2026-12-31,1810,,,,,
Fuse LLC,Common Stock,Cable Networks Operator,,,,,,2019-06-30,,,,10429,256,,
Garyline LLC,Secured Debt,Manufacturer of Consumer Plastic Products,,,,,SF,6.75%,2028-11-10,8824,,,,,
Garyline LLC,Preferred Equity,Manufacturer of Consumer Plastic Products,,,,,,2025-02-24,,,,54902,55,,
Garyline LLC,Common Equity,Manufacturer of Consumer Plastic Products,,,,,,2023-11-10,,,,705882,706,,
GradeEight Corp.,Distributor of Maintenance and Repair Parts,,,,,,,,,,,,,,
Garyline LLC,Secured Debt,Manufacturer of Consumer Plastic Products,,,,SF,6.75%,2028-11-10,8824,,,,,,
Garyline LLC,Secured Debt,Manufacturer of Consumer Plastic Products,,,,SF,6.75%,2028-11-10,32065,,,,,,
Jackmont Hospitality Inc,Secured Debt,Franchisee of Casual Dining Restaurants,11.58%,,SF,7.00%,2022-10-26,2026-11-04,782,,,,,,
Jackmont Hospitality Inc,Secured Debt,Franchisee of Casual Dining Restaurants,11.45%,,SF,7.00%,2024-02-27,2026-11-04,625,,,,,,
Jackmont Hospitality Inc,Secured Debt,Franchisee of Casual Dining Restaurants,11.45%,,SF,7.00%,2024-11-01,2026-11-04,667,,,,,,
Jackmont Hospitality Inc,Secured Debt,Franchisee of Casual Dining Restaurants,11.68%,,SF,7.00%,2021-11-08,2026-11-04,1817,,,,,,
Jackmont Hospitality Inc,Preferred Equity,Franchisee of Casual Dining Restaurants,,,,,,2021-11-08,,,,110,,,
JDC Power Services LLC,Secured Debt,Provider of Electrical Equipment and Maintenance Services for Datacenters,,,,,SF,6.50%,2029-06-28,,,,,,
JDC Power Services LLC,Secured Debt,Provider of Electrical Equipment and Maintenance Services for Datacenters,10.80%,,SF,6.50%,2024-06-28,2029-06-28,60579,,,,,,
Joerns Healthcare LLC,Secured Debt,Manufacturer and Distributor of Health Care Equipment & Supplies,13.14%,6.00%,SF,8.75%,2024-03-30,2029-03-29,1797,,,,,,
Joerns Healthcare LLC,Secured Debt,Manufacturer and Distributor of Health Care Equipment & Supplies,13.14%,13.14%,SF,8.75%,2024-03-30,2029-03-29,1357,,,,,,
Joerns Healthcare LLC,Common Stock,Manufacturer and Distributor of Health Care Equipment & Supplies,,,,,,2024-03-29,,,,200,,,
JTI Electrical & Mechanical LLC,Secured Debt,Electrical Mechanical and Automation Services,,,,SF,6.25%,2026-12-22,8421,,,,,,
JTI Electrical & Mechanical LLC,Secured Debt,Electrical Mechanical and Automation Services,,,,SF,6.25%,2026-12-22,35289,,,,,,
JTI Electrical & Mechanical LLC,Secured Debt,Electrical Mechanical and Automation Services,,,,SF,6.25%,2024-02-01,2026-12-22,3305,,,,,
JTI Electrical & Mechanical LLC,Common Equity,Electrical Mechanical and Automation Services,,,,,,2021-12-22,,,,1684,,,
LKCM Headwater Investments I LP,LP Interests,Investment Partnership,,,,,,2013-01-25,,,,499,,,
LL Management Inc,Medical Transportation Service Provider,,,,,,,,,,,,,,
Clarius BIGS LLC,Secured Debt,Prints & Advertising Film Financing,,,,,,2015-01-05,2649,,,47577,,,
Computer Data Source LLC,Secured Debt,Third Party Maintenance Provider to the Data Center Ecosystem,12.93%,,SF,8.25%,2021-08-06,2026-08-06,7837,,,,,,
Computer Data Source LLC,Secured Debt,,,,,SF,8.25%,2024-03-29,2026-08-06,,,,,,
Computer Data Source LLC,Secured Debt,Third Party Maintenance Provider to the Data Center Ecosystem,12.92%,,SF,8.25%,2021-08-06,2026-08-06,18968,,,,,,
Coregistics Buyer LLC,Secured Debt,Contract Packaging Service Provider,10.39%,,SF,6.00%,2024-06-29,2029-06-28,1669,,,,,,
Coregistics Buyer LLC,Secured Debt,Contract Packaging Service Provider,10.36%,,SF,6.00%,2024-06-29,2029-06-28,10704,,,,,,
Coregistics Buyer LLC,Secured Debt,Contract Packaging Service Provider,10.40%,,SF,6.00%,2024-08-15,2029-06-28,7118,,,,,,
Coregistics Buyer LLC,Secured Debt,Contract Packaging Service Provider,10.61%,,SF,6.25%,2024-06-29,2029-06-28,32031,,,,,,
CQ Fluency LLC,Secured Debt,Global Language Services Provider,,,SF,6.75%,2023-12-27,2027-06-27,,,,,,,
CQ Fluency LLC,Secured Debt,Global Language Services Provider,11.18%,,SF,6.75%,2023-12-27,2027-06-27,10828,,,,10506,,
Creative Foam Corporation,Secured Debt,Manufacturer of Custom Engineered Die Cut Formed Foam Nonwoven and Multi-material Component Solutions for the Automotive and Healthcare Markets,,,SF,5.75%,2024-06-27,2029-06-27,,,,,,,
Creative Foam Corporation,Secured Debt,Manufacturer of Custom Engineered Die Cut Formed Foam Nonwoven and Multi-material Component Solutions for the Automotive and Healthcare Markets,10.11%,,SF,5.75%,2024-06-27,2029-06-27,106280,,,,104076,,
Dalton US Inc.,Common Stock,Provider of Supplemental Labor Services,,,,,,2022-08-16,515,,,,720,,
DTE Enterprises LLC,Class AA Preferred Member Units (non-voting),Industrial Powertrain Repair and Services,,,,,10.00%,2018-04-13,,,1316,,,,
DTE Enterprises LLC,Class A Preferred Member Units,Industrial Powertrain Repair and Services,8.00%,,,,,2018-04-13,776316,,,776,,,
Mini Melts of America LLC,Secured Debt,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,10.21%,,SF,5.75%,2022-04-04,2028-04-03,19828,,,30552,,,
Mini Melts of America LLC,Secured Debt,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,10.74%,,SF,6.25%,2023-11-30,2028-11-30,575,,,,,,
Mini Melts of America LLC,Secured Debt,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,10.77%,,SF,6.25%,2023-11-30,2028-11-30,1315,,,,,,
Mini Melts of America LLC,Secured Debt,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,9.76%,,SF,5.25%,2023-11-30,2028-11-30,4904,,,,,,
Mini Melts of America LLC,Common Equity,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,,,,,,2023-11-30,,,,516,11963,,
MonitorUS Holding LLC,Secured Debt,SaaS Provider of Media Intelligence Services,10.55%,6.25%,SF,n/a,2022-05-24,2027-05-24,4101,,,,,,
MonitorUS Holding LLC,Secured Debt,SaaS Provider of Media Intelligence Services,11.59%,,SF,7.00%,2022-05-24,2027-05-24,10767,,,,,,
MonitorUS Holding LLC,Secured Debt,SaaS Provider of Media Intelligence Services,11.59%,,SF,7.00%,2022-05-24,2027-05-24,18103,,,,,,
MonitorUS Holding LLC,Unsecured Debt,SaaS Provider of Media Intelligence Services,,8.00%,,8.00%,2023-11-14,2025-03-31,114,,,,,,
MonitorUS Holding LLC,Unsecured Debt,SaaS Provider of Media Intelligence Services,,8.00%,,8.00%,2024-03-15,2025-06-30,54,,,,,,
MonitorUS Holding LLC,Unsecured Debt,SaaS Provider of Media Intelligence Services,,8.00%,,8.00%,2024-09-25,2025-12-21,107,,,,,,
MonitorUS Holding LLC,Common Stock,SaaS Provider of Media Intelligence Services,,,,,,2022-08-30,,,,44445814,889,33838,
NinjaTrader LLC,Secured Debt,Operator of Futures Trading Platform,,6.50%,SF,6.50%,2019-12-18,2026-12-18,,,,,,,
NinjaTrader LLC,Secured Debt,Operator of Futures Trading Platform,11.24%,,SF,6.50%,2019-12-18,2026-12-18,28243,,,28010,,,
Obra Capital Inc.,Secured Debt,Provider of Asset Management Services Specialized in Insurance-Linked Strategies,,7.50%,SF,7.50%,2024-06-21,2028-12-21,,,,,,,
Obra Capital Inc.,Secured Debt,Provider of Asset Management Services Specialized in Insurance-Linked Strategies,11.97%,,SF,7.50%,2024-06-21,2029-06-21,26352,,,25649,,,
OnPoint Industrial Services LLC,Secured Debt,Environmental & Facilities Services,11.35%,,SF,7.00%,2024-12-18,2027-11-16,1400,,,,,,
OnPoint Industrial Services LLC,Secured Debt,Environmental & Facilities Services,11.33%,,SF,7.00%,2024-04-01,2027-11-16,3880,,,,,,
World Micro Holdings LLC,Secured Debt,Supply Chain Management,13.00%,,SF,6.50%,2022-12-12,2027-12-12,10765,,,14547,,,
World Micro Holdings LLC,Preferred Equity,Supply Chain Management,,,n/a,n/a,,,2022-12-12,,,3845,3845,14547,
Adams Publishing Group LLC,Secured Debt,Local Newspaper Operator,11.00%,1.00%,SF,7.00%,2022-03-11,2027-03-11,7920,,,26746,,,
Adams Publishing Group LLC,Secured Debt,Local Newspaper Operator,11.00%,1.00%,SF,7.00%,2022-03-11,2027-03-11,18853,,,26746,,,
AMEREQUIP LLC,Common Stock,Full Services Provider Including Design Engineering and Manufacturing of Commercial and Agricultural Equipment,,,,2022-08-31,,,235,,,1844,,,
