company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Vice Group Holding Inc.,First Lien,Media & Entertainment,8.00%,,N/A,4.00%,2019-05-02,2022-11-02,1636,1628,1636,0.7,,,,MRCC,2022-11-07
Vice Group Holding Inc.,First Lien,Media & Entertainment,8.00%,,N/A,4.00%,2019-11-04,2022-11-02,314,312,314,0.2,,,,MRCC,2022-11-07
Vice Group Holding Inc.,First Lien,Media & Entertainment,8.00%,,N/A,4.00%,2019-05-02,2022-11-02,513,510,513,0.2,,,,MRCC,2022-11-07
Vice Group Holding Inc.,First Lien,Media & Entertainment,8.00%,,N/A,4.00%,2019-05-02,2022-11-02,193,192,193,0.1,,,,MRCC,2022-11-07
Attom Intermediate Holdco LLC,First Lien,Media & Entertainment,9.27%,,N/A,6.15%,2019-01-04,2024-01-04,1925,1922,1914,0.9,,,,MRCC,2022-11-07
Attom Intermediate Holdco LLC,First Lien,Media & Entertainment,9.27%,,N/A,6.15%,2020-06-25,2024-01-04,469,468,466,0.2,,,,MRCC,2022-11-07
Attom Intermediate Holdco LLC,First Lien,Media & Entertainment,9.27%,,N/A,6.15%,2021-07-01,2024-01-04,277,276,272,0.1,,,,MRCC,2022-11-07
Attom Intermediate Holdco LLC,First Lien,Media & Entertainment,9.30%,,N/A,6.15%,2022-08-04,2024-01-04,798,797,784,0.4,,,,MRCC,2022-11-07
Attom Intermediate Holdco LLC Revolver,Revolver,Media & Entertainment,8.87%,,N/A,5.75%,2019-01-04,2024-01-04,320,224,224,0.1,,,,MRCC,2022-11-07
Bonterra LLC fka Cybergrants Holdings,First Lien,Media & Entertainment,9.92%,,N/A,6.25%,2021-09-08,2027-09-08,12799,12559,12638,5.6,,,,MRCC,2022-11-07
Bonterra LLC fka Cybergrants Holdings Delayed Draw,Delayed Draw,Media & Entertainment,9.92%,,N/A,6.25%,2021-09-08,2027-09-08,2302,,,,0.0,,,MRCC,2022-11-07
Bonterra LLC fka Cybergrants Holdings Revolver,Revolver,Media & Entertainment,9.92%,,N/A,6.25%,2021-09-08,2027-09-08,1069,640,652,0.3,,,,MRCC,2022-11-07
Chess.com LLC,First Lien,Media & Entertainment,10.17%,,N/A,6.50%,2021-12-31,2027-12-31,5970,5880,5863,2.6,,,,MRCC,2022-11-07
Chess.com LLC Revolver,Revolver,Media & Entertainment,10.17%,,N/A,6.50%,2021-12-31,2027-12-31,652,,,,0.0,,,MRCC,2022-11-07
Crownpeak Technology Inc.,First Lien,Media & Entertainment,9.86%,,N/A,7.25%,2019-02-28,2024-02-28,4000,4000,3975,1.8,,,,MRCC,2022-11-07
Crownpeak Technology Inc.,First Lien,Media & Entertainment,11.47%,,N/A,7.25%,2022-09-27,2024-02-28,1273,1273,1248,0.6,,,,MRCC,2022-11-07
Crownpeak Technology Inc.,First Lien,Media & Entertainment,9.86%,,N/A,7.25%,2019-02-28,2024-02-28,60,60,60,0.0,,,,MRCC,2022-11-07
Crownpeak Technology Inc. Delayed Draw,Delayed Draw,Media & Entertainment,9.86%,,N/A,7.25%,2022-09-27,2024-02-28,3333,,,,0.0,,,MRCC,2022-11-07
Crownpeak Technology Inc. Revolver,Revolver,Media & Entertainment,9.86%,,N/A,7.25%,2019-02-28,2024-02-28,500,,,,0.0,,,MRCC,2022-11-07
Spectrum Science Communications LLC,First Lien,Media & Entertainment,9.46%,,N/A,6.25%,2022-01-25,2027-01-25,998,993,980,0.3,,,,MRCC,2022-11-07
Curion Holdings LLC (Revolver),Revolver,Consumer Products,8.2%,,N/A,,,,,,,,820,10,830,MRCC,2022-11-07
American Community Homes Inc. (Revolver),Revolver,Consumer Products,,,,,,,,,,,19,,,MRCC,2022-11-07
American Community Homes Inc. (Warrant),Warrants,Consumer Products,,,,,,,,,,,,,,MRCC,2022-11-07
Ascent Midco LLC (Revolver),Revolver,Energy & Utilities,,,,,,,,,,,3,3,,MRCC,2022-11-07
Ascent Midco LLC (Class A units),Common Equity,Energy & Utilities,,,,,,,,,,,141,130,,MRCC,2022-11-07
Curion Holdings LLC (Junior secured loan),Second Lien,Consumer Products,,,,,,,,,,,,,,MRCC,2022-11-07
Curion Holdings LLC (Common stock),Common Equity,Consumer Products,,,,,,,,,,,,,,MRCC,2022-11-07
Arcstor Midco LLC,First Lien,Software,7.00%,,N/A,3.67,2021-03-16,2027-03-16,4444,4372,4114,1.8,,,,MRCC,2022-11-07
Drawbridge Partners LLC,First Lien,Software,7.00%,10.03,N/A,3.03,2022-09-01,2028-09-01,3000,2941,2940,1.3,,,,MRCC,2022-11-07
Drawbridge Partners LLC Delayed Draw,First Lien,Software,7.00%,10.03,N/A,3.03,2022-09-01,2028-09-01,330,23,23,0.0,,,,MRCC,2022-11-07
Drawbridge Partners LLC Revolver,First Lien,Software,6.50%,,N/A,3.03,2022-09-01,2028-09-01,522,,,,0.0,,,MRCC,2022-11-07
MarkLogic Corp.,First Lien,Software,6.50%,,N/A,2.84,2020-10-20,2025-10-20,3439,3383,3422,1.5,,,,MRCC,2022-11-07
MarkLogic Corp.,First Lien,Software,6.50%,,N/A,2.84,2021-11-23,2025-10-20,321,316,319,0.2,,,,MRCC,2022-11-07
MarkLogic Corp.,First Lien,Software,6.50%,,N/A,2.84,2022-05-10,2025-10-20,2675,2627,2662,1.2,,,,MRCC,2022-11-07
MarkLogic Corp.,First Lien,Software,6.50%,,N/A,2.84,2021-11-23,2025-10-20,215,215,214,0.1,,,,MRCC,2022-11-07
MarkLogic Corp. Revolver,First Lien,Software,6.50%,,N/A,2.84,2020-10-20,2025-10-20,269,,,,0.0,,,MRCC,2022-11-07
Medallia Inc.,First Lien,Software,6.75%,9.12,N/A,3.12,2022-08-15,2028-10-27,2023,1983,2028,0.9,,,,MRCC,2022-11-07
Mindbody Inc.,First Lien,Software,8.50%,1.50,N/A,1.50,2019-02-15,2025-02-14,6562,6506,6549,2.9,,,,MRCC,2022-11-07
Mindbody Inc.,First Lien,Software,8.50%,1.50,N/A,1.50,2021-09-22,2025-02-14,676,676,675,0.3,,,,MRCC,2022-11-07
Mindbody Inc. Revolver,First Lien,Software,8.00%,,N/A,3.64,2019-02-15,2025-02-14,667,,,,0.0,,,MRCC,2022-11-07
Newforma Inc.,First Lien,Software,5.50%,,N/A,3.67,2017-06-30,2023-03-31,1875,1874,1875,0.8,,,,MRCC,2022-11-07
Newforma Inc. Revolver,First Lien,Software,5.50%,,N/A,3.67,2017-06-30,2023-03-31,1250,,,,0.0,,,MRCC,2022-11-07
Planful Inc.,First Lien,Software,6.50%,,N/A,2.56,2018-12-28,2026-12-28,9500,9444,9429,4.2,,,,MRCC,2022-11-07
Planful Inc.,Second Lien,Software,6.50%,,N/A,3.40,2022-09-12,2026-12-28,530,517,526,0.2,,,,MRCC,2022-11-07
Planful Inc.,First Lien,Software,6.50%,,N/A,2.56,2021-01-11,2026-12-28,1325,1325,1316,0.6,,,,MRCC,2022-11-07
Planful Inc.,First Lien,Software,6.50%,,N/A,2.56,2022-02-11,2026-12-28,884,884,877,0.4,,,,MRCC,2022-11-07
Planful Inc. Revolver,First Lien,Software,6.50%,,N/A,2.56,2018-12-28,2026-12-28,442,442,439,0.2,,,,MRCC,2022-11-07
Equine Network LLC,First Lien,Hotels & Leisure,8.00%,,N/A,2.63,2020-12-31,2025-12-31,1724,1697,1696,0.8,,,,MRCC,2022-11-07
