company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
TigerConnect Inc,First Lien Senior Secured,Software,7.74%,3.38%,SF,6.90,2025-08-15,2029-08-16,911,,,898,,,,MRCC,2025-11-05.BEFORE
TigerConnect Inc,First Lien Senior Secured,Software,,11.20,SF,6.90,2022-02-16,2029-08-16,3000,,,2972,,,,MRCC,2025-11-05.BEFORE
TigerConnect Inc,First Lien Senior Secured,Software,7.82%,3.38%,SF,6.90,2024-11-19,2029-08-16,171,,,169,,,,MRCC,2025-11-05.BEFORE
TigerConnect Inc (Delayed Draw),First Lien Senior Secured,Software,7.82%,3.38%,SF,6.90,2024-11-19,2029-08-16,17,,,4,,,,MRCC,2025-11-05.BEFORE
TigerConnect Inc (Delayed Draw),First Lien Senior Secured,Software,,11.20,SF,6.90,2022-02-16,2029-08-16,376,,,329,,,,MRCC,2025-11-05.BEFORE
TigerConnect Inc (Revolver),First Lien Senior Secured,Software,,11.11,SF,6.90,2022-02-16,2029-08-16,429,,,,,,,MRCC,2025-11-05.BEFORE
Vero Biotech Inc,First Lien Senior Secured,Healthcare,12.25%,,P,3.75,2023-12-29,2029-01-02,2500,,,2482,,,,MRCC,2025-11-05.BEFORE
Whistler Parent Holdings III Inc,First Lien Senior Secured,Software,,11.01%,SF,6.85,2024-05-28,2028-06-02,667,,,667,,,,MRCC,2025-11-05.BEFORE
Whistler Parent Holdings III Inc (Revolver),First Lien Senior Secured,Software,,11.01%,SF,6.85,2024-10-25,2028-06-02,870,,,686,,,,MRCC,2025-11-05.BEFORE
Arcserve Cayman Opco LP (Delayed Draw),First Lien Senior Secured,Software,,12.39%,SF,8.11,2024-01-02,2027-01-02,551,,,146,,,,MRCC,2025-11-05.BEFORE
Douglas Holdings Inc,First Lien Senior Secured,Manufacturing,9.75%,0.38%,SF,6.13,2024-08-27,2030-08-27,2500,,,2468,,,,MRCC,2025-11-05.BEFORE
Douglas Holdings Inc (Delayed Draw),First Lien Senior Secured,Manufacturing,9.75%,0.38%,SF,6.13,2024-12-30,2026-08-27,309,,,154,,,,MRCC,2025-11-05.BEFORE
Douglas Holdings Inc (Delayed Draw),First Lien Senior Secured,Manufacturing,9.75%,0.38%,SF,6.13,2024-08-27,2030-08-27,543,,,65,,,,MRCC,2025-11-05.BEFORE
Douglas Holdings Inc (Revolver),First Lien Senior Secured,Manufacturing,9.75%,,SF,5.75,2024-08-27,2030-08-27,217,,,,,,,MRCC,2025-11-05.BEFORE
Drawbridge Partners LLC,First Lien Senior Secured,Software,10.41%,,SF,6.25,2022-09-01,2028-09-01,3000,,,2966,,,,MRCC,2025-11-05.BEFORE
Drawbridge Partners LLC (Delayed Draw),First Lien Senior Secured,Software,10.41%,,SF,6.25,2022-09-01,2028-09-01,874,,,795,,,,MRCC,2025-11-05.BEFORE
Drawbridge Partners LLC (Revolver),First Lien Senior Secured,Software,10.41%,,SF,6.25,2022-09-01,2028-09-01,522,,,,,,,MRCC,2025-11-05.BEFORE
Medallia Inc,First Lien Senior Secured,Software,6.47%,4.00%,SF,6.60,2022-08-15,2028-10-27,2297,,,2277,,,,MRCC,2025-11-05.BEFORE
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2018-12-28,2026-12-28,9500,,,9500,,,,MRCC,2025-11-05.BEFORE
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2022-09-12,2026-12-28,530,,,529,,,,MRCC,2025-11-05.BEFORE
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2021-01-11,2026-12-28,1326,,,1326,,,,MRCC,2025-11-05.BEFORE
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2022-02-11,2026-12-28,884,,,884,,,,MRCC,2025-11-05.BEFORE
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2023-04-05,2026-12-28,707,,,699,,,,MRCC,2025-11-05.BEFORE
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2025-03-28,2026-12-28,1455,,,1444,,,,MRCC,2025-11-05.BEFORE
Planful Inc (Revolver),First Lien Senior Secured,Software,10.26%,,SF,6.26,2018-12-28,2026-12-28,1105,,,954,,,,MRCC,2025-11-05.BEFORE
Sparq Holdings Inc,First Lien Senior Secured,Software,9.92%,,SF,5.75,2023-06-16,2029-06-15,980,,,959,,,,MRCC,2025-11-05.BEFORE
Sparq Holdings Inc,First Lien Senior Secured,Software,9.75%,,SF,5.75,2024-06-27,2029-06-25,215,,,213,,,,MRCC,2025-11-05.BEFORE
Bluesight Inc,First Lien Senior Secured,Healthcare,10.57%,,SF,6.25,2023-07-17,2029-07-17,2000,,1950,,,,,MRCC,2025-11-05.BEFORE
Bluesight Inc,First Lien Senior Secured,Healthcare,10.57%,,SF,6.25,2024-10-15,2029-07-17,261,,257,,,,,MRCC,2025-11-05.BEFORE
