company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
TigerConnect Inc,First Lien Senior Secured,Software,7.74%,3.38%,SF,6.90,2025-08-15,2029-08-16,911,,,898,,,
TigerConnect Inc,First Lien Senior Secured,Software,,11.20,SF,6.90,2022-02-16,2029-08-16,3000,,,2972,,,
TigerConnect Inc,First Lien Senior Secured,Software,7.82%,3.38%,SF,6.90,2024-11-19,2029-08-16,171,,,169,,,
TigerConnect Inc (Delayed Draw),First Lien Senior Secured,Software,7.82%,3.38%,SF,6.90,2024-11-19,2029-08-16,17,,,4,,,
TigerConnect Inc (Delayed Draw),First Lien Senior Secured,Software,,11.20,SF,6.90,2022-02-16,2029-08-16,376,,,329,,,
TigerConnect Inc (Revolver),First Lien Senior Secured,Software,,11.11,SF,6.90,2022-02-16,2029-08-16,429,,,,,,
Vero Biotech Inc,First Lien Senior Secured,Healthcare,12.25%,,P,3.75,2023-12-29,2029-01-02,2500,,,2482,,,
Whistler Parent Holdings III Inc,First Lien Senior Secured,Software,,11.01%,SF,6.85,2024-05-28,2028-06-02,667,,,667,,,
Whistler Parent Holdings III Inc (Revolver),First Lien Senior Secured,Software,,11.01%,SF,6.85,2024-10-25,2028-06-02,870,,,686,,,
Arcserve Cayman Opco LP (Delayed Draw),First Lien Senior Secured,Software,,12.39%,SF,8.11,2024-01-02,2027-01-02,551,,,146,,,
Douglas Holdings Inc,First Lien Senior Secured,Manufacturing,9.75%,0.38%,SF,6.13,2024-08-27,2030-08-27,2500,,,2468,,,
Douglas Holdings Inc (Delayed Draw),First Lien Senior Secured,Manufacturing,9.75%,0.38%,SF,6.13,2024-12-30,2026-08-27,309,,,154,,,
Douglas Holdings Inc (Delayed Draw),First Lien Senior Secured,Manufacturing,9.75%,0.38%,SF,6.13,2024-08-27,2030-08-27,543,,,65,,,
Douglas Holdings Inc (Revolver),First Lien Senior Secured,Manufacturing,9.75%,,SF,5.75,2024-08-27,2030-08-27,217,,,,,,
Drawbridge Partners LLC,First Lien Senior Secured,Software,10.41%,,SF,6.25,2022-09-01,2028-09-01,3000,,,2966,,,
Drawbridge Partners LLC (Delayed Draw),First Lien Senior Secured,Software,10.41%,,SF,6.25,2022-09-01,2028-09-01,874,,,795,,,
Drawbridge Partners LLC (Revolver),First Lien Senior Secured,Software,10.41%,,SF,6.25,2022-09-01,2028-09-01,522,,,,,,
Medallia Inc,First Lien Senior Secured,Software,6.47%,4.00%,SF,6.60,2022-08-15,2028-10-27,2297,,,2277,,,
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2018-12-28,2026-12-28,9500,,,9500,,,
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2022-09-12,2026-12-28,530,,,529,,,
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2021-01-11,2026-12-28,1326,,,1326,,,
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2022-02-11,2026-12-28,884,,,884,,,
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2023-04-05,2026-12-28,707,,,699,,,
Planful Inc,First Lien Senior Secured,Software,10.55%,,SF,6.26,2025-03-28,2026-12-28,1455,,,1444,,,
Planful Inc (Revolver),First Lien Senior Secured,Software,10.26%,,SF,6.26,2018-12-28,2026-12-28,1105,,,954,,,
Sparq Holdings Inc,First Lien Senior Secured,Software,9.92%,,SF,5.75,2023-06-16,2029-06-15,980,,,959,,,
Sparq Holdings Inc,First Lien Senior Secured,Software,9.75%,,SF,5.75,2024-06-27,2029-06-25,215,,,213,,,
Bluesight Inc,First Lien Senior Secured,Healthcare,10.57%,,SF,6.25,2023-07-17,2029-07-17,2000,,1950,,,,
Bluesight Inc,First Lien Senior Secured,Healthcare,10.57%,,SF,6.25,2024-10-15,2029-07-17,261,,257,,,,
Bluesight Inc,First Lien Senior Secured,Healthcare,10.58%,,SF,6.25,2024-12-31,2029-07-17,1739,,1713,,,,
Bluesight Inc (Revolver),First Lien Senior Secured,Healthcare,10.58%,,SF,6.25,2023-07-17,2029-07-17,348,,,,,,
Brickell Bay Acquisition Corp,First Lien Senior Secured,Healthcare,11.24%,,SF,6.65,2021-02-12,2026-02-12,1653,,1635,,,,
Brickell Bay Acquisition Corp,First Lien Senior Secured,Healthcare,11.24%,,SF,6.65,2024-05-16,2026-02-12,854,,843,,,,
Dorado Acquisition Inc,First Lien Senior Secured,Healthcare,11.65%,0.50%,SF,7.60,2021-06-30,2026-06-30,4845,,4808,,,,
Dorado Acquisition Inc,First Lien Senior Secured,Healthcare,11.74%,0.50%,SF,7.65,2022-11-27,2026-06-30,4013,,3964,,,,
Dorado Acquisition Inc (Revolver),First Lien Senior Secured,Healthcare,11.65%,0.50%,SF,7.60,2021-06-30,2026-06-30,596,,,,,,
