company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Copper Trail Fund Investments,co_1b7149013ca6,Partnership Interest,Financial Services,,,,,,,,,713,588,,713,,,,,,MSIF,2023-05-12
GRT Rubber Technologies LLC,co_43e6ba927342,First Lien,Financial Services,10.66%,,SOFR,6%,,,,475,468,475,,468,,,,,,MSIF,2023-05-12
GRT Rubber Technologies LLC,co_43e6ba927342,First Lien,Financial Services,12.66%,,SOFR,8%,,,,19944,19766,19944,,19766,,,,,,MSIF,2023-05-12
GRT Rubber Technologies LLC,co_43e6ba927342,Other Equity,Financial Services,,,,,,,,,6435,21890,,6435,,,,2896,,MSIF,2023-05-12
Harris Preston Fund Investments,co_5ceb7de43243,Partnership Interest,Financial Services,,,,,,,,,4027,7009,,4027,,,,,,MSIF,2023-05-12
AFG Capital Group LLC,co_0cdf0e7ef132,Preferred Equity,Financial Services,,,,,,,,,300,2350,,300,,,,46,,MSIF,2023-05-12
Analytical Systems Keco Holdings LLC,co_70406ee95774,First Lien,Financial Services,,,SOFR,10%,,,,0,-2,-2,,-2,,,,,,MSIF,2023-05-12
Analytical Systems Keco Holdings LLC,co_70406ee95774,First Lien,Financial Services,14.75%,,SOFR,10%,,,,1149,1122,1122,,1122,,,,,,MSIF,2023-05-12
Analytical Systems Keco Holdings LLC,co_70406ee95774,Preferred Equity,Financial Services,14.13%,,,,,,,,800,0,,800,,,,800,,MSIF,2023-05-12
Analytical Systems Keco Holdings LLC,co_70406ee95774,Preferred Equity,Financial Services,,,,,,,,,607,900,,607,,,,607,,MSIF,2023-05-12
Analytical Systems Keco Holdings LLC,co_70406ee95774,Warrants,Financial Services,,,,,,,,,79,0,,79,,,,105,,MSIF,2023-05-12
Barfly Ventures LLC,co_ff716b59934e,Other Equity,Financial Services,,,,,,,,,528,1013,,528,,,,12,,MSIF,2023-05-12
Batjer TopCo LLC,co_2eec49930f0e,First Lien,Financial Services,,,,,,,,0,-1,-1,,-1,,,,,,MSIF,2023-05-12
Batjer TopCo LLC,co_2eec49930f0e,First Lien,Financial Services,11%,,,,,,,1175,1157,1157,,1157,,,,,,MSIF,2023-05-12
Batjer TopCo LLC,co_2eec49930f0e,Preferred Equity,Financial Services,,,,,,,,,455,680,,455,,,,453,,MSIF,2023-05-12
