company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Copper Trail Fund Investments,Partnership Interest,Financial Services,,,,,,,,,693,568,,693,,,,,,MSIF,2024-08-14
GRT Rubber Technologies LLC,First Lien,Financial Services,11.48%,,SOFR,6%,,,,1550,1536,1550,,1536,,,,,,MSIF,2024-08-14
GRT Rubber Technologies LLC,First Lien,Financial Services,13.48%,,SOFR,8%,,,,19944,19827,19944,,19827,,,,,,MSIF,2024-08-14
GRT Rubber Technologies LLC,Other Equity,Financial Services,,,,,,,,,6435,21889,,6435,,,,2896,,MSIF,2024-08-14
Harris Preston Fund Investments,Partnership Interest,Financial Services,,,,,,,,,3345,8991,,3345,,,,,,MSIF,2024-08-14
Volusion LLC,First Lien,Financial Services,10%,,,,,,,900,900,900,,900,,,,,,MSIF,2024-08-14
Volusion LLC,Preferred Equity,Financial Services,,,,,,,,,2798,3000,,2798,,,,2184683,,MSIF,2024-08-14
Volusion LLC,Preferred Equity,Financial Services,,,,,,,,,0,0,,0,,,,61077,,MSIF,2024-08-14
Volusion LLC,Preferred Equity,Financial Services,,,,,,,,,6000,0,,6000,,,,2090001,,MSIF,2024-08-14
Volusion LLC,Common Equity,Financial Services,,,,,,,,,1104,0,,1104,,,,772620,,MSIF,2024-08-14
Analytical Systems Keco Holdings LLC,First Lien,Financial Services,15.38%,,SOFR,10%,,,,55,55,55,,55,,,,,,MSIF,2024-08-14
Analytical Systems Keco Holdings LLC,First Lien,Financial Services,15.38%,,SOFR,10%,,,,983,981,981,,981,,,,,,MSIF,2024-08-14
Analytical Systems Keco Holdings LLC,Preferred Equity,Financial Services,,,,,,,,,607,1400,,607,,,,607,,MSIF,2024-08-14
Analytical Systems Keco Holdings LLC,Preferred Equity,Financial Services,14.13%,,,,,,,,800,0,,800,,,,800,,MSIF,2024-08-14
Analytical Systems Keco Holdings LLC,Warrants,Financial Services,,,,,,,,,79,0,,79,,,,105,,MSIF,2024-08-14
Barfly Ventures LLC,Other Equity,Other,,,,,,,,,528,1573,,528,,,,12,,MSIF,2024-08-14
Batjer TopCo LLC,First Lien,Financial Services,10%,,,,,,,50,49,49,,49,,,,,,MSIF,2024-08-14
Batjer TopCo LLC,First Lien,Financial Services,10%,,,,,,,30,30,30,,30,,,,,,MSIF,2024-08-14
Batjer TopCo LLC,First Lien,Financial Services,10%,,,,,,,1175,1162,1162,,1162,,,,,,MSIF,2024-08-14
Batjer TopCo LLC,Preferred Equity,Financial Services,,,,,,,,,455,630,,455,,,,453,,MSIF,2024-08-14
Brewer Crane Holdings LLC,First Lien,Financial Services,15.48%,,SOFR,10%,,,,1316,1316,1316,,1316,,,,,,MSIF,2024-08-14
Brewer Crane Holdings LLC,Preferred Equity,Financial Services,,,,,,,,,1070,1330,,1070,,,,737,,MSIF,2024-08-14
Centre Technologies Holdings LLC,First Lien,Financial Services,,,SOFR,10%,,,,0,0,0,,0,,,,,,MSIF,2024-08-14
Centre Technologies Holdings LLC,First Lien,Financial Services,15.48%,,SOFR,10%,,,,5116,5058,5116,,5058,,,,,,MSIF,2024-08-14
Centre Technologies Holdings LLC,Preferred Equity,Financial Services,,,,,,,,,1531,2880,,1531,,,,3327,,MSIF,2024-08-14
Chamberlin Holding LLC,First Lien,Financial Services,,,SOFR,6%,,,,0,-37,0,,-37,,,,,,MSIF,2024-08-14
