company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
,co_09fc96082d34,,Deposits:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_cfb33e7e9e20,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_a85975a9089f,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_9da2a6bf7224,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_c0e6c6697b49,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_aa99c06498da,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_157097a8c8d0,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_1f0f7680b74c,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_efebdcde37db,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_a16b7bf9af49,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_5762ba8e3369,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_9d1baa67566c,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_b39cbc0b0fc7,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_6cdf57407751,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_cc54fa16b737,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_5bc74b790229,,,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_09fc96082d34,,Deposits:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_11717343629e,,Deposits:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_5304c30f6e8f,,Deposits:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_f107f432e9bb,,Derivative instruments,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_276a53c45760,,Derivative instruments,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_0e6949efee3f,,Derivative instruments,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_6fa7a6dab1e3,,Derivative instruments,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_d1e5b855823c,Other Equity,Derivative instruments,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_227445a98850,Other Equity,Derivative instruments,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_8ee839bca938,Other Equity,Derivative instruments,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_4448c4548b77,Other Equity,Derivative instruments,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_09fc96082d34,,Interest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_835d5e831434,,Interest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_aaf5060b9517,,Interest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_e06243482234,,Interest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_6ea49469255a,,Interest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_9609d2239836,,Interest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_845d04aa80d2,,Interest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_8a01e7e8bd38,,Interest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_21b936cf69a6,,Interest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_ba689abd93c9,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_b50d427a71ef,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_dbd5e1d36451,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_bbb84fa2a0fe,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_f885ac2aa206,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_3236a4bd4cb8,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_123437f789ef,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_c13b9b4de3c5,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_b4517a480ac8,,Noninterest income,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_293a2a263ca3,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_1693ebc0aaec,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_0ffdb6b78141,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_83f737b0c0f2,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_9f4a19552679,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_46f9d2281617,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_8b781f25368d,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_97ff1d3b54f6,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_09fc96082d34,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_c0d0e477cfd1,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_eb1e33e8a81b,,Other comprehensive loss before tax:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_ac1270c5058a,,Other,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_b9c79fce167b,,Other,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_46f9d2281617,,Noninterest expense,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_ec587d9ed44a,,Other,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_3c10cf3cb83c,,Other,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_40962624bfc2,,Other,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_7a61b53701be,,Changes in operating assets and liabilities:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_ae5fbb1a1009,,Changes in operating assets and liabilities:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_f747870ae666,,Cash flows from investing activities:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_14063697603e,,Cash flows from investing activities:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_733839dde1de,,Cash flows from investing activities:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_bd00b0519660,,Cash flows from financing activities:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
,co_ee3a21ef5ffe,,Cash flows from financing activities:,,,,,,,,,,,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
"Newtek Conventional Lending, LLC",co_b3ba84cef6d5,,Joint Ventures,,,,,,,,,,16587,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
"Newtek TSO II Conventional Credit Partners, LP",co_426521c02d71,,Joint Ventures,,,,,,,,,,6435,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
"EMCAP Loan Holdings, LLC",co_dbd03e385c5d,,Financial Services,20.0%,,,,,,,,,1000,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
"Biller Genie Software, LLC",co_91612134b493,,Financial Services,,,,,,,,,,360,,,,,,,,NEWT,2023-05-11,NEWT,2023-05-11
