company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
24 Seven Holdco LLC,co_d0b2568f8a44,First Lien,,11.43%,,SOFR,6%,,,,8840,8793,8532,4.8%,8793,,,,,,OFS,2023-11-03
Advantage Sales & Marketing Inc.,co_a4cfeab36ed5,First Lien,Business Services,10.04%,,SOFR,4.5%,,,,2266,2242,2190,1.3%,2242,,,,,,OFS,2023-11-03
AIDC IntermediateCo 2 LLC,co_257c6d0bc393,First Lien,Media & Entertainment,11.75%,,SOFR,6.25%,,,,1985,1951,1970,1.2%,1951,,,,,,OFS,2023-11-03
AIDC IntermediateCo 2 LLC,co_257c6d0bc393,First Lien,Media & Entertainment,11.77%,,SOFR,6.25%,,,,46,45,46,0%,45,,,,,,OFS,2023-11-03
Allen Media LLC,co_d4aff8afc078,First Lien,Media & Entertainment,11.04%,,SOFR,5.5%,,,,3739,3735,3347,2%,3735,,,,,,OFS,2023-11-03
All Star Auto Lights Inc.,co_97025e83445f,First Lien,Financial Services,10.94%,,SOFR,5.5%,,,,22920,22753,22918,13.4%,22753,,,,,,OFS,2023-11-03
All Star Auto Lights Inc.,co_97025e83445f,First Lien,Financial Services,10.94%,,SOFR,5.5%,,,,4938,4876,4938,2.9%,4876,,,,,,OFS,2023-11-03
Astro One Acquisition Corp.,co_99e0faa95447,First Lien,,14.23%,,SOFR,8.5%,,,,3000,2704,385,0.2%,2704,,,,,,OFS,2023-11-03
Avison Young,co_ad757299f905,First Lien,,12.15%,,SOFR,6.5%,,,,3925,3903,2060,1.2%,3903,,,,,,OFS,2023-11-03
Avison Young,co_ad757299f905,First Lien,,12.65%,,SOFR,7%,,,,794,757,417,0.2%,757,,,,,,OFS,2023-11-03
BayMark Health Services Inc.,co_ae77d027c787,First Lien,Business Services,14.15%,,SOFR,8.5%,,,,4962,4912,4917,2.9%,4912,,,,,,OFS,2023-11-03
BayMark Health Services Inc.,co_ae77d027c787,Delayed Draw,Business Services,14.15%,,SOFR,8.5%,,,,3988,3946,3952,2.3%,3946,,,,,,OFS,2023-11-03
BCPE North Star US Holdco 2 Inc.,co_874b961a7aef,First Lien,,12.68%,,SOFR,7.25%,,,,1667,1644,1464,0.9%,1644,,,,,,OFS,2023-11-03
Boca Home Care Holdings Inc.,co_d49e1bf83cc8,Delayed Draw,Financial Services,12.14%,,SOFR,6.5%,,,,11044,10937,10636,6.2%,10937,,,,,,OFS,2023-11-03
Boca Home Care Holdings Inc.,co_d49e1bf83cc8,Revolver,Financial Services,,,SOFR,6.5%,,,,0,-10,-48,0%,-10,,,,,,OFS,2023-11-03
Boca Home Care Holdings Inc.,co_d49e1bf83cc8,Common Equity,Financial Services,,,,,,,,,1290,937,0.5%,1290,,,,1290,,OFS,2023-11-03
Boca Home Care Holdings Inc.,co_d49e1bf83cc8,Preferred Equity,Financial Services,12%,2%,,,,,,,345,344,0.2%,345,,,,3446,,OFS,2023-11-03
Constellis Holdings LLC,co_913a725def51,Common Equity,,,,,,,,,,703,37,0%,703,,,,20628,,OFS,2023-11-03
Convergint Technologies Holdings LLC,co_f8b810e89d3d,First Lien,,12.18%,,SOFR,6.75%,,,,5938,5859,5897,3.5%,5859,,,,,,OFS,2023-11-03
Creation Technologies,co_75bd626d7b92,First Lien,,11.03%,,SOFR,5.5%,,,,1975,1964,1866,1.1%,1964,,,,,,OFS,2023-11-03
Diamond Sports Group LLC,co_9576d2b6f7e3,First Lien,Media & Entertainment,15.43%,,SOFR,10%,,,,253,248,132,0.1%,248,,,,,,OFS,2023-11-03
Diamond Sports Group LLC,co_9576d2b6f7e3,First Lien,Media & Entertainment,10.68%,,SOFR,5.25%,,,,1935,1935,46,0%,1935,,,,,fair_value_suspicious_vs_size,OFS,2023-11-03
East West Manufacturing,co_b8ffa874c0db,First Lien,Industrials,11.12%,,SOFR,5.75%,,,,1935,1920,1850,1.1%,1920,,,,,,OFS,2023-11-03
Electrical Components International Inc.,co_a8a08da95bc1,First Lien,Industrials,14.02%,,SOFR,8.5%,,,,3679,3429,3603,2.1%,3429,,,,,,OFS,2023-11-03
Envocore Holding LLC,co_3f436c75855b,First Lien,,7.5%,,,,,,,6311,6312,6311,3.7%,6312,,,,,,OFS,2023-11-03
Envocore Holding LLC,co_3f436c75855b,First Lien,,,10%,,,,,,7650,6584,3528,2.1%,6584,,,,,,OFS,2023-11-03
Envocore Holding LLC,co_3f436c75855b,Revolver,,,,,,,,,0,0,0,0%,0,,,,,,OFS,2023-11-03
Envocore Holding LLC,co_3f436c75855b,Other Equity,,,,,,,,,,4722,0,0%,4722,,,,,,OFS,2023-11-03
Excelin Home Health LLC,co_7684ce21e99c,First Lien,,15.15%,2.25%,SOFR,9.5%,,,,4339,4231,3443,2%,4231,,,,,,OFS,2023-11-03
GGC Aerospace Topco LP.,co_97aeaf53b9cc,Common Equity,Aerospace & Defense,,,,,,,,,450,0,0%,450,,,,368852,,OFS,2023-11-03
GGC Aerospace Topco LP.,co_97aeaf53b9cc,Common Equity,Aerospace & Defense,,,,,,,,,50,0,0%,50,,,,40984,,OFS,2023-11-03
GoTo Group,co_fa3525ef740b,First Lien,,10.27%,,SOFR,4.75%,,,,2924,2923,1955,1.1%,2923,,,,,,OFS,2023-11-03
