company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Adamas Trust,co_b7646cd72b6c,Preferred Equity,Real Estate,,,,,,,,221,5510,5566,3.45%,5510,,,,,,PFX,2025-12-12,PFX,2025-12-12
Adamas Trust,co_b7646cd72b6c,Other Equity,Real Estate,,,,,,,,17,376,392,0.24%,376,,,,,,PFX,2025-12-12,PFX,2025-12-12
Adamas Trust Inc.,co_b7646cd72b6c,First Lien,Real Estate,,,,,,,,239,5886,5958,3.69%,5886,,,,,,PFX,2025-12-12,PFX,2025-12-12
Altisource S.A.R.L.,co_f815714130ba,First Lien,Business Services,6.5%,,,,,,2030-04-30,8041,8460,8322,5.18%,8460,,,,,,PFX,2025-12-12,PFX,2025-12-12
Altisource S.A.R.L.,co_f815714130ba,First Lien,Business Services,,,,,,,,547,3328,6380,3.97%,3328,,,,547180,,PFX,2025-12-12,PFX,2025-12-12
Altisource S.A.R.L.,co_f815714130ba,First Lien,Business Services,,,,,,,2029-04-02,111,647,78,0.05%,647,,,,,,PFX,2025-12-12,PFX,2025-12-12
Altisource S.A.R.L.,co_f815714130ba,First Lien,Business Services,,,,,,,2032-04-30,111,622,65,0.04%,622,,,,,,PFX,2025-12-12,PFX,2025-12-12
Altisource S.A.R.L.,co_f815714130ba,First Lien,Business Services,,,,,,,,8811,13057,14845,9.24%,13057,,,,,,PFX,2025-12-12,PFX,2025-12-12
Boostability Seotowncenter,co_b2141134afce,Other Equity,Business Services,,,,,,,,833,66,,0%,66,,,,833152,,PFX,2025-12-12,PFX,2025-12-12
Boostability Seotowncenter Inc.,co_b2141134afce,First Lien,Business Services,,,,,,,,833,66,,0%,66,,,,,,PFX,2025-12-12,PFX,2025-12-12
CB&L Associates Holdco I,co_52b0b6182263,First Lien,Real Estate,2.75%,,,,,,2025-11-01,2880,2419,2754,1.71%,2419,,,,,,PFX,2025-12-12,PFX,2025-12-12
CB&L Associates Holdco I LLC,co_52b0b6182263,First Lien,Real Estate,,,,,,,,2880,2419,2754,1.71%,2419,,,,,,PFX,2025-12-12,PFX,2025-12-12
Chimera Investment Corp.,co_6ada2295c415,First Lien,Financial Services,,,,,,,,152,3636,3505,2.18%,3636,,,,151710,,PFX,2025-12-12,PFX,2025-12-12
Chimera Investment Corp.,co_6ada2295c415,First Lien,Financial Services,,,,,,,,26,636,630,0.39%,636,,,,26133,,PFX,2025-12-12,PFX,2025-12-12
Chimera Investment Corp.,co_6ada2295c415,First Lien,Financial Services,,,,,,,,178,4272,4134,2.57%,4272,,,,,,PFX,2025-12-12,PFX,2025-12-12
Compass Diversified Holdings,co_09bf04de6f86,First Lien,Diversified,,,,,,,,22,381,406,0.25%,381,,,,22049,,PFX,2025-12-12,PFX,2025-12-12
Compass Diversified Holdings,co_09bf04de6f86,First Lien,Diversified,,,,,,,,22,381,406,0.25%,381,,,,,,PFX,2025-12-12,PFX,2025-12-12
Copper Property CTL Pass Through Trust,co_10d79bf68c1e,First Lien,Real Estate,,,,,,,,638,7200,7915,4.92%,7200,,,,,,PFX,2025-12-12,PFX,2025-12-12
Franklin BSP Realty Trust,co_c2a895429d13,Other Equity,Insurance,,,,,,,,50,498,543,0.34%,498,,,,50000,,PFX,2025-12-12,PFX,2025-12-12
Franklin BSP Realty Trust Inc.,co_c2a895429d13,First Lien,Insurance,,,,,,,,50,498,543,0.34%,498,,,,,,PFX,2025-12-12,PFX,2025-12-12
Innovate Corp.,co_0a4006509be4,First Lien,Industrials,10.5%,,,,,,2027-02-01,4558,4023,4034,2.51%,4023,,,,,,PFX,2025-12-12,PFX,2025-12-12
Innovate Corp.,co_0a4006509be4,First Lien,Industrials,,,,,,,,4558,4023,4034,2.51%,4023,,,,,,PFX,2025-12-12,PFX,2025-12-12
Invesco Mortgage Capital,co_85e17f7429fe,Other Equity,Financial Services,,,,,,,,180,1412,1361,0.85%,1412,,,,180000,,PFX,2025-12-12,PFX,2025-12-12
Invesco Mortgage Capital Inc.,co_85e17f7429fe,First Lien,Financial Services,,,,,,,,180,1412,1361,0.85%,1412,,,,,,PFX,2025-12-12,PFX,2025-12-12
NGS-WCS Group Holdings,co_e6d542a85ec5,First Lien,Industrials,4.75%,,,,,,2030-05-31,988,983,997,0.62%,983,,,,,,PFX,2025-12-12,PFX,2025-12-12
JFL-NGS-WCS Partners,co_2a9c1a87b2cd,Other Equity,Industrials,,,,,,,,10000,10000,13100,8.15%,10000,,,,,,PFX,2025-12-12,PFX,2025-12-12
NGS-WCS Group Holdings - JFL-NGS-WCS Partners LLC,co_a5bd0cfd5eae,First Lien,,,,,,,,,10988,10983,14097,8.77%,10983,,,,,,PFX,2025-12-12,PFX,2025-12-12
Kemmerer Operations,co_84ebe4c19813,First Lien,Chemicals & Materials,5%,,,,,,2028-12-31,8763,8763,8763,5.45%,8763,,,,,,PFX,2025-12-12,PFX,2025-12-12
Kemmerer Operations LLC,co_84ebe4c19813,First Lien,Chemicals & Materials,,,,,,,,8763,8763,8763,5.45%,8763,,,,,,PFX,2025-12-12,PFX,2025-12-12
Lucky Bucks,co_2709cdef36b5,First Lien,Consumer & Retail,7.5%,,,,,,2029-10-02,2144,1998,1994,1.24%,1998,,,,,,PFX,2025-12-12,PFX,2025-12-12
Lucky Bucks,co_2709cdef36b5,First Lien,Consumer & Retail,7.5%,,,,,,2028-10-02,1514,1411,1514,0.94%,1411,,,,,,PFX,2025-12-12,PFX,2025-12-12
LB NewHoldCo,co_4b88a0e83ba6,Other Equity,Healthcare,,,,,,,,231,449,994,0.62%,449,,,,230739,,PFX,2025-12-12,PFX,2025-12-12
Lucky Bucks LLC,co_2709cdef36b5,First Lien,Consumer & Retail,,,,,,,,3889,3858,4502,2.8%,3858,,,,,,PFX,2025-12-12,PFX,2025-12-12
MFA Financial,co_44c73bdb7915,Preferred Equity,Financial Services,,,,,,,,115,2801,2738,1.7%,2801,,,,114695,,PFX,2025-12-12,PFX,2025-12-12
MFA Financial,co_44c73bdb7915,Other Equity,Financial Services,,,,,,,,70,715,643,0.4%,715,,,,70000,,PFX,2025-12-12,PFX,2025-12-12
MFA Financial Inc.,co_44c73bdb7915,First Lien,Financial Services,,,,,,,,185,3516,3381,2.1%,3516,,,,,,PFX,2025-12-12,PFX,2025-12-12
Neptune Bidco US,co_a6ffd5a50f17,First Lien,Media & Entertainment,5%,,,,,,2029-04-11,2967,2787,2822,1.76%,2787,,,,,,PFX,2025-12-12,PFX,2025-12-12
Neptune Bidco US,co_a6ffd5a50f17,First Lien,Media & Entertainment,9.29%,,,,,,2029-04-15,4000,3676,3910,2.43%,3676,,,,,,PFX,2025-12-12,PFX,2025-12-12
Neptune Bidco US Inc.,co_a6ffd5a50f17,First Lien,Media & Entertainment,,,,,,,,6967,6463,6732,4.19%,6463,,,,,,PFX,2025-12-12,PFX,2025-12-12
Onity Group Inc.,co_613c184deade,First Lien,Real Estate,,,,,,,,200,3925,3948,2.46%,3925,,,,200000,,PFX,2025-12-12,PFX,2025-12-12
