company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
ACV Auctions Inc.,co_8b4f8734d23f,Other Equity,,,,,,,2016-08-12,,,87,4033,6.8%,87,,,,319934,cost_suspicious_vs_size,RAND,2023-05-09
Ares Capital Corp.,co_70abf1d3f651,Other Equity,,,,,,,2020-03-16,,,267,380,0.6%,267,,,,21000,,RAND,2023-05-09
Barings BDC Inc.,co_8d8ce61bc622,Other Equity,,,,,,,2020-08-13,,,333,314,0.5%,333,,,,40000,,RAND,2023-05-09
Caitec Inc.,co_e7ed3d437c5a,Subordinated Debt,,12%,2%,,,,2020-11-06,2026-06-01,1750,1837,1837,6.7%,1837,,,,,,RAND,2023-05-09
Caitec,co_e7ed3d437c5a,Other Equity,,,,,,,2020-11-06,,,150,150,,150,,,,,,RAND,2023-05-09
Caitec Inc.,co_e7ed3d437c5a,Other,,,,,,,,,,3974,3974,,3974,,,,,,RAND,2023-05-09
Carlyle Secured Lending Inc.,co_cdd62342e8c5,Other Equity,Financial Services,,,,,,2020-08-13,,,900,1175,2%,900,,,,86000,,RAND,2023-05-09
FS KKR Capital Corp.,co_4ee1e711995c,Other Equity,,,,,,,2020-03-16,,,755,883,1.5%,755,,,,48000,,RAND,2023-05-09
GoNoodle Inc.,co_aacea6e2fb71,First Lien,,12%,1%,,,,2019-11-01,2024-09-30,1500,1415,1415,2.4%,1415,,,,,,RAND,2023-05-09
GoNoodle Inc.,co_aacea6e2fb71,Preferred Equity,,,,,,,2015-03-01,,,0,0,,0,,,,,,RAND,2023-05-09
GoNoodle Inc.,co_aacea6e2fb71,Preferred Equity,,,,,,,2019-11-01,,,0,0,,0,,,,,,RAND,2023-05-09
GoNoodle Inc.,co_aacea6e2fb71,Other,,,,,,,,,,1415,1415,,1415,,,,,,RAND,2023-05-09
HDI Acquisition LLC,co_b738dab3265a,First Lien,,12%,2%,,,,2019-11-08,2025-06-30,1245,1034,1034,1.7%,1034,,,,,,RAND,2023-05-09
Lumious,co_5d3a4b57918d,First Lien,,14%,,,,,2018-11-16,2024-12-01,850,790,790,1.3%,790,,,,,,RAND,2023-05-09
Mattison Avenue Holdings LLC. - $1 794 944 Third Amended,co_d8bd131a1328,First Lien,,12%,2%,,,,2021-06-23,2023-12-09,1795,1866,1866,3.1%,1866,,,,,,RAND,2023-05-09
Nailbiter Inc.,co_a148aff96f2a,Subordinated Debt,,9%,,,,,2021-11-22,2024-11-23,,2250,2250,3.8%,2250,,,,,,RAND,2023-05-09
Nailbiter Inc.,co_a148aff96f2a,Other,,,,,,,,,,2250,2250,,2250,,,,,,RAND,2023-05-09
OnCore Golf Technology Inc.,co_9a694a686c60,Preferred Equity,Healthcare,,,,,,2018-11-30,,,753,,0.2%,753,,,,300483,,RAND,2023-05-09
Open Exchange Inc.,co_c386136e3cd0,Preferred Equity,,,,,,,2013-11-13,,,1194,1194,2.4%,1194,,,,397899,,RAND,2023-05-09
Open Exchange Inc.,co_c386136e3cd0,Other Equity,,,,,,,2019-10-22,,,208,208,,208,,,,397899,,RAND,2023-05-09
Open Exchange,co_c386136e3cd0,Other,,,,,,,,,,1402,1402,,1402,,,,,,RAND,2023-05-09
PennantPark Investment Corp.,co_ad231967d259,Other Equity,Financial Services,,,,,,2020-08-13,,,892,1024,1.7%,892,,,,195000,,RAND,2023-05-09
PostProcess Technologies Inc.,co_2f0e92e0421b,Preferred Equity,,,,,,,2019-11-01,,,349,100,0.2%,349,,,,360002,,RAND,2023-05-09
Rheonix Inc.,co_51417cadf01c,Preferred Equity,,,,,,,2013-12-12,,,2100,,,2100,,,,1839422,,RAND,2023-05-09
Rheonix Inc.,co_51417cadf01c,Preferred Equity,,,,,,,2015-09-29,,,703,,,703,,,,589420,,RAND,2023-05-09
Rheonix Inc.,co_51417cadf01c,Other,,,,,,,,,,2803,,,2803,,,,,,RAND,2023-05-09
Somerset Gas Transmission Company,co_8016ff46ce39,Other Equity,,,,,,,2005-04-01,,,719,125,0.2%,719,,,,,,RAND,2023-05-09
Applied Image Inc.,co_626ef61915c4,First Lien,,10%,,,,,2021-12-31,2029-02-01,,1750,1750,2.9%,1750,,,,,,RAND,2023-05-09
Applied Image,co_626ef61915c4,Other,,,,,,,,,,1750,1750,,1750,,,,,,RAND,2023-05-09
BMP Food Service Supply Holdco LLC,co_081ee2425789,First Lien,Food & Beverage,12%,,,,,2022-11-22,2027-11-22,,4820,4820,8.8%,4820,,,,,,RAND,2023-05-09
BMP Food Service Supply Holdco,co_081ee2425789,Preferred Equity,Food & Beverage,,,,,,2022-11-22,,,390,390,,390,,,,,,RAND,2023-05-09
BMP Food Service Supply,co_1ef41bef6ee5,Other,Food & Beverage,,,,,,,,,5210,5210,,5210,,,,,,RAND,2023-05-09
BMP Swanson Holdco LLC,co_6d3b5b8e0715,First Lien,,12%,,,,,2021-03-04,2026-09-04,,1600,1600,3.1%,1600,,,,,,RAND,2023-05-09
BMP Swanson Holdco,co_6d3b5b8e0715,Preferred Equity,,,,,,,2021-03-04,,,233,233,,233,,,,,,RAND,2023-05-09
BMP Swanson,co_43fcc61d9015,Other,,,,,,,,,,1833,1833,,1833,,,,,,RAND,2023-05-09
Carolina Skiff LLC,co_2f37d97386c8,Other,,,,,,,2004-01-30,,,15,1957,3.3%,15,,,,,cost_suspicious_vs_size,RAND,2023-05-09
DSD Operating LLC,co_98ec730a6da4,First Lien,,12%,2%,,,,2021-09-30,2026-09-30,,3155,3155,8.6%,3155,,,,,,RAND,2023-05-09
DSD Operating LLC,co_98ec730a6da4,Preferred Equity,,,,,,,2021-09-30,,,1068,1954,,1068,,,,1067,,RAND,2023-05-09
DSD,co_1248712441db,Other,,,,,,,,,,4223,5110,,4223,,,,,,RAND,2023-05-09
Filterworks Acquisition USA LLC,co_c28bd0ae2682,First Lien,,,,,,,2019-11-18,,,2706,2706,5.2%,2706,,,,,,RAND,2023-05-09
Filterworks Acquisition USA,co_c28bd0ae2682,Other Equity,,,,,,,2022-06-03,,,626,257,,626,,,,626.2,,RAND,2023-05-09
Filterworks Acquisition USA,co_c28bd0ae2682,Other Equity,,,,,,,2022-09-30,,,139,139,,139,,,,417.7,,RAND,2023-05-09
Filterworks,co_bed46feee600,Other,,,,,,,,,,3471,3102,,3471,,,,,,RAND,2023-05-09
Knoa Software Inc.,co_62305eb71d79,Preferred Equity,Software & Technology,,,,,,2014-06-09,,,479,100,,479,,,,1876922,,RAND,2023-05-09
Knoa,co_680278c0d2ab,Other,,,,,,,,,,1229,100,,1229,,,,,,RAND,2023-05-09
Mezmeriz Inc.,co_8563e713093d,Preferred Equity,,,,,,,2015-05-14,,,743,,0%,743,,,,1554565,,RAND,2023-05-09
Pressure Pro Inc.,co_8cb3fd97beec,First Lien,,12%,3%,,,,2023-01-19,2028-01-19,,2989,2989,5.1%,2989,,,,,,RAND,2023-05-09
Pressure Pro,co_8cb3fd97beec,Other Equity,,,,,,,2023-01-19,,,30,30,,30,,,,,,RAND,2023-05-09
Affiliate Investments – 73.7% of net assets Pressure Pro Inc.,co_e56786d749c2,Other,Financial Services,,,,,,,,,3019,,,3019,,,,,,RAND,2023-05-09
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2013-07-12,,,1500,1500,8.8%,1500,,,,187500,,RAND,2023-05-09
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2014-04-04,,,505,505,,505,,,,274299,,RAND,2023-05-09
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2016-04-07,,,175,175,,175,,,,113636,,RAND,2023-05-09
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2016-04-07,,,399,399,,399,,,,369698,,RAND,2023-05-09
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2017-05-09,,,250,250,,250,,,,147059,,RAND,2023-05-09
SciAps,co_5946973dd3f7,Warrants,,,,,,,2017-05-09,,,45,45,,45,,,,,,RAND,2023-05-09
SciAps Inc.,co_5946973dd3f7,Subordinated Debt,,12%,,,,,2021-08-20,2024-08-20,,2089,2089,,2089,,,,,,RAND,2023-05-09
SciAps,co_5946973dd3f7,Other,,,,,,,,,,5213,5213,,5213,,,,,,RAND,2023-05-09
Seybert’s Billiards Corp.,co_d82b00c7cd92,First Lien,,12%,2%,,,,2021-11-22,2026-01-19,,4206,4206,9.9%,4206,,,,,,RAND,2023-05-09
Seybert’s Billiards Corp.,co_d82b00c7cd92,Other,,,,,,,2021-01-19,,,25,25,,25,,,,,,RAND,2023-05-09
Seybert’s Billiards Corp.,co_d82b00c7cd92,First Lien,,12%,2%,,,,2021-01-19,2026-01-19,,1449,1449,,1449,,,,,,RAND,2023-05-09
Seybert’s Billiards Corp.,co_d82b00c7cd92,Other Equity,,,,,,,2022-10-24,,,194,194,,194,,,,5.82,,RAND,2023-05-09
Seybert’s,co_356de4049a63,Other,,,,,,,,,,5900,5900,,5900,,,,,,RAND,2023-05-09
Tilson Technology Management Inc.,co_04ab71fb578c,Preferred Equity,Software & Technology,,,,,,2015-01-20,,,600,4560,17.8%,600,,,,120000,,RAND,2023-05-09
Tilson Technology Management Inc.,co_04ab71fb578c,Preferred Equity,Software & Technology,,,,,,2016-09-28,,,200,813,,200,,,,21391,,RAND,2023-05-09
Tilson Technology Management Inc.,co_04ab71fb578c,Preferred Equity,Software & Technology,,,,,,2017-09-29,,,800,2666,,800,,,,70176,,RAND,2023-05-09
