company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
ACV Auctions Inc.,co_8b4f8734d23f,Other Equity,,,,,,,2016-08-12,,,53,2959,4.8%,53,,,,194934,cost_suspicious_vs_size,RAND,2023-11-06
Ares Capital Corp.,co_70abf1d3f651,Other Equity,,,,,,,2020-03-16,,,267,409,0.7%,267,,,,21000,,RAND,2023-11-06
Barings BDC Inc.,co_8d8ce61bc622,Other Equity,,,,,,,2020-08-13,,,333,356,0.6%,333,,,,40000,,RAND,2023-11-06
Caitec Inc.,co_e7ed3d437c5a,Subordinated Debt,,12%,2%,,,,2020-11-06,2026-06-01,1750,1856,1856,6.5%,1856,,,,,,RAND,2023-11-06
Caitec,co_e7ed3d437c5a,Other Equity,,,,,,,2020-11-06,,,150,150,,150,,,,,,RAND,2023-11-06
Caitec Inc.,co_e7ed3d437c5a,Other,,,,,,,,,,4012,4012,,4012,,,,,,RAND,2023-11-06
Carlyle Secured Lending Inc.,co_cdd62342e8c5,Other Equity,Financial Services,,,,,,2020-08-13,,,900,1247,2%,900,,,,86000,,RAND,2023-11-06
FS KKR Capital Corp.,co_4ee1e711995c,Other Equity,,,,,,,2020-03-16,,,755,945,1.6%,755,,,,48000,,RAND,2023-11-06
GoNoodle Inc.,co_aacea6e2fb71,First Lien,,12%,1%,,,,2019-11-01,2024-09-30,1500,1422,1422,2.3%,1422,,,,,,RAND,2023-11-06
GoNoodle Inc.,co_aacea6e2fb71,Preferred Equity,,,,,,,2015-03-01,,,0,0,,0,,,,,,RAND,2023-11-06
GoNoodle Inc.,co_aacea6e2fb71,Preferred Equity,,,,,,,2019-11-01,,,0,0,,0,,,,,,RAND,2023-11-06
GoNoodle Inc.,co_aacea6e2fb71,Other,,,,,,,,,,1422,1422,,1422,,,,,,RAND,2023-11-06
HDI Acquisition LLC.,co_b738dab3265a,First Lien,,12%,2%,,,,2019-11-08,2025-06-30,1245,1045,1045,1.7%,1045,,,,,,RAND,2023-11-06
Lumious,co_5d3a4b57918d,First Lien,,14%,,,,,2018-11-16,2024-12-01,850,790,790,1.3%,790,,,,,,RAND,2023-11-06
Mattison Avenue Holdings LLC. - $1 794 944 Third Amended,co_d8bd131a1328,First Lien,,12%,2%,,,,2021-06-23,2023-12-09,1795,1885,1885,3.1%,1885,,,,,,RAND,2023-11-06
Nailbiter Inc.,co_a148aff96f2a,Subordinated Debt,,9%,,,,,2021-11-22,2024-11-23,,2250,2250,3.7%,2250,,,,,,RAND,2023-11-06
Nailbiter Inc.,co_a148aff96f2a,Other,,,,,,,,,,2250,2250,,2250,,,,,,RAND,2023-11-06
OnCore Golf Technology Inc.,co_9a694a686c60,Preferred Equity,Healthcare,,,,,,2018-11-30,,,753,100,0.2%,753,,,,300483,,RAND,2023-11-06
Open Exchange Inc.,co_c386136e3cd0,Preferred Equity,,,,,,,2013-11-13,,,1194,700,1.1%,1194,,,,397899,,RAND,2023-11-06
Open Exchange Inc.,co_c386136e3cd0,Other Equity,,,,,,,2019-10-22,,,208,,,208,,,,397899,,RAND,2023-11-06
Open Exchange,co_c386136e3cd0,Other,,,,,,,,,,1402,700,,1402,,,,,,RAND,2023-11-06
PennantPark Investment Corp.,co_ad231967d259,Other Equity,Financial Services,,,,,,2020-08-13,,,892,1283,2%,892,,,,195000,,RAND,2023-11-06
PostProcess Technologies Inc.,co_2f0e92e0421b,Preferred Equity,,,,,,,2019-11-01,,,349,100,0.2%,349,,,,360002,,RAND,2023-11-06
Applied Image Inc.,co_626ef61915c4,First Lien,,10%,,,,,2021-12-31,2029-02-01,,1750,1750,2.9%,1750,,,,,,RAND,2023-11-06
Applied Image Inc.,co_626ef61915c4,Other,,,,,,,,,,1750,1750,,1750,,,,,,RAND,2023-11-06
BMP Food Service Supply Holdco LLC,co_081ee2425789,First Lien,Food & Beverage,12%,,,,,2022-11-22,2027-11-22,,4780,4780,8.4%,4780,,,,,,RAND,2023-11-06
BMP Food Service Supply Holdco,co_081ee2425789,Preferred Equity,Food & Beverage,,,,,,2022-11-22,,,390,390,,390,,,,,,RAND,2023-11-06
BMP Food Service Supply,co_1ef41bef6ee5,Other,Food & Beverage,,,,,,,,,5170,5170,,5170,,,,,,RAND,2023-11-06
BMP Swanson Holdco LLC,co_6d3b5b8e0715,First Lien,,12%,,,,,2021-03-04,2026-09-04,,1700,1700,3.2%,1700,,,,,,RAND,2023-11-06
BMP Swanson Holdco,co_6d3b5b8e0715,Preferred Equity,,,,,,,2021-03-04,,,233,233,,233,,,,,,RAND,2023-11-06
BMP Swanson,co_43fcc61d9015,Other,,,,,,,,,,1933,1933,,1933,,,,,,RAND,2023-11-06
Carolina Skiff LLC,co_2f37d97386c8,Other,,,,,,,2004-01-30,,,15,1957,3.2%,15,,,,,cost_suspicious_vs_size,RAND,2023-11-06
FCM Industries Holdco LLC,co_2709ecc477d5,First Lien,,13%,,,,,2023-07-31,2028-07-31,,3380,3380,6.2%,3380,,,,,,RAND,2023-11-06
FCM Industries Holdco LLC,co_2709ecc477d5,First Lien,,10%,,,,,2023-07-31,2033-07-31,,427,427,,427,,,,,,RAND,2023-11-06
FCM Industries Holdco LLC,co_2709ecc477d5,Other,,,,,,,,,,3807,3807,,3807,,,,,,RAND,2023-11-06
Filterworks Acquisition USA LLC,co_c28bd0ae2682,First Lien,,,,,,,2019-11-18,,,2838,2838,5.3%,2838,,,,,,RAND,2023-11-06
Filterworks Acquisition USA,co_c28bd0ae2682,Other Equity,,,,,,,2022-06-03,,,626,257,,626,,,,626.2,,RAND,2023-11-06
Filterworks Acquisition USA,co_c28bd0ae2682,Other Equity,,,,,,,2022-09-30,,,139,139,,139,,,,417.7,,RAND,2023-11-06
Filterworks,co_bed46feee600,Other,,,,,,,,,,3603,3234,,3603,,,,,,RAND,2023-11-06
Highland All About People Holdings Inc.,co_6fa73910faa9,First Lien,,12%,4%,,,,2023-08-07,2028-08-07,3000,3018,3018,6.5%,3018,,,,,,RAND,2023-11-06
Highland All About People Holdings Inc.,co_6fa73910faa9,Other Equity,,,,,,,2023-08-07,,,1000,1000,,1000,,,,1000000,,RAND,2023-11-06
Highland All About People Holdings Inc.,co_6fa73910faa9,Other,,,,,,,,,,4018,4018,,4018,,,,,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,First Lien,Software & Technology,12%,,,,,2023-04-04,2028-04-04,,3321,3321,7%,3321,,,,,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,Other Equity,Software & Technology,,,,,,2023-04-04,,,1012,1012,,1012,,,,75.3,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,Other,Software & Technology,,,,,,,,,4333,4333,,4333,,,,,,RAND,2023-11-06
Knoa Software Inc.,co_62305eb71d79,Preferred Equity,Software & Technology,,,,,,2014-06-09,,,479,100,,479,,,,1876922,,RAND,2023-11-06
Knoa Software Inc.,co_62305eb71d79,Other,Software & Technology,,,,,,,,,1229,100,,1229,,,,,,RAND,2023-11-06
Mezmeriz Inc.,co_8563e713093d,Preferred Equity,,,,,,,2015-05-14,,,743,,0%,743,,,,1554565,,RAND,2023-11-06
Pressure Pro Inc.,co_8cb3fd97beec,First Lien,,12%,3%,,,,2023-01-19,2028-01-19,,3038,3038,5%,3038,,,,,,RAND,2023-11-06
Pressure Pro,co_8cb3fd97beec,Other Equity,,,,,,,2023-01-19,,,30,30,,30,,,,,,RAND,2023-11-06
Pressure Pro,co_8cb3fd97beec,Other,,,,,,,,,,3068,3068,,3068,,,,,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2013-07-12,,,1500,1500,8.5%,1500,,,,187500,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2014-04-04,,,505,505,,505,,,,274299,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2016-04-07,,,175,175,,175,,,,113636,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2016-04-07,,,399,399,,399,,,,369698,,RAND,2023-11-06
