company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Caitec Inc.,Subordinated Debt,,12%,2%,,,,2020-11-06,2026-06-01,1750,2317,2317,7.1%,2317,,,,,,RAND,2025-05-05
Caitec Inc.,Preferred Equity,,,,,,,2023-12-28,,,36,,,36,,,,36261,,RAND,2025-05-05
Caitec,Other Equity,,,,,,,2020-11-06,,,150,,,150,,,,150,,RAND,2025-05-05
Caitec Inc.,Other,,,,,,,,,,5006,4633,,5006,,,,,,RAND,2025-05-05
GoNoodle Inc.,First Lien,,12%,1%,,,,2019-11-01,2025-09-30,1500,1444,1444,2.2%,1444,,,,,,RAND,2025-05-05
GoNoodle Inc.,Preferred Equity,,,,,,,2019-11-01,,,0,0,,0,,,,,,RAND,2025-05-05
GoNoodle Inc.,Other,,,,,,,,,,1444,1444,,1444,,,,,,RAND,2025-05-05
Lumious,First Lien,,14%,,,,,2018-11-16,2025-12-01,850,790,790,1.2%,790,,,,,,RAND,2025-05-05
OnCore Golf Technology Inc.,Preferred Equity,Healthcare,,,,,,2018-11-30,,,753,100,0.2%,753,,,,300483,,RAND,2025-05-05
Open Exchange Inc.,Preferred Equity,,,,,,,2013-11-13,,,1194,700,1.1%,1194,,,,397899,,RAND,2025-05-05
Open Exchange Inc.,Other Equity,,,,,,,2019-10-22,,,208,,,208,,,,397899,,RAND,2025-05-05
Open Exchange Inc.,Other,,,,,,,,,,1402,700,,1402,,,,,,RAND,2025-05-05
PostProcess Technologies Inc.,Preferred Equity,,,,,,,2019-11-01,,,349,,0%,349,,,,137054,,RAND,2025-05-05
Applied Image Inc.,First Lien,,10%,,,,,2021-12-31,2029-02-01,1750,1750,1750,2.7%,1750,,,,,,RAND,2025-05-05
Applied Image Inc.,Other,Financial Services,,,,,,,,,1750,1750,,1750,,,,,,RAND,2025-05-05
Autotality formerly Filterworks Acquisition USA LLC,First Lien,,,,,,,2019-11-18,,,2987,2987,4.6%,2987,,,,,,RAND,2025-05-05
Autotality formerly Filterworks Acquisition USA,Other Equity,Financial Services,,,,,,2022-06-03,,,626,,,626,,,,626.2,,RAND,2025-05-05
Autotality formerly Filterworks Acquisition USA,Other Equity,Financial Services,,,,,,2022-09-30,,,139,,,139,,,,417.7,,RAND,2025-05-05
Autotality formerly Filterworks Acquisition USA LLC,Other,Financial Services,,,,,,,,,3753,2987,,3753,,,,,,RAND,2025-05-05
BMP Food Service Supply Holdco LLC,First Lien,Food & Beverage,,,,,,2022-11-22,,,6751,6751,10.7%,6751,,,,,,RAND,2025-05-05
BMP Food Service Supply Holdco,Preferred Equity,Financial Services,,,,,,2022-11-22,,,498,250,,498,,,,,,RAND,2025-05-05
BMP Food Service Supply Holdco LLC,Other,Financial Services,,,,,,,,,7248,7001,,7248,,,,,,RAND,2025-05-05
BMP Swanson Holdco LLC,First Lien,,12%,,,,,2021-03-04,2028-05-31,,1700,1700,3.8%,1700,,,,,,RAND,2025-05-05
BMP Swanson Holdco,Preferred Equity,Financial Services,,,,,,2021-03-04,,,233,750,,233,,,,,,RAND,2025-05-05
BMP Swanson Holdco LLC,Other,Financial Services,,,,,,,,,1933,2450,,1933,,,,,,RAND,2025-05-05
