company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
HL Digital Assets Inc.,co_eef16ff05425,Preferred Equity,Digital Asset Infrastructure,,,N/A,,,2025-09-18,,8000000,,4939808,2.13,5087469,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Preferred Equity,Real Estate,8%,,N/A,,,2021-08-09,,558052,,,,3751518,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Preferred Equity,Real Estate,8%,,N/A,,,2021-08-09,,58771,,,,587951,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Preferred Equity,Real Estate,7%,,N/A,,,2023-01-13,,463449,,4634490,2.00,4642772,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Common Equity,Real Estate,,,N/A,,,2021-08-09,,558053,,,,3751518,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Other,Real Estate,,,N/A,,,2025-01-31,,80800,,80800,0.03,81584,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
PayJoy Inc.,co_7b07ade7ad85,Preferred Equity,Software & Technology,,,N/A,,,2021-07-23,,244117,,3566841,1.54,2501570,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
PayJoy Inc.,co_7b07ade7ad85,Other,Software & Technology,,,N/A,,,2023-05-25,,500000,,500000,0.22,501470,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
True Global Ventures 4 Plus Pte Ltd.,co_284e93b68ba8,Partnership Interest,Financial Services,,,N/A,,,2021-08-27,,2000000,,3345184,1.44,585016,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Trax Ltd.,co_a558b47cf525,Common Equity,Consumer & Retail,,,N/A,,,2021-06-09,,55591,,33692,0.01,2781148,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Trax Ltd.,co_a558b47cf525,Preferred Equity,Consumer & Retail,,,N/A,,,2021-06-09,,144409,,2647017,1.14,7224600,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Xgroup Holdings Ltd.,co_53490a4597e1,Preferred Equity,Software & Technology,,,N/A,,,2022-08-17,,454,,242000,0.10,136114,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Xgroup Holdings Ltd.,co_53490a4597e1,Warrants,Software & Technology,,,N/A,,,2022-08-17,2044-05-14,3286,,1751565,0.76,985180,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Xgroup Holdings Ltd.,co_53490a4597e1,Warrants,Software & Technology,,,N/A,,,2022-08-17,2044-05-14,873,,620457,0.27,261735,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Varo Money Inc.,co_e9f0dd0a559f,Common Equity,Financial Services,,,N/A,,,2021-08-11,,1079266,,1603528,0.69,10005548,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Stake Trade Inc.,co_5e9ce591f664,Other,Media & Entertainment,,,N/A,,,2023-07-26,,1000000,,1249993,0.54,1002153,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Forge Global Inc.,co_0fb088c58a0a,Common Equity,Financial Services,,,N/A,,,2011-07-20,,70530,,1191957,0.51,1978921,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Aventine Property Group Inc.,co_344f49ac92a2,Common Equity,Real Estate,,,N/A,,,2019-09-11,,312500,,1023656,0.44,2580750,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Residential Homes for Rent LLC,co_619680a2a20a,Preferred Equity,Real Estate,,,N/A,,,2020-12-23,,150000,,930551,0.40,1500000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Skillsoft Corp.,co_621145eadd7e,Common Equity,Education,,,N/A,,,2021-06-08,,49092,,639178,0.28,9818428,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
EDGE Markets Inc.,co_866acccb3660,Preferred Equity,Healthcare,8%,,N/A,,,2022-05-18,,456704,,500000,0.22,501330,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
PSQ Holdings Inc.,co_fc0c2fafeb6d,Warrants,Consumer & Retail,,,N/A,,,2021-04-01,2028-07-19,1796037,,341247,0.15,771065,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Kinetiq Holdings LLC,co_737b69c7b5ba,Common Equity,Social Data Platform,,,N/A,,,2012-03-30,,112374,,13048,0.01,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Rebric Inc.,co_4fb1a277d57b,Preferred Equity,Healthcare,,,N/A,,,2021-10-12,,2406492,,,,1002755,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
CTN Holdings Inc.,co_7b298a012c16,Other,Software & Technology,,,,,,2015-08-11,,,,,,1001815,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
CTN Holdings Inc.,co_7b298a012c16,Other,Software & Technology,,,,,,2019-08-12,,,,,,281190,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
