company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
ARK Type One Deep Ventures Fund LLC,Other,,,,,,,,,,,42212.173,20.6,17696.568,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
"Whoop, Inc.",Other,,,,,,,,,,,28357.435,13.8,11013.088,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
"Blink Health, Inc.",Other,,,,,,,,,,,21001.638,10.2,15004.34,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
"Canva, Inc.",Other,,,,,,,,,,,15432.563,7.5,10058.82,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
"Learneo, Inc.",Other,,,,,,,,,,,15369.348,7.5,14999.972,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
CW Opportunity 2 LP,Other,,,,,,,,,,,14659.078,7.1,10384.558,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
"IH10, LLC",Other,,,,,,,,,,,12132.897,5.9,12273.784,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
Locus Robotics Corp.,Other,,,,,,,,,,,11995.29,5.8,10004.286,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
"Supplying Demand, Inc.",Other,,,,,,,,,,,10249.996,5.0,10256.296,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
"Shogun Enterprises, Inc.",Other,,,,,,,,,,,8289.899,4.0,8040.806,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
Whoop Inc.,Other,Healthcare,,,N/A,,,2022-06-30,,,10011.46,27357.435,13.32,,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
Whoop Inc.,Other,Healthcare,,,N/A,,,2025-02-06,,1000.0,1001.628,1000.0,0.49,,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
Blink Health Inc.,Other,Healthcare,,,N/A,,,2020-10-27,,,5000.423,9999.99,4.87,,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
Canva Inc.,Other,Software & Technology,,,N/A,,,2024-04-17,,,10058.82,15432.563,7.52,,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
Learneo Inc.,Other,Education,8%,,N/A,,,2014-09-18,,,5000.001,5369.377,2.62,,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
Learneo Inc.,Other,Education,8%,,N/A,,,2021-11-05,,,9999.971,9999.971,4.87,,,,,,dspy_extracted,SSSS,2026-03-11,SSSS,2026-03-11
