company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Flo Health UK Ltd.,Other Debt,Software & Technology,5.75%,,,,,,2024-05-31,8333,8400,8400,,8400,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Arcadia Power, Inc.",Other Debt,Software & Technology,8.75%,,,,,,2024-12-31,5362,5476,5424,,5476,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"FlashParking, Inc.",Other Debt,Software & Technology,7.00%,,,,,,2024-06-30,20000,20525,20604,,20525,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Hi.Q, Inc.",Other Debt,Software & Technology,11.75%,,,,,,2024-06-01,13250,13416,3778,,13416,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Uniphore Technologies Inc.,Other Debt,Software & Technology,11.00%,,,,,,2024-06-30,7000,7148,7112,,7148,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Cart.com, Inc.",Other Debt,Business Services,5.50%,,,,,,2025-12-31,20000,20151,20151,,20151,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Quick Commerce Ltd.,Other Debt,Business Services,7.50%,,,,,,2025-05-31,21000,21048,21048,,21048,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
RenoRun US Inc.,Other Debt,Business Services,10.50%,,,,,,2025-12-31,2250,2161,2161,,2161,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Forum Brands, LLC",Other Debt,Software & Technology,10.00%,,,,,,2023-07-31,5796,6007,5999,,6007,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Metropolis Technologies, Inc.",Other Debt,Software & Technology,4.34%,7.00%,,,,,2027-03-31,27112,27264,27264,,27264,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Activehours, Inc.",Revolver,Financial Services,4.25%,,,,,,2025-12-30,15000,14865,14982,,14865,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Alyk, Inc.",Other Debt,Consumer & Retail,7.25%,,,,,,2025-06-30,2072,2156,2148,,2156,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Don't Run Out, Inc.",Other Debt,Consumer & Retail,7.75%,,,,,,2025-06-30,1000,1021,1021,,1021,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Underground Enterprises, Inc.",Other Debt,Consumer & Retail,3.00%,,,,,,2023-10-31,2250,2229,1188,,2229,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Avantstay, Inc.",Other Debt,Consumer & Retail,5.50%,,,,,,2026-03-31,1920,1886,1886,,1886,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Baby Generation, Inc.",Other Debt,Consumer & Retail,7.50%,,,,,,2025-01-31,1875,1924,1934,,1924,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Flink SE,Other Debt,Consumer & Retail,9.75%,,,,,,2025-07-31,12500,12453,12221,,12453,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Frubana Inc.,Other Debt,Consumer & Retail,6.25%,,,,,,2027-01-31,210,207,207,,207,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Foodology Inc.,Other Debt,Consumer & Retail,5.75%,,,,,,2025-04-30,231,234,234,,234,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Good Eggs, Inc.",Other Debt,Consumer & Retail,0.50%,,,,,,2025-08-31,5298,5465,5286,,5465,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Hydrow, Inc.",Other Debt,Consumer & Retail,7.75%,,,,,,2024-12-31,3350,3520,3500,,3520,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
JOKR S.à r.l.,Other Debt,Consumer & Retail,7.75%,,,,,,2025-11-30,3000,2945,2914,,2945,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Lower Holding Company,Other Debt,Consumer & Retail,3.75%,,,,,,2025-12-31,8000,7933,7933,,7933,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Mystery Tackle Box, Inc.",Other Debt,Consumer & Retail,6.00%,,,,,,2025-01-31,5000,5106,4930,,5106,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Nakdcom One World AB,Other Debt,,7.25%,,,,,,2026-06-30,5365,5272,5128,,5272,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Outdoor Voices, Inc.",Other Debt,,5.75%,,,,,,2024-02-29,4000,4410,4373,,4410,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Project 1920, Inc.",Other Debt,,6.25%,,,,,,2025-03-31,1780,1825,1807,,1825,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"The Black Tux, Inc.",Other Debt,,8.75%,,,,,,2026-05-31,9784,9899,9899,,9899,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Untitled Labs, Inc.",Other Debt,,11.50%,,,,,,2026-06-30,4167,4152,1943,,4152,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
VanMoof Global Holding B.V.,Other Debt,,9.00%,,,,,,2025-01-31,8654,8642,2022,,8642,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Dia Styling Co.,Other Debt,Consumer & Retail,4.25%,,,,,,2025-06-30,5000,5158,5135,,5158,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"FabFitFun, Inc.",Other Debt,Consumer & Retail,7.75%,,,,,,2025-03-31,24167,24413,24413,,24413,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Minted, Inc.",Other Debt,Consumer & Retail,8.00%,,,,,,2027-06-30,16500,16684,16684,,16684,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Outfittery GMBH,Other Debt,Consumer & Retail,9.00%,9.00%,,,,,2025-01-01,22036,25413,22795,,25413,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"TFG Holding, Inc.",Other Debt,,8.75%,,,,,,2023-12-31,10500,11037,10930,,11037,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Trendly, Inc.",Other Debt,,7.75%,,,,,,2024-11-30,19500,20161,20161,,20161,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Merama Inc.,Other Debt,Consumer & Retail,10.00%,,,,,,2024-06-30,4168,4316,4271,,4316,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Luminary Roli Ltd.,Other Debt,Media & Entertainment,,,,,,,2026-08-31,35492,29530,9541,,29530,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Mind Candy Ltd.,Other Debt,Media & Entertainment,,12.00%,,,,,2023-09-30,19371,19372,16300,,19372,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
