company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Flo Health UK Ltd.,co_02fd6acc6802,Other Debt,Software & Technology,,,Prime,5.75 %,9.00 %,2022-05-17,2025-05-31,8333,8246,8285,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Flo Health UK Ltd.,co_02fd6acc6802,Other Debt,Software & Technology,,,Prime,5.75 %,9.00 %,2022-07-21,2025-07-31,8750,8622,8683,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Flo Health UK Ltd.,co_02fd6acc6802,Other Debt,Software & Technology,,,Prime,5.75 %,9.00 %,2022-09-30,2025-09-30,5750,5643,5696,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Flo Health UK Ltd.,co_02fd6acc6802,Other Debt,Software & Technology,,,Prime,5.75 %,9.00 %,2023-02-06,2025-02-28,2167,2222,2225,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Loft Orbital Solutions Inc.,co_284067c8c00f,Other Debt,Aerospace & Defense,,,Prime,6.75 %,10.00 %,2023-11-21,2027-11-30,978,974,974,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Loft Orbital Solutions Inc.,co_284067c8c00f,Other Debt,Aerospace & Defense,,,Prime,6.75 %,10.00 %,2023-12-27,2027-12-31,4000,3975,3975,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Loft Orbital Solutions Inc.,co_284067c8c00f,Other Debt,Aerospace & Defense,,,Prime,6.75 %,10.00 %,2023-12-27,2027-12-31,5000,4969,4969,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Parry Labs, LLC",co_36a0c050b8a0,Other Debt,Aerospace & Defense,,,Prime,3.50 %,11.25 %,2024-12-20,2028-12-01,19500,19174,19174,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Arcadia Power, Inc.",co_2e8177b2308f,Other Debt,Software & Technology,11.75 %,,Fixed,,,2022-05-06,2026-11-30,2902,2678,2678,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Arcadia Power, Inc.",co_2e8177b2308f,Other Debt,Software & Technology,11.75 %,,Fixed,,,2022-06-29,2026-12-31,7000,7191,7191,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"FlashParking, Inc.",co_2b93956706b7,Other Debt,Software & Technology,1.75 %,2.50 %,Prime,,12.75 %,2024-06-26,2027-05-31,20264,19975,19975,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Farmer's Business Network, Inc.",co_7a7e801511a5,Other Debt,Software & Technology,15.00 %,,Fixed,,,2023-09-28,2025-09-27,14,14,14,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
NewStore Inc.,co_fb07f1d6ca1f,Other Debt,Software & Technology,,,Prime,4.00 %,11.50 %,2024-01-29,2027-01-31,2500,2500,2500,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Quick Commerce Ltd.,co_dce1a856beec,Other Debt,Business Services,,6.00 %,Fixed,,,2022-05-04,2028-12-31,11312,9493,9069,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Quick Commerce Ltd.,co_dce1a856beec,Other Debt,Business Services,,6.00 %,Fixed,,,2023-10-19,2028-12-31,1077,904,864,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Ao1 Holdings,co_ca6ac4682281,Other Debt,Software & Technology,,,Prime,1.00 %,7.75 %,2024-12-13,2027-12-01,3997,3940,3940,,3940,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-07-06,2025-07-31,2781,2887,2724,,2887,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-07-21,2025-07-31,438,460,429,,460,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-08-10,2025-08-31,525,550,513,,550,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-10-06,2025-10-31,2430,2540,2361,,2540,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-11-02,2025-11-30,1578,1645,1530,,1645,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-11-02,2025-11-30,4233,4413,4106,,4413,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-12-28,2025-06-30,1414,1480,1390,,1480,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-12-28,2025-06-30,540,565,531,,565,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2021-12-28,2025-06-30,95,99,93,,99,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-01-28,2025-07-31,3060,3195,2997,,3195,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-04-14,2025-10-31,1166,1208,1133,,1208,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-04-14,2025-10-31,439,455,426,,455,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-09-21,2026-03-31,2850,2909,2750,,2909,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-11-01,2026-04-30,5130,5219,4945,,5219,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
