company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Bestpass Inc.,First Lien,Automotive,10.85%,,SOFR,5.75%,,2023-05-26,,,38859,39000,2.7%,38859,,,,,,TSLX,2023-08-03
Carlstar Group LLC,First Lien,Automotive,11.69%,,SOFR,6.60%,,2022-07-08,,,31966,32622,2.2%,31966,,,,,,TSLX,2023-08-03
Acceo Solutions Inc.,First Lien,Business Services,10.02%,,,,,2018-07-06,,,43306,57640,2.9%,43306,,,,,,TSLX,2023-08-03
Alpha Midco Inc.,First Lien,Business Services,12.99%,,SOFR,7.65%,,2019-08-15,,,68053,69671,4.8%,68053,,,,,,TSLX,2023-08-03
Dye & Durham Corp.,First Lien,Business Services,11.15%,,,,,2021-12-03,,,28447,37743,2%,28447,,,,,,TSLX,2023-08-03
Dye & Durham Corp.,First Lien,Business Services,11.09%,,,,,2021-12-03,,,1418,1992,0.1%,1418,,,,,,TSLX,2023-08-03
ExtraHop Networks Inc.,First Lien,Business Services,12.7%,,SOFR,7.60%,,2021-07-22,,,61107,61231,4.2%,61107,,,,,,TSLX,2023-08-03
ForeScout Technologies Inc.,First Lien,Business Services,14.54%,9%,LIBOR,9.00%,,2022-07-01,,,2668,2726,0.2%,2668,,,,,,TSLX,2023-08-03
ForeScout Technologies Inc.,First Lien,Business Services,15.04%,9.5%,LIBOR,9.50%,,2020-08-17,,,6738,6869,0.4%,6738,,,,,,TSLX,2023-08-03
Galileo Parent Inc.,First Lien,Business Services,12.34%,,SOFR,7.25%,,2023-05-03,,,62985,63768,4.3%,62985,,,,,,TSLX,2023-08-03
Galileo Parent Inc.,First Lien,Business Services,12.34%,,SOFR,7.25%,,2023-05-03,,,4176,4294,0.3%,4176,,,,,,TSLX,2023-08-03
Hornetsecurity Holding GmbH,First Lien,Business Services,9.82%,,E,6.50%,,2022-11-14,,,3147,3125,0.2%,3147,,,,,,TSLX,2023-08-03
Information Clearinghouse LLC,First Lien,Business Services,11.86%,,SOFR,6.65%,,2021-12-20,,,17385,17597,1.2%,17385,,,,,,TSLX,2023-08-03
Mitnick Corporate Purchaser Inc.,First Lien,Business Services,9.9%,,SOFR,4.85%,,2022-05-02,,,331,320,0%,331,,,,,type_hint_corporate_from_name,TSLX,2023-08-03
Netwrix Corp.,First Lien,Business Services,10.3%,,SOFR,5.00%,,2022-06-09,,,35903,36190,2.5%,35903,,,,,,TSLX,2023-08-03
Netwrix Corp.,First Lien,Business Services,10.24%,,SOFR,5.00%,,2022-06-09,,,681,703,0%,681,,,,,,TSLX,2023-08-03
OutSystems Luxco SARL,First Lien,Business Services,9.35%,,E,5.75%,,2022-12-08,,,3075,2991,0.2%,3075,,,,,,TSLX,2023-08-03
ReliaQuest Holdings LLC,First Lien,Business Services,12.1%,,SOFR,7.25%,,2020-10-08,,,71241,72800,5%,71241,,,,,,TSLX,2023-08-03
TIBCO Software Inc.,First Lien,Business Services,9.84%,,SOFR,4.60%,,2022-09-20,,,10980,11182,0.8%,10980,,,,,,TSLX,2023-08-03
Erling Lux Bidco SARL,First Lien,Chemicals & Materials,10.12%,,E,6.75%,,2022-09-06,,,6910,7114,0.5%,6910,,,,,,TSLX,2023-08-03
Erling Lux Bidco SARL,First Lien,Chemicals & Materials,11.68%,,SOFR,6.75%,,2022-09-06,,,11265,10115,0.9%,11265,,,,,,TSLX,2023-08-03
Banyan Software Holdings LLC,First Lien,Telecommunications,12.45%,,SOFR,7.35%,,2023-01-27,,,18795,19302,1.3%,18795,,,,,,TSLX,2023-08-03
Celtra Technologies Inc.,First Lien,Telecommunications,12.2%,,SOFR,7.10%,,2021-11-19,,,33687,33786,2.3%,33687,,,,,,TSLX,2023-08-03
IntelePeer Holdings Inc.,First Lien,Telecommunications,13.64%,,SOFR,8.40%,,2019-12-02,,,34172,33691,2.3%,34172,,,,,,TSLX,2023-08-03
Destiny Solutions Parent Holding Company,First Lien,Education,10.95%,,SOFR,5.85%,,2021-06-08,,,59024,58803,4%,59024,,,,,,TSLX,2023-08-03
EMS Linq Inc.,First Lien,Education,11.45%,,SOFR,6.35%,,2021-12-22,,,55324,54529,3.7%,55324,,,,,,TSLX,2023-08-03
EMS Linq Inc.,First Lien,Education,11.45%,,SOFR,6.35%,,2021-12-22,,,5139,5007,0.3%,5139,,,,,,TSLX,2023-08-03
Alaska Bidco Oy,First Lien,Financial Services,9.89%,,E,6.25%,,2023-05-30,,,754,702,0.1%,754,,,,,,TSLX,2023-08-03
BTRS Holdings Inc.,First Lien,Financial Services,13.22%,,SOFR,8.00%,,2022-12-16,,,44865,45407,3.1%,44865,,,,,,TSLX,2023-08-03
