company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Bestpass Inc.,co_e37f928b9454,First Lien,Automotive,11.11%,,SOFR,5.75%,,2023-05-26,,,43571,44240,3%,43571,,,,,,TSLX,2024-02-15
Acceo Solutions Inc.,co_00a8e4f52d00,First Lien,Business Services,10.21%,,SOFR,4.75%,,2018-07-06,,,40026,52941,2.7%,40026,,,,,,TSLX,2024-02-15
Alpha Midco Inc.,co_929007d1b043,First Lien,Business Services,12.97%,,SOFR,7.63%,,2019-08-15,,,68287,69751,4.7%,68287,,,,,,TSLX,2024-02-15
Artisan Bidco Inc.,co_e3d98b71390c,First Lien,Business Services,12.38%,,SOFR,7%,,2023-11-07,,,37250,37563,2.5%,37250,,,,,,TSLX,2024-02-15
Artisan Bidco Inc.,co_e3d98b71390c,First Lien,Business Services,10.96%,,E,7%,,2023-11-07,,,18681,17513,1.3%,18681,,,,,,TSLX,2024-02-15
Crewline Buyer Inc.,co_c962da1f6256,First Lien,Business Services,12.1%,,SOFR,6.75%,,2023-11-08,,,54781,55236,3.7%,54781,,,,,,TSLX,2024-02-15
Dye & Durham Corp.,co_62616afd05d7,First Lien,Business Services,11.2%,,SOFR,5.75%,,2021-12-03,,,28873,38158,1.9%,28873,,,,,,TSLX,2024-02-15
Dye & Durham Corp.,co_62616afd05d7,First Lien,Business Services,11.2%,,SOFR,5.75%,,2021-12-03,,,693,1086,0.1%,693,,,,,,TSLX,2024-02-15
ExtraHop Networks Inc.,co_ce2ad0fc7589,First Lien,Business Services,12.96%,,SOFR,7.6%,,2021-07-22,,,65245,65866,4.4%,65245,,,,,,TSLX,2024-02-15
ForeScout Technologies Inc.,co_213d0a155b1d,First Lien,Business Services,13.45%,,SOFR,8.1%,,2022-07-01,,,5420,5498,0.4%,5420,,,,,,TSLX,2024-02-15
Galileo Parent Inc.,co_6eb7625be954,First Lien,Business Services,12.6%,,SOFR,7.25%,,2023-05-03,,,62920,63770,4.3%,62920,,,,,,TSLX,2024-02-15
Galileo Parent Inc.,co_6eb7625be954,First Lien,Business Services,12.6%,,SOFR,7.25%,,2023-05-03,,,3048,3166,0.2%,3048,,,,,,TSLX,2024-02-15
